cn,sv,vi
善 者 知 可 以 為 法 惡 者 知 可 以 為 戒 係 治 體 不 為 不 多 .,"Thiện giả tri khả dĩ vi pháp, ác giả tri khả dĩ vi giới, quan hệ trị thể bất vi bất đa.","Người thiện biết có thể bắt chước, người ác biết có thể tự răn, quan hệ đến việc chính trị không phải là không nhiều."
故 有 爲 而 作 也 .,Cố hữu vi nhi tác dã.,Cho nên làm sử là cốt để cho được như thế.
粤 自 我 國 繼 天 地 之 開 闢 鴻 庞 氏 首 出 御 世 歷 至 國 朝 黎 恭 皇 有 君 有 臣 有 體 統 其 政 治 之 得 失 世 道 之 隆 汚 禮 樂 之 興 人 物 之 賢 否 莫 不 僃 載 .,"Việt tự ngã quốc kế thiên địa chi khai tịch, Hồng Bàng thị thủ xuất ngự thế, lịch chí quốc triều Lê Cung Hoàng, hữu quân hữu thần, hữu thể thống, kì chính trị chi đắc thất, thế đạo chi long ô, lễ nhạc chi hưng phế, nhân vật chi hiền phủ, mạc bất bị tải ...","Kể từ khi nước ta nối tiếp sự mở mang của trời đất, họ Hồng Bàng bắt đầu ra trị đời, trải đến Lê Cung Hoàng của quốc triều, có vua, có tôi, có thể thống, chính trị hay dở, thế đạo thịnh suy, lễ nhạc dựng bỏ, nhân vật hiền kém, không việc gì không chép đủ."
於 史 之 中 .,ư sử sách chi trung.,Ở trong sử sách.
試 嘗 考 之 昔 翰 林 院 學 士 兼 國 史 院 監 修 黎 文 休 承 陳 太 宗 之 命 編 大 越 史 記 自 趙 武 帝 至 李 昭 皇 及 修 史 官 潘 孚 先 奉 皇 朝 仁 宗 命 續 編 大 越 史 記 自 陳 太 宗 至 明 人 還 國 .,"Thí thường khảo chi: Tích Hàn lâm viện học sĩ kiêm Quốc sử viện giám tu Lê Văn Hưu, thừa Trần Thái Tông chi mệnh, biên Đại Việt sử kí, tự Triệu Vũ Đế chí Lí Chiêu Hoàng, cập tu sử quan Phan Phu Tiên, phụng Hoàng triều Nhân Tông mệnh, tục biên Đại Việt sử kí, tự Trần Thái Tông chí Minh nhân hoàn quốc.","Từng thử khảo xét: Xưa Hàn lâm viện học sĩ kiêm Quốc sử viện giám tu Lê Văn Hưu vâng mệnh Trần Thái Tông soạn sách Đại Việt Sử Ký từ Triệu Vũ Đế đến Lý Chiêu Hoàng, và Sử quan tu sử là Phan Phu Tiên vâng mệnh Nhân Tông của bản triều chép nối Đại Việt Sử Ký từ Trần Thái Tông đến khi người Minh về nước."
其 抑 揚 大 義 已 昭 昭 於 史 筆 之 公 論 矣 .,"Kì ức dương đại nghĩa, dĩ chiêu chiêu ư sử bút chi công luận hĩ.",Thế là nghĩa lớn khen chê đã rõ rệt ở lời công luận của sử bút.
迨 聖 宗 淳 皇 帝 稟 睿 智 之 資 厲 英 雄 之 志 拓 土 開 疆 創 法 定 制 尤 留 意 史 籍 .,"Đãi Thánh Tông Thuần Hoàng Đế, lẫm duệ trí chi tư, lệ anh hùng chi chí, thác thổ khai cương, sáng pháp định chế, vưu năng lưu ý sử tịch.","Kịp đến Thánh Tông Thuần Hoàng Đế, bẩm tính trí tuệ, hăng chí anh hùng, khai thác đất đai, mở mang bờ cõi, lập phép tắc, định chế độ, lại rất lưu ý sử sách."
乃 於 洪 德 十 年 間 命 禮 部 左 侍 郎 兼 國 子 監 司 業 吳 士 連 纂 修 大 越 史 記 全 書 .,"Nãi ư Hồng Đức thập niên gian, mệnh Lễ bộ tả thị lang kiêm Quốc tử giám tư nghiệp Ngô Sĩ Liên, toản tu Đại Việt sử kí toàn thư.","Khoảng năm Hồng Đức thứ mười , sai Lễ bộ hữu thị lang kiêm Quốc sử giám tư nghiệp Ngô Sĩ Liên biên soạn Đại Việt Sử Ký toàn thư."
繼 以 .,Kế dĩ ...,Tiếp đến
襄 翼 帝 於 洪 順 三 年 命 兵 部 尙 書 兼 國 子 監 司 業 兼 史 官 都 總 裁 武 撰 大 越 通 鑑 述 自 鴻 庞 氏 至 十 二 使 君 别 為 外 紀 自 丁 先 皇 至 國 朝 太 祖 髙 皇 帝 大 定 天 下 年 為 本 紀 .,"Tương Dực Đế ư Hồng Thuận tam niên, mệnh Binh bộ Thượng thư kiêm Quốc tử giám tư nghiệp kiêm Sử quan đô tổng tài Vũ Quỳnh, soạn Đại Việt Thông Giám, thuật tự Hồng Bàng thị chí Thập nhị sứ quân, biệt vi ngoại kỉ, tự Đinh Tiên Hoàng chí Quốc triều Thái Tổ Cao Hoàng Đế đại định thiên hạ sơ niên vi bản kỉ.","Tương Dực Đế năm Hồng Thuận thứ ba , sai Binh bộ thượng thư kiêm Quốc tử giám tư nghiệp kiêm Sử quan đô tổng tài Vũ Quỳnh soạn Đại Việt Thông Giám, chép từ Hồng Bàng thị đến Mười hai sứ quân tách riêng làm Ngoại Kỷ, từ Đinh Tiên Hoàng đến năm đầu Thái Tổ Cao Hoàng Đế bản triều đại định thiên hạ làm Bản Kỷ."
其 筆 削 大 法 又 炳 炳 於 史 筆 之 徵 㫖 矣 .,"Kì bút tước đại pháp, hựu bính bính ư sử bút chi trưng chỉ hĩ.",Phép lớn về việc chép hay bỏ lại được thể hiện rõ trong ý chỉ tinh vi của sử bút.
至 於 洪 順 六 年 又 命 少 保 禮 部 尙 書 東 閣 大 學 士 兼 國 子 監 祭 酒 知 經 筵 事 書 伯 黎 嵩 大 越 通 鑑 總 論 可 謂 篤 志 於 史 學 而 其 是 非 亦 不 逃 於 公 議 矣 .,"Chí ư Hồng Thuận lục niên, hựu mệnh Thiếu bảo Lễ bộ thượng thư Đông các đại học sĩ kiêm Quốc tử giám tế tửu tri Kinh diên sự Đôn thư bá Lê Tung, soạn Đại Việt Thông Giám Tổng Luận, khả vị đốc chí ư sử học, nhi kì thị phi diệc bất năng đào ư công nghị hĩ.","Đến năm Hồng Thuận thứ sáu , lại sai thiếu bảo Lễ bộ thượng thư Đông các đại học sĩ kiêm Quốc tử giám tế tửu tri Kinh diên sự là Đôn Thư bá Lê Tung soạn bài Đại Việt Thông Giám Tổng Luận, có thể nói là dốc trí vào sử học mà sự khen chê cũng không thể nào vượt ra ngoài công nghị được."
暨 光 紹 五 年 又 命 禮 部 尙 書 史 官 副 都 總 裁 知 .,"Kị Quang Thiệu ngũ niên, hựu mệnh Lễ bộ Thượng thư Sử quan phó đô tổng tài tri ...","Đến năm Quang Thiệu thứ năm , lại sai Lễ bộ thượng thư Sử quan phó đô tổng tài tri ..."
昭 文 舘 秀 林 局 鄧 鳴 謙 作 詠 史 詩 集 亦 可 謂 求 諷 詠 於 詩 而 考 見 其 得 失 矣 .,"Chiêu văn quán Tú lâm cục Đặng Minh Khiêm tác Vịnh Sử Thi Tập, diệc khả vị năng cầu phúng vịnh ư thi, nhi khảo kiến kì đắc thất hĩ.","Chiêu Văn quán Tú lâm cục Đăng Minh Khiêm làm Vịnh Sử Thi Tập, cũng có thể nói là biết tìm ngụ ý khen chê trong thơ mà xem xét việc hay việc dở vậy."
由 是 而 觀 編 集 國 史 者 屢 至 再 四 但 未 刊 板 頒 布 致 傳 錄 錯 繆 不 無 亥 豕 魚 魯 之 失 .,"Do thị nhi quan biên tập quốc sử giả lũ chí tái tứ, đán vị khan bản ban bố, trí truyền lục thác mậu bất năng vô ""hợi- thỉ, ngư- lỗ"" chi thất.","Do đó mà xem thì việc biên tập quốc sử đã làm đến ba bốn lần rồi, nhưng vì chưa khắc in để ban bố, dẫn đến truyền chép lầm lẫn, không tránh khỏi những nghĩa sai lạc “hợi-thỉ, ngư-lỗ”."
若 不 委 之 板 正 何 以 洗 相 沿 之 故 習 㢤 .,"Nhược bất uỷ chi bản chính, hà dĩ tẩy tương duyên chi cố tập tai.",Nếu không uỷ nhiệm người hiệu chính thì làm thế nào mà rửa bỏ được thói quen lâu ngày theo nhau ấy.
欽 惟 皇 上 陛 下 嗣 守 丕 基 率 循 大 卞 日 與 大 元 帥 掌 國 政 尙 師 西 王 整 飭 紀 綱 作 興 文 教 專 委 欽 差 節 制 各 處 水 步 諸 營 兼 總 政 柄 太 尉 宜 國 .,"Khâm duy: Hoàng thượng bệ hạ tự thủ phỉ cơ, suất tuần đại biện, nhật dữ Đại nguyên soái chưởng quốc chính thượng sư Tây Vương chỉnh sức kỉ cương, tác hưng văn giáo, chuyên uỷ Khâm sai tiết chế các xứ thuỷ bộ chư dinh kiêm Tổng chính bính Thái uý Nghi quốc ...","Kính nghĩ: Hoàng thượng bệ hạ nối giữ nghiệp lớn, noi theo phép lớn, hằng ngày cùng với Đại nguyên suý chưởng quốc chính thượng sư Tây Vương [Trịnh Tạc] chỉnh đốn giường mối, chấn hưng văn giáo, chuyên uỷ cho Khâm sai tiết chế các xứ thuỷ bộ chư doanh kiêm Tổng chính bính Thái uý Nghi quốc."
公 鄭 根 典 司 政 本 講 求 治 理 深 知 夫 史 乃 正 當 時 之 名 分 示 來 世 之 勸 懲 .,"công Trịnh Căn điển tư chính bản, giảng cầu trị lí, thâm tri phù, sử nãi chính đương thời chi danh phận, thị lai thế chi khuyến trừng.","Công Trịnh Căn giữ gốc chính trị, tìm lẽ trị bình, biết sâu sắc rằng, sử là để giữ đúng danh phận thời nay, mà tỏ ý khuyên răn đời sau."
