cn,sv,vi
"春風大雅能容物
秋水文章不染塵","Xuân phong đại nhã năng dung vật;
Thu thưt iun chương bất nhiễm trần.","Dung muôn vật, gió xuân thật nhã
Chẳng bụi vương, thu thúy giòng văn."
"春入春天春不老
福臨福地福無疆","Xuân nhập xuân thiên xuân bất lão;
Phúc lâm phúc dịa phúc vô cương.","Xuân nhập trời xuân xuân bất lão;
Phúc vào đất phúc phúc vô biên."
"強身健骨人長壽
盛世丰年國太平","Cương thân kiện cốt nhân trường thọ;
Thịnh thế phong niên quốc thái bình.","Thân cường cốt mạnh người trường thọ;
Thời thịnh mùa nhiều nước thái bình."
"人傑地靈百業興旺
山歡水笑五谷丰登","Nhân kiệt dịa linh bách nghiệp hưng vượng;
Sơn hoan thủy tiếu ngũ cốc phong đăng.","Nhân kiệt dịa linh bách nghiệp hưng vượng;
Sông vui núi nhộn ngũ cốc bội thu."
"倒海移山豪情永在
改天換地樂趣無窮","Đảo hải di sơn hào tình vĩnh tại;
Cải thiên hoán địa lạc thú vô cùng.","Lấp biển đời non tinh thần còn mãi;
Đổi trời thay đất hứng thú không cùng."
"瑞繞重門增百福
春回甲第集千祥","Thụy nhiều trùng món tăng bách phúc;
Xuân hồi giáp đệ tập thiên tường.","Tết đến nhiều nhà thêm trăm phúc
Xuân về đầu cửa được nghìn may."
"冬去山川齊秀麗
春來桃李共芬芳","Đông khứ sơn xuyên tề tú lệ.
Xuân lai đào lý cộng phân phương.","Xinh đẹp đồi khe khi đông hết;
Thơm tho đào mận lúc xuân về."
"新春喜接新時代
大眾歡呼大有年","Tân xuân hỷ tiếp tân thời đại;
Đại chúng hoa hô đại hữu niên.","Xuân mới đón mừng thời đại mới;
Đại chúng hoan hô đại được mùa."
"正策英明處處生机勃勃
春風得意家家喜气洋洋","Chính sách anh minh xứ xử sinh cơ bột bột;
Xuân phong đắc ý gia gia hỷ khí dương dương.","Chính sách anh minh chốn chốn làm nên lắm lắm;
Gió xuân đúng lúc nhà nhà hớn hở khơi khơi."
"政策英明山歡水笑
人心爽快物阜年丰","Chính sách anh minh sơn hoan thủy tiếu;
Nhân tâm sảng khoái vật phụ niên phong.","Chính sách anh minh sông cười núi sướng;
Lòng người sảng khoái vật bội năm hên."
"為人民服務一腔熱血
替群眾理財兩袖清風","Vị nhân dân phục vụ nhất xoang nhiệt huyết;
Thế quần chúng lý tài lưỡng tụ thanh phong.","Phục vụ nhân dân một tấm lòng nhiệt huyết;
Đỡ đần quần chúng hai tay áo thanh phong."
"百業興昌欣逢盛世
萬民愉悦喜接新年","Bách nghiệp hưng xương hân phùng thịnh thế;
Vạn dân du duyệt hỷ tiếp tân niên.","Bách nghiệp phồn vinh vui mừng thịnh thế;
Muôn dân phấn chấn chào đón tân niền."
"冬去春來千條楊柳迎風綠
民安國泰萬里山河映日紅","Đông khứ xuân lai thiên điều dương liểu nghênh phong lục;
Dân an quốc thái vạn lý sơn hà ánh nhật hồng.","Đông hết xuân về nghìn nhành dương liều xanh nhờ gió;
Dân an nước thịnh vạn dặm non sông đỏ ánh dương."
"田野欣臨春雨春風春景
農家喜有新農新谷新家","Điền dã hân lâm xuân vũ xuân phong xuân cảnh;
Nông gia hỷ hữu tân nông tân cốc tân gia.","Mưa xuân gió xuân cảnh xuân, đồng điền vui đón;
Áo mới lúa mới nhà mới, nông nghiệp mừng vui."
"梅柳迎春萬里東風綻桃李
椿董含笑一門气樂桑榆","Mai liễu nghênh xuân vạn lý đông phong trạn đào lý;
Xuân huyên hàm tiếu nhất môn khí lạc tang du.","Mai liệu đón xuân vạn dặm gió đông đùa đào mận;
Xoan huyên ngậm nụ cả nhà vui vẻ với dâu tầm."
"國事和平一家團聚
春光浩蕩四 安寧","Quốc sự hòà bình nhất gia đoàn tụ;
Xuân quang hạo đăng tứ cảnh an ninh.","Việc nước yên bình cả nhà đoàn tụ;
Ánh xuân lồng lộng bốn cõi thái hòà."
"汗水潤喉歡唱丰收曲
政策指路敲開致富門","Hãn thủy nhuận hầu hoan xướng phong thu khúc;
Chính sách chỉ lộ xao khai trí phú môn.","Mồ hôi nhuận giọng hát lên khúc mùa được;
Chính bách chỉ đường gọi mở hướng làm giầu."
"鑼鼓喧天共奏迎春妙曲
風雷動地同抒蹈海豪情","La cổ huyên thiên cộng tâu nghênh xuân diệu khúc;
Phong lôi động địa đồng trữ đạo hải hào tình.","Khúc nhạc chào xuân hợp tấu vang trời chiêng trống;
Tinh thần vượt biển cùng lúc động đất sấm vang."
"美酒千杯共享農歡樂
山歌萬曲唱政策英明","Mỹ tửu thiên bôi cộng hưởng nông hoan lạc;
Sơn ca vạn khúc xướng chính sách anh minh.","Rượu tốt nghìn ly cùng hưởng nhà nông vui vẻ;
Dân ca vạn khúc đồng hát chính sách anh minh."
"高舉長山火炬續寫創業史
發揚光榮傳統高唱正气歌","Cao cử Trường Sơn hỏa cự tục tả sáng nghiệp sử;
Phát dương quang vinh truyền thống cao xướng chính khí ca.","Dương cao bó đuốc Trường Sơn viết tiếp trang sử mới;
Phát huy truyền thống quang vinh hát vang khúc hành ca."
"越馬揚鞭萬眾一心驅窮白
飛花點翠十兆雙手纖河山","Việt mã dương tiên vạn chúng nhất tâm khu cùng bạch;
Phi hoa điểm thuý thập triệu song thủ chức hà sơn.","Tuấn mã thêm roi quần chúng một lòng xua nghèo đói;
Hoa thêu điểm bích chục triệu đôi tay dệt non sông."
"水笑山歡人勤春早年年好
花香鳥語國泰民安日日新","Thuỷ tiếu sơn hoan nhân cần xuân tảo niên niên hảo;
Hoa hương điểu ngữ quốc thái dân an nhật nhật tân.","Tốt đến năm năm non vui người mắn mừng xuân sớm;
Ngày ngày đổi mới chim hót hoa thơm đón thái bình."
"新歲雨晴祖國千桃爭盛放
故園春滿鄉村百鳥共歸來","Tân tuế vũ tình tố quốc thiên đào tranh thịnh phóng;
Cố viên xuân mãn hương thôn bách điểu cộng quy lai.","Năm mới ngớt mưa tổ quốc nghìn đào tranh nở toa;
Vườn xưa xuân đến quê hương bách điểu rủ nhau về."
"擊筑且高歌英雄气洽三杯酒
彈琴复長嘯壯士胸羅百萬兵","Kích củng thả cao ca anh hùng khí hiệp tam bôi tửu;
Đàn cầm phúc trường khiếu tráng sĩ hung la bách vạn bình.","Gõ gậy lại cao ca anh hùng khí hiệp ba ly rượu;
Gảy đàn rồi hú lớn tráng sĩ trong lòng bách vạn binh."
"移風易俗
除舊布新","Di phong dị tục;
Trừ cựu bố tân.","Dời phong đổi tục;
Trừ cựu tiếp tân."
"門迎百福
户納千祥","Môn nghênh bách phúc;
Hộ nạp thiên tường.","Cửa chào bách phúc;
Nhà đón nghìn lành."
"春風墨韻
夜雨書聲","Xuân phong mặc vận;
Dạ vũ thư thanh.","Gió xuân làm thơ;
Mưa đêm đọc sách."
"祥光滿室
瑞气盈門","Tường quang mãn thất;
Thụy khí doanh môn.","Điềm tốt khắp nhà;
Khí lành đầy cửa."
"一方和气
四面春風","Nhất phương hòà khí;
Tứ diện xuân phong.","Một vùng hòa khí;
Bốn phía xuân phong."
"花迎喜气
寫唱春光","Hoa nghênh hỷ khí;
Điểu xướng xuân quang.","Hoa chào điềm tốt;
Chim hót ánh xuân."
"天開淑景
人柴丰年","Thiền khai thục cảnh;
Nhân lạc phong niên.","Trời mở cảnh thịnh;
Người vui bội thu."
"全家福气
滿院春光","Toàn gia phúc khí;
Mãn viện xuân quang.","Toàn gia hưởng phúc;
Khắp chốn ánh xuân."
"春光普照
福气長臨","Xuân quang phổ chiếu;
Phúc khí trường lâm.","Ánh xuân chiếu khắp;
Điềm phúc dài lâu."
"新年朝气
古國雄風","Tân niên triêu khí;
Cổ quốc hùng phong","Năm mới khí mới;
Nước cổ nếp hùng."
"十分春色
萬里腿程","Thập phân xuân sắc;
Vạn lý bằng trình.","Sắc xuân đầy khắp;
Đường đi muôn dặm."
"九州永泰
四季長春","Cửu châu vĩnh thái;
Tử quý trường xuân.","Toàn quốc thái hòà;
Bốn mùa đều xuân."
"江山如畫
大地皆春","Giang sơn như hoạ;
Đại địa giai xuân.","Non sông như vẽ;
Khắp chốn đều xuân."
"江山永固
廣宇同春",Giang sơn vĩnh cố;,"Quản gun đển vuận.
Trời đất cùng xuân."
"日出千山秀
花開萬里香","Nhật xuât thiên sơn tu;
Hoa khai vạn lý hương.","Trời rạng nghìn non đẹp;
Hoa nở vạn dặm thơm."
"腊月初臨福
新年又報祥","Lạp nguyệt sơ lâm phúc;
Tân niên hựu báo tường.","Tháng chạp phúc mới đến;
Đầu năm lại có mừng."
"千峰月色
四海春光","Thiên phong nguyệt sắc;
Tứ hải xuân quang.","Nghìn non trăng sáng;
Bốn biển ánh xuân."
"春爲一歲首
梅占百花魁","Xuân vi nhất tuế thủ;
Mai chiếm bách hoa khôi.","Một năm xuân là nhất;
Trăm hoa mai đến đầu."
"紅旗映日
白米迎春","Hồng kỳ ánh nhật;
Bạch mề nghênh xuân.","Cờ hồng ánh nhật;
Gạo trắng mừng xuân."
"河清海晏
人壽年丰","Hà thanh hải yến;
Nhân thọ niên phong.","Sông trong biển lặng;
Người thọ năm vui."
"春降千門福
花開萬戶歡","Xuân giáng thiên môn phúc;
Hoa khai vạn hộ hoan.","Xuân về muôn nhà phúc;
Hoa nở vạn hộ vui."
"神州腾异彩
祖國頌新章","Thần châu đằng dị thái;
Tổ quốc tụng tân chương.","Muôn sắc hòà sông núi;
Văn mới ngợi nước nhà."
"風調雨順
國泰民安","Phong điều vũ thuận;
Quốc thái dân an.","Gió hòà mưa thuận;
Nước thịnh dân vui."
"萬家騰笑語
四海慶新春","Vạn gia đằng tiếu ngữ;
Tứ hải khánh tân xuân.","Muôn nhà vui cười nói;
Bốn biển chúc xuân về."
"陽光凝大地
春色入人家","Dương quang ngưng dại địa;
Xuân sắc nhập nhân gia.","Ánh dương đầy khắp chốn;
Xuân sắc đến từng nhà."
"燕語千門曉
鶯聲萬户春","Yến ngữ thiên môn hiểu;
Oanh thanh vạn hộ xuân.","Yên hót nghìn nhà sáng;
Oanh ca vạn hộ xuân."
"春風添畫意
歲月賦詩情","Xuân phong thiêm hoạ ý;
Tuế nguyệt phú thi tình.","Gió xuân thêm ý hoạ;
Năm tháng đọng tình thơ."
"年豊人益壽
春早福盈門","Niên phong nhân ích thọ;
Xuân tảo phúc doanh môn.","Năm vui người thêm thọ;
Xuân sớm phúc đầy nhà."
"風來花自舞
春入鳥能言","Phong lai hoa tự vũ;
Xuân nhập điểu năng ngôn.","Gió lùa xui hoa múa;
Xuân đến khiến chim ca."
"春暖群芳喜
風清百鳥鳴","Xuân noăn quần phương hỷ;
Phong thanh bách điểu minh.","Xuần ấm muôn hương tỏả;
Gió lùa bách điểu ca."
"國家行善政
民眾享康寧","Quốc gia hành thiện chính;
Dân chúng hưởng khang ninh.","Nước nhà đường lối tốt;
Dân chúng hưởng an ninh."
"紅點桃花嫩
青描柳色新","Hồng điểm đào hoa nộn;
Thanh miêu liễu sắc tân.","Đào non hoa hồng điểm;
Liễu mới sắc xanh tô."
"太平真富貴
春色大文章","Thái bình chân phú quý;
Xuân sắc đại văn chương.","Thái bình là phú quý;
Xuân sắc ấy văn chương."
"花沐春雨艷
福依党恩生","Hoa mộc xuân vũ diệm;
Phúc y Đảng ân sinh.","Hoa tắm mưa xuân nở;
Phúc nhờ Đảng mà sinh."
"花香能醉蝶
柳色欲迷鶯","Hoa hương năng túy điệp;
Liễu sắc dục mê oanh.","Hương hoa làm say bướm;
Sắc liểu khiến mê oanh."
"錦繡山河壯
繽紛春色嬌","Cẩm tú sơn hà tráng;
Tân phân xuân sắc kiều.","Gấm vóc non sông mạnh;
Tươi tắn xuân sắc xinh."
"喜雨千山果
和風萬樹花","Hý vũ thiên sơn quả;
Hòà phong vạn thụ hoa.","Mưa thuận đồi đầy quả;
Gió hòà cây nở hoa."
"花開春富貴
竹報歲吉祥","Hoa khai xuân phú quý;
Trúc báo tuế cát tường.","Hoa nở cho xuân đẹp;
Trúc báo để nắm vui."
"萬紫千紅地
花團錦簇天","Vạn tử thiên hồng địa;
Hoa đoàn cẩm thốc thiên.","Đất nghìn hồng vạn tía;
Trời hoa nở gấm thêu."
"青山添秀色
碧海泛春潮","Thanh sơn thiêm tú sắc;
Bích hải phiếm xuân triều.","Núi xanh thêm sắc tú;
Biển biếc nổi triều xuân."
"光風千日暖
麗景百花妍","Quang phong thiên nhật noãn;
Lệ cảnh bách hoa nghiên.","Gió xuân nghìn ngày ấm;
Cảnh đẹp trăm hoa tươi."
"歲歲平安日
年年如意春","Tuế tuế bình an nhật;
Niên niên nhưý xuân.","Tuế nguyệt bình yên cả;
Năm năm ý xuân vui."
"地暖花長發
林幽鳥任歌","Địa noãn hoa trường phát;
Lâm u điểu nhậm ca.","Đất ấm hoa đua nở;
Rừng sâu chim thoả ca."
