cn,vi
"以 大 義 而 勝 兇 殘,","Đem đại nghĩa để thắng hung tàn,"
以 至 仁 而 易 彊 暴。,Lấy chí nhân để thay cường bạo.
蒲 藤 之 霆 驅 電 掣 ，,"Trận Bồ Đằng sấm vang chớp giật,"
茶 麟 之 竹 破 灰 飛 。,Miền Trà Lân trúc chẻ tro bay.
"士 氣 以 之 益 增,",Sĩ khí đã hăng
軍 聲 以 之 大 振 。,Quân thanh càng mạnh.
陳 智 山 壽 聞 風 而 褫 魄，,"Trần Trí, Sơn Thọ nghe hơi mà mất vía,"
李 安 方 政 假 息 以 偷 生 。,"Lý An, Phương Chính, nín thở cầu thoát thân."
"乘 勝 長 驅, 西 京 既 為 我 有；","Thừa thắng đuổi dài, Tây Kinh quân ta chiếm lại,"
選 兵 進 取， 東 都 盡 復 舊 疆 。,"Tuyển binh tiến đánh, Đông Đô đất cũ thu về."
"寧 橋 之 血 成 川, 流 腥 萬 里;","Ninh Kiều máu chảy thành sông, tanh trôi vạn dặm"
窣 洞 之 屍 積 野 ，遺 臭 千 年 。,"Tụy Động thây chất đầy nội, nhơ để ngàn năm."
"陳 洽 賊 之 腹 心, 既 梟 其 首;",Phúc tâm quân giặc Trần Hiệp đã phải bêu đầu
"李 亮 賊 之 奸 蠹, 又 暴 厥 屍 。",Mọt gian kẻ thù Lý Lượng cũng đành bỏ mạng.
"王 通 理 亂 而 焚 者 益 焚,","Vương Thông gỡ thế nguy, mà đám lửa cháy lại càng cháy"
馬 瑛 救 鬥 而 怒 者 益 怒 。,Mã Anh cứu trận đánh mà quân ta hăng lại càng hăng.
"彼 智 窮 而 力 盡, 束 手 待 亡;","Bó tay để đợi bại vong, giặc đã trí cùng lực kiệt,"
"我 謀 伐 而 心 攻, 不 戰 自 屈。","Chẳng đánh mà người chịu khuất, ta đây mưu phạt tâm công."
謂 彼 必 易 心 而 改 慮，,Tưởng chúng biết lẽ ăn năn nên đã thay lòng đổi dạ
豈 意 復 作 孽 以 速 辜。,Ngờ đâu vẫn đương mưu tính lại còn chuốc tội gây oan.
"執 一 己 之 見 以 嫁 禍 於 他 人,","Giữ ý kiến một người, gieo vạ cho bao nhiêu kẻ khác,"
貪 一 時 之 功 以 貽 笑 於 天 下 。,"Tham công danh một lúc, để cười cho tất cả thế gian."
"遂 靈 宣 德 之 狡 童, 黷 兵 無 厭;",Thằng nhãi con Tuyên Đức động binh không ngừng
仍 命 晟 昇 之 懦 將， 以 油 救 焚 。,"Đồ nhút nhát Thạnh, Thăng đem dầu chữa cháy"
"丁 未 九 月 柳 昇 遂 引 兵 猶 邱 溫 而 進,","Đinh mùi tháng chín, Liễu Thăng đem binh từ Khâu Ôn kéo lại"
本 年 十 月 木 晟 又 分 途 自 雲 南 而 來 。,"Năm ấy tháng mười, Mộc Thạnh chia đường từ Vân Nam tiến sang."
"予 前 既 選 兵 塞 險 以 摧 其 鋒,","Ta trước đã điều binh thủ hiểm, chặt mũi tiên phong"
予 後 再 調 兵 截 路 以 斷 其 食 。,"Sau lại sai tướng chẹn đường, tuyệt nguồn lương thực"
"本 月 十 八 日 柳 昇 為 我 軍 所 攻, 計 墜 於 支 稜 之 野；","Ngày mười tám, trận Chi Lăng, Liễu Thăng thất thế"
"本 月 二 十 日 柳 昇 為 我 軍 所 敗, 身 死 於 馬 鞍 之 山。","Ngày hai mươi, trận Mã Yên, Liễu Thăng cụt đầu"
二 十 五 日 保 定 伯 梁 銘 陣 陷 而 喪 軀，,"Ngày hăm lăm, bá tước Lương Minh đại bại tử vong"
二 十 八 日 尚 書 李 慶 計 窮 而 刎 首 。,"Ngày hăm tám, thượng thư Lý Khánh cùng kế tự vẫn."
"我 遂 迎 刃 而 解,",Thuận đà ta đưa lưỡi dao tung phá
彼 自 倒 戈 相 攻。,Bí nước giặc quay mũi giáo đánh nhau
"繼 而 四 面 添 兵 以包 圍,",Lại thêm quân bốn mặt vây thành
期 以 十 月 中 旬而 殄 滅 。,Hẹn đến giữa tháng mười diệt giặc
"爰 選 貔 貅 之士,",Sĩ tốt kén người hùng hổ
申 命 爪 牙 之 臣。,Bề tôi chọn kẻ vuốt nanh
"飲 象 而 河 水 乾,","Gươm mài đá, đá núi cũng mòn"
磨 刀 而 山 石 鈌。,"Voi uống nước, nước sông phải cạn."
"一 鼓 而 黥 刳 鱷 斷,","Đánh một trận, sạch không kình ngạc"
再 鼓 而 鳥 散 麇 驚 。,Đánh hai trận tan tác chim muông.
決 潰 蟻 於 崩 堤，,"Cơn gió to trút sạch lá khô,"
振 剛 風 於 稿 葉 。,Tổ kiến hổng sụt toang đê vỡ.
都 督 崔 聚 膝 行 而 送 款 ，,"Đô đốc Thôi Tụ lê gối dâng tờ tạ tội,"
尚 書 黃 福 面 縛 以 就 擒。,Thượng thư Hoàng Phúc trói tay để tự xin hàng.
"僵 屍 塞 諒 江 諒 山 之 途,","Lạng Giang, Lạng Sơn, thây chất đầy đường"
戰 血 赤 昌 江 平 灘 之 水 。,"Xương Giang, Bình Than, máu trôi đỏ nước"
風 雲 為 之 變 色，,"Ghê gớm thay! Sắc phong vân phải đổi,"
日 月 慘 以 無 光 。,Thảm đạm thay! Ánh nhật nguyệt phải mờ
其 雲 南 兵 為 我 軍 所 扼 於 梨 花 ，自 恫 疑 虛 喝 而 先 以 破 腑;,"Bị ta chặn ở Lê Hoa, quân Vân Nam nghi ngờ khiếp vía mà vỡ mật!"
"其 沐 晟 眾 聞 昇 軍 大 敗 於 芹 站, 遂 躪 藉 奔 潰 而 僅 得 脫 身。","Nghe Thăng thua ở Cần Trạm, quân Mộc Thạnh xéo lên nhau chạy để thoát thân."
"冷 溝 之 血 杵 漂, 江 水 為 之 嗚 咽；","Suối Lãnh Câu, máu chảy thành sông, nước sông nghẹn ngào tiếng khóc"
"丹 舍 之 屍 山 積, 野 草 為 之 殷 紅。","Thành Đan Xá, thây chất thành núi, cỏ nội đầm đìa máu đen."
兩 路 救 兵 既 不 旋 踵 而 俱 敗 ，,"Cứu binh hai đạo tan tành, quay gót chẳng kịp,"
各 城 窮 寇 亦 將 解 甲 以 出 降 。,"Quân giặc các thành khốn đốn, cởi giáp ra hàng"
"賊 首 成 擒, 彼 既 掉 餓 虎 乞 憐 之 尾 ；","Tướng giặc bị cầm tù, như hổ đói vẫy đuôi xin cứu mạng"
"神 武 不 殺, 予 亦 體 上 帝 孝 生 之 心 。","Thần Vũ chẳng giết hại, thể lòng trời ta mở đường hiếu sinh"
"參 將 方 政, 內 官 馬 騏, 先 給 艦 五 百 餘 艘, 既 渡 海 而 猶 且 魂 飛 魄 散;","Mã Kỳ, Phương Chính, cấp cho năm trăm chiếc thuyền, ra đến biển mà vẫn hồn bay phách lạc,"
"總 兵 王 通, 參 政 馬 瑛，又 給 馬 數 千 餘 匹, 已 還 國 而 益 自 股 慄 心 驚。","Vương Thông, Mã Anh, phát cho vài nghìn cỗ ngựa, về đến nước mà vẫn tim đập chân run."
"彼 既 畏 死 貪 生, 而 修 好 有 誠;",Họ đã tham sống sợ chết mà hòa hiếu thực lòng
"予 以 全 軍 為 上, 而 欲 民 之 得 息。","Ta lấy toàn quân là hơn, để nhân dân nghỉ sức."
"非 惟 謀 計 之 極 其 深 遠,",Chẳng những mưu kế kì diệu
蓋 亦 古 今 之 所 未 見 聞 。,Cũng là chưa thấy xưa nay
"社 稷 以 之 奠 安,",Xã tắc từ đây vững bền
山 川 以 之 改 觀 。,Giang sơn từ đây đổi mới
"乾 坤 既 否 而 復 泰,",Càn khôn bĩ rồi lại thái
日 月 既 晦 而 復 明 。,Nhật nguyệt hối rồi lại minh
"于 以 開 萬 世 太 平 之 基,",Ngàn năm vết nhục nhã sạch làu
于 以 雪 天 地 無 窮 之 恥 。,Muôn thuở nền thái bình vững chắc
是 由 天 地 祖 宗 之 靈 有 以 默 相 陰 佑 而 致 然 也 !,Âu cũng nhờ trời đất tổ tông linh thiêng đã lặng thầm phù trợ;
於 戲 !,Than ôi!
"一 戎 大 定, 迄 成 無 兢 之 功;","Một cỗ nhung y chiến thắng, nên công oanh liệt ngàn năm"
"四 海 永 清, 誕 布 維 新 之 誥 。","Bốn phương biển cả thanh bình, ban chiếu duy tân khắp chốn."
播 告 遐 邇，,"Xa gần bá cáo,"
咸 使 聞 知 。,Ai nấy đều hay.
