cn,vi
青青陌上桑,Dâu xanh mọc bờ nương
陌上桑　陌上桑,"Dâu bờ nương, dâu bờ nương,"
妾意君心誰短長,Ý thiếp lòng chàng ai đoản trường?
自從別後風沙隴,Từ độ giã từ nơi cát gió
明月知君何處宿,Trăng sáng hay chăng chàng đâu đó
古來征戰場,Xưa nay chốn chiến trường
萬里無人屋,Muôn dặm nhà chẳng có
風熬熬兮打得人顏憔,Gió buốt buốt hề làm mặt người tiều tụy
水深深兮怯得馬蹄縮,Nước sâu sâu hề khiến ngựa dậm chùng vó
戍夫枕鼓臥龍沙,Lính đêm gối trống nằm bờ Long
戰士抱鞍眠虎陸,Sĩ tối lăn mình trên bãi Hổ
今朝漢下白登城,Sáng nay Hán xuống Bạch Đăng thành
明日胡窺青海曲,Mai rạng Hồ vào Thanh Hải dọ
青海曲青山高復低,Eo Thanh Hải non cao rồi lại thấp
青山前青溪斷復續,Trước Thanh Sơn khe nhỏ hết lại to
青山上雪蒙頭,"Lên non xanh, tuyết đội đầu"
青溪下水沒腹,"Xuống khe lục, ngâm nước rỏ"
可憐多少鐵衣人,Thương thay cho những người mang giáp
思歸當此愁顏蹙,"Mong về, sầu ấy mấy giày vò"
錦帳君王知也無,Trướng gấm quân vương có biết chăng
艱難誰為畫征夫,Gian nan ai vẽ mặt quan võ
料想良人經歷處,Mường tưởng những nơi chàng từng ghé
蕭關角瀚海隅,Hãn Hải Tiêu Quan bãi gò
霜村雨店,Thôn sương quán gió
虎落蛇區,Hang xà động hổ
風餐露宿,Ăn mưa nằm móc
雪脛冰鬚,Băng râu tuyết giò
登高望雲色,Lên cao nhìn mây trắng
安復不生愁,Lòng sao thêm vò võ.
自從別後東南徼,Từ độ giã từ đông nam đạo
東南知君戰何道,Đông nam biết chàng đánh nơi nao
古來征戰人,Xưa nay người chinh chiến
性命輕如草,Tính mệnh nhẹ hồng mao
鋒刃下溫溫挾纊主恩深,"Dưới gươm bén, ấm ấm tấc lòng ơn vua nặng"
時刻中歷歷橫戈壯士夭,Trong phút giây lượt lượt thước mâu đổ máu đào
祈山舊塚月茫茫,Núi kỳ gò cũ trăng chênh chếch
淝水新墳風裊裊,Phì Giang ụ mới gió phao phao
風裊裊空吹死士魂,Gió phao phao thổi hồn người tử sĩ
月茫茫曾照征夫貌,Trăng chênh chếnh soi rạng mặt anh hào
征夫貌兮誰丹青,Mặt anh hào hề ai điểm trang
死士魂兮誰哀弔,Hồn tử sĩ hề ai khóc não
可憐爭鬪舊江山,Thương cho nước cũ dấu binh đao
行人過此情多少,Kẻ bước chân qua những nỗi nào
古來征戰幾人還,Xưa nay chinh chiến mấy kẻ về
班超歸時鬢已斑,Ban Siêu đầu bạc mới thấy quê
料想良人馳騁外,Mường tượng chàng ngoài miền rủi ngựa
三尺劍一戎鞍,"Gươm ba đoạn, yên một ghế"
秋風沙草,Gió thu cỏ cát
明月關山,Quan ải sơn khê
馬頭鳴鏑,Ngựa tên inh ỏi
城上緣竿,Lũy giáo đề huề
功名百忙裏,"Công danh, bận trăm đường"
勞苦未應閒,"Lao khổ, nhàn chưa dễ"
勞與閒誰與言,"Tỏ cùng ai, nhọc với nhàn"
君在天涯妾倚門,"Chàng ngoài hải giác, thiếp cửa loan"
倚門固妾今生分,Hỏi sao thiếp phận đành ôm cửa
天涯豈君平生魂,Nào cớ chàng hồn chốn quan san
自信相隨魚水伴,Vẫn tưởnng cùng nhau duyên cá nước
那堪相隔水雲村,Đâu ngờ xa cách nước mây ngàn
妾身不想為征婦,Thiếp chẳng màng vai người chinh phụ
君身豈學為王孫,Chàng chẳng học đòi bã vua quan
何事江南與江北,Sao chịu giang nam lại hà bắc
令人愁曉更愁昏,Khiến người sớm thán lại chiều than
一個是風流少年客,Tuổi thanh niên chàng phong lưu một khách
一個是深閨少年婚,Ngày xuân thì thiếp khuê các một trang
可堪兩年少,Sao đành hai tuổi trẻ
千里各寒暄,Tâm sự cách quan san
憶昔與君相別時,Nhớ trước cùng chàng hôm từ ly
柳條猶未囀黃鸝,Oanh vàng chưa để liễu xanh lay
問君何日歸,Ngày về hỏi khi nao
君約杜鵑啼,Rằng quyên báo hạn kỳ
杜鵑已逐黃鸝老,"Quyên bay mất dạng, oanh già mất"
青柳樓前語鷾鴯,Bên lầu liễu vẳng tiếng ý nhi
憶昔與君相別中,Nhớ trước cùng chàng hôm tiễn tống
雪梅猶未識東風,Mai tuyết còn chưa tỏ gió đông
問君何日歸,Ngày về hỏi khi nao
君指桃花紅,Chàng hẹn lúc đào hồng
桃花已伴東風去,Hoa đào quen gió đông bay mất
老梅江上又芙蓉,"Mai già, sông lại trổ phù dung"
與我約何所,Hẹn ước chốn nào đến
乃約隴西岑,Bèn bảo Lũng Tây sầm
日中兮不來,Nửa ngày hề không lại
墜葉兜我簪,Lá rụng chạm cành trâm
竚立空涕泣,Đứng không mà bật khóc
荒邨喧午禽,Thôn vắng tiếng gia cầm
與我約何所,Hẹn ước chốn nào đến
乃約漢陽橋,Lại bảo Hán Dương kiều
日晚兮不來,Ngày trọn hề không lại
谷風吹我袍,Gió thổi vạt áo xiêu
竚立空涕泣,Đứng không mà bật khóc
寒江起暮潮,Sông lạnh cơn nước chiều
昔年寄信勸君回,Năm trước gửi tin nhủ chàng về
今年寄信勸君來,Năm nay lại nhắn nhủ thăm quê
信來人未來,Tin đến người chưa đến
楊花零落委蒼苔,"Hoa dương héo rụng, rêu đề huề"
蒼苔蒼苔又蒼苔,Rêu đề huề thêm rêu đề huề
一步閒庭百感催,Một bước quanh sân trăm não nề
昔年回書訂妾期,Năm trước hồi thư đã hẹn ngày
今年回書訂妾歸,Năm nay thư lại báo trùng lai
書歸人未歸,Thư đến người chưa đến
紗窗寂寞轉斜暉,Song the tịch mịch nắng tà lay
斜暉斜暉又斜暉,Nắng tà lay lại nắng tà lay
十約佳期九度違,Mười phen hẹn ước chín lượt thay
試將去日從頭數,Thử tính lại ngày đi bao tá
不覺荷錢已三鑄,Chẳng biết sen tiền trổ đã ba
最苦是連年紫塞人,Khổ nhất là quanh năm trú quân Tử Tái
最苦是千里黃花戍,Khốn nhất là ngàn dặm lính thú Hoàng Hoa
黃花戍誰無堂上親,Lính Hoàng Hoa ai mà không cha mẹ
紫塞人誰無閨中婦,Quân Tử Tái kẻ nào chẳng thê noa
有親安可暫相離,Cha mẹ sao nỡ tạm chia lìa
有婦安能久相負,Thê phụ sao đành lâu cách xa
君有老親鬢如霜,Chàng có song đường tóc đã sương
君有兒郎年且孺,Lại có con thơ đương vận tã
老親兮倚門,Song đường hề tựa cửa
兒郎兮待哺,Con dại hề khóc la
供親餐兮妾為男,Nuôi cha mẹ hề thiếp thay chồng
課子書兮妾為父,Dạy con thơ hề thiếp làm cha
供親課子此一身,Nuôi già dạy trẻ đấy một thân
傷妾思君今幾度,Đau thiếp nhớ chàng đà mấy hạ
思君昨日兮已過,Mong chàng hôm trước hề đã qua
思君今年兮又暮,Nhớ chàng năm nay hề chửa xóa
君淹留二年三年更四年,Chàng xuôi dòng hai năm ba năm những bốn năm
妾情懷百縷千縷還萬縷,Thiếp tình hòai trăm mớ nghìn mớ rồi vạn mớ
安得在君邊,Chẳng thể được bên chàng
訴妾衷腸苦,Tỏ khổ nhà bao xá
妾有漢宮釵,Thiếp có Hán Cung Thoa
曾是嫁時將送來,Từng đã theo chân rời quê ngoại
憑誰寄君子,Cậy ai gửi quân tử
表妾相思懷,Tỏ thiếp tương tư hoài
妾有秦樓鏡,Thiếp có Tần lâu kính
曾與郎初相對影,Từng với chàng xưa cùng đối ảnh
憑誰寄君子,Cậy ai gửi quân tử
照妾今孤另,Soi thiếp dạ băng trinh
妾有鉤指銀,Thiếp có chiếc nhẫn bạc
手中時相親,Trong tay thời tương thân
憑誰寄君子,Cậy ai gửi quân tử
微物寓慇懃,Vật mọn gói ân cần
妾有搔頭玉,Thiếp có ngọc cài đầu
嬰兒年所弄,Thuở bé thường vui chơi
憑誰寄君子,Cậy ai gửi quân tử
他鄉幸珍重,Nâng niu lúc xứ người
昔年音信有來時,Năm kia thư tín có đôi lời
今年音稀信亦稀,Năm nay thư vắng tín cũng vơi
見雁枉然思塞帛,Thấy nhạn tưởng thư từ tái ngoại
聞霜漫自製綿衣,Nghe sương tự may manh áo mới
西風欲寄無鴻便,"Gió tây muốn gửi, chim chẳng giúp"
天外憐伊雪雨垂,"Xót kẻ chân mây, đẫm tuyết sương"
雪寒伊兮虎帳,Tuyết lạnh áo hề trướng hổ
雨冷伊兮狼幃,Sương buốt giáp hề màn lang
寒冷般般苦,Lạnh buốt bao nhiêu khổ
天外可憐伊,Chân trời mấy thê lương
錦字題詩封更展,"Niêm lại mở, thư đề chữ gấm"
金錢問卜信還疑,"Tín lại ngờ, quẻ bói tiền vàng"
幾度黃昏時重軒人獨立,Mấy phen ác lặn mà hiên trùng người còn đứng
幾回明月夜單枕鬢斜攲,Bao độ trăng tròn mà đêm côi gối tóc ngổn ngang
不關酖與酣惛惛人似醉,Không men rượu mà người say ra lẩn thẩn
不關愚與惰懵懵意如癡,Chẳng ngu khờ mà ý si vẻ mê mang
簪斜委鬌髼無奈,"Trâm nghiêng, bờ tóc rối chẳng màng"
裙褪柔腰瘦不支,"Quần lỏng, qua eo gầy không quản"
晝沈沈午院行如墜,"Ngày nặng nề, sân trưa đi tưởng ngã"
夕悄悄湘簾捲又垂,"Đêm lặng lẽ, sáo tương cuộn lại giăng"
簾外窺日出枝頭無鵲報,"Ngoài sáo, chim chẳng mách thấy đỉnh đầu bóng ác"
簾中坐夜來心事只燈知,"Trong mành, ngồi đến đêm tâm sự chỉ bày ngọn đăng"
燈知若無知,Đăng biết như không biết
妾悲只自悲,Bi thương tự bi thương
悲又悲兮更無言,Bi lại bi hề chẳng nên lời
燈花人影總堪憐,Bóng người đèn rạng thảy thương khơi
咿喔雞聲通五夜,Năm canh trọn tiếng gà eo óc
披拂槐陰度八磚,Tám gạch tròn hòe xoã phất phơi
愁似海,Buồn như biển
刻如年,Phút tựa đời
強燃香花魂消檀炷下,"Gượng thắp hương, hồn hoa theo nhang tàn mất"
強臨鏡玉筋墜菱花前,"Gượng soi gương, lệ ngọc rỏ trước hoa rơi"
強援琴指下驚停鸞鳳柱,"Gượng khẩy cầm, phím Loan phượng dưới ngón chùng lại"
強調瑟曲中悲遏鴛鴦絃,"Gượng đàn sắt, sợi uyên ương giữa khúc đứt rời"
此意春風若肯傳,Đông phong ý đó hẳn muốn truyền
千金借力寄燕然,Ngàn vàng non Yên nhờ gửi tới
燕然未能傳,Chẳng thể gửi non yên
憶君迢迢兮路如天,Nhớ chàng vời vợi hề đường tựa trời
天遠未易通,Trời xa chẳng dễ thông
憶君悠悠兮思何窮,Nhớ chàng thăm thẳm hề ý nào cùng
懷人處傷心胸,Quê người đau xót trong lòng
樹葉青霜裡,Lá đa giữa sương xanh
蛩聲細雨中,Tiếng ve trong mưa phùn
霜斧殘兮楊柳,Sương bổ tan hề dương liễu
雨鋸損兮梧桐,Mưa khứa nát hề ngô đồng
鳥返高舂,Chim về ngọn thung
露下低叢,Móc sa cội tùng
寒垣候虫,Sân lạnh đầy trùng
遠寺曉鐘,Chùa sáng chuông rung
蟋蟀數聲雨,Dế mèn mưa vài tiếng
芭蕉一院風,Chuối tiêu đợt gió ròng
風裂紙窗穿帳隙,"Xuyên khe cửa giấy, cơn gió toạt"
月移花影上簾櫳,"Treo rèm hoa ảnh, ánh trăng lồng"
花前月照月自白,Trước hoa trăng soi trăng tự sáng
月下花開花自紅,Dưới nguyệt hoa khai hoa tự hồng
月花花月兮影重重,Nguyệt hoa hoa nguyệt bóng trùng trùng
花前月下兮心忡忡,Trước hoa dưới nguyệt hề lòng nao núng
千般懶萬事慵,"Nhác ngàn việc, nhãng trăm công"
慵女工錦軸恥拋鴛對偶,"Nhác nữ công, trục gấm thẹn với uyên bay phối ngẫu"
慵婦巧金針羞刺蝶雌雄,"Nhác phụ xảo, kim vàng hổ với bướm lượn vợ chồng"
慵粧對曉空施粉,"Nhác vẽ, không son trông nắng sớm"
慵語終朝悶倚窗,"Nhác lời, cả sáng buồn tựa song"
倚窗倚窗復倚窗,Tựa song tựa song lại tựa song
郎君去兮誰為容,Chàng đi mất hề vẽ ai trông?
誰為容兮空盤桓,Vẽ ai trông hề cõi bàng hoàng
郎君去兮隔重關,Chàng đi mất hề cách trùng quan
何啻天帝孫冷落泣銀渚,Đâu chỉ ngọn Thái Sơn lạnh lẽo khóc sông Ngân
何啻姮娥婦凄凉坐廣寒,Đâu chỉ nàng Hằng Nga thê lương ngồi điện Quảng
藉愁兮為枕,Tựa sầu hề gối nặng
煮悶兮為餐,Thổi buồn hề cơm khan
欲將酒制愁愁重酒無力,"Muốn mượn men tiêu sầu, sầu nặng rượu không sức"
欲將花解悶悶壓花無顏,"Muốn nhờ hoa giải muộn, muộn lắm đóa héo tàn"
愁悶總為愁悶誤,Sầu muộn thảy làm sầu muộn lụy
悶愁化作九泉灘,"Cửu tuyền, muộn sầu hóa làm doành"
試瓊笙兮不成響,Thử sênh quỳnh hề không thành điệu
抱銀箏兮不忍彈,Ôm tranh bạc hề chẳng nỡ đàn
思遠塞兮行路難,Nhớ ải xa hề đường đi khó
念征夫兮囊索單,Mong chinh phu hề túi một lơn
鵑聲啼落關情淚,"Tiếng quyên hót, rụng tình rơi lệ"
樵鼓敲殘帶憊肝,"Tiêu trống xao, nát phổi nhàu gan"
不勝憔悴形骸軟,"Thua cơn tiều tụy, hình hài rã"
始覺睽離滋味酸,Mới biết ly phôi vị chua toan
滋味酸兮酸更辛,Vị chua toan hề chua lại cay
酸辛端的為良人,Chua cay do chính bởi chàng đây
為良人兮雙妾淚,Do bởi chàng hề đôi lệ đó
為良人兮隻妾身,Do bởi chàng hề một thân này
妾身不到君征帳,Thân thiếp chưa đến trướng quân lang
妾淚不到君征巾,Lệ thiếp chưa đẫm khăn chiến sĩ
惟有夢魂無不到,Chỉ có mộng hồn đâu cũng đến
尋君夜夜到江津,Tìm ai đêm lại đến biên thùy
尋君兮陽台路,Tìm chàng hề nẻo Dương Đài
會君兮湘水濱,Gặp chàng hề bờ Tương Thủy
記得幾番歡會處,Nhớ những lúc nơi vui hội ngộ
無非一枕夢中春,Chẳng qua là bên gối mộng xuân
此身反恨不如夢,Giận rằng mình chẳng như là mộng
隴水函關與子親,Bến Lũng thành Quan đó được gần
夢去每憎驚更斷,Mộng hết giận lòng mơ lại tỉnh
夢回又慮幻非真,"Mộng về lại sợ , giả không chân"
惟有寸心真不斷,Chỉ một tấc lòng thành chẳng dứt
未嘗頃刻少離君,Chưa từng một khoảnh khắc ly phân
心不離君未見君,Dù chẳng ly phân chửa được gần
凭高幾度望征輪,Trèo cao mấy lượt dõi chinh luân
望君何所見,Trông chàng đâu được thấy
江洲滿白蘋,Cù lao rau trắng ngần
燕草披青縷,Tơ xanh choàng cỏ yến
秦桑染綠雲,Mây lục nhuốm dâu tần
南來井邑半兵塵,Bên nam thôn xóm lưng bụi trận
落日平沙鷺一群,Sông đoài bãi lội toán chim vần
望君何所見,Trông chàng đâu được thấy
官路短長亭,Đường quan mấy dịch đình
雲間吳樹暗,Ngang mây ngô thụ xám
天際蜀山青,Lưng trời Thục sơn xanh
北來禾黍半荒城,Bên bắc kê ngô nửa hoang thành
微雨江樓笛一聲,Mưa phùn lầu sáo vẳng âm thanh
望君何所見,Trông chàng đâu được thấy
崆山葉做堆,Non Không lá thành tòa
自飛青野雉,Liệng bay chim trĩ biếc
自舞隔江梅,Nhảy múa cội mai xa
東去煙嵐慘不開,Qua đông lam khói mịt không tàn
西風飄薄鳥聲哀,Gió đoài nhạn lạc kêu thiết tha
望君何所見,Trông chàng đâu được thấy
河水曲如鉤,Sông nước cuộn như câu
長空數點雁,Trời xa chim vài điểm
遠浦一歸舟,Viễn phố một con tàu
西去松楸接斷蕪,Bóng đoài thông biếc xen rêu dại
行人微沒隔蒼洲,Người đi gò lục khuất non sau
望盡天頭又地頭,Trông khắp chân mây rồi góc biển
幾日登樓更下樓,Mấy bận lên lầu lại xuống lầu
凍雲阻盡相思眼,Mây đông che trọn đôi mắt nhớ
何處玉關征戰陬,Ngọc quan chinh chiến ở nơi đâu?
恨無長房縮地術,Giận không côn phép đem thâu đất
恨無仙子擲巾符,Giận chẳng khăn tiên để bắc cầu
有心誠化石,Có lòng thành hóa đá
無淚可登樓,Không lệ khó lên lầu
回首長堤楊柳色,Ngoảnh lại đê dài xanh dương liễu
悔教夫婿覓封侯,Tiếc đã khuyên ai chí công hầu
不識離家千里外,Chẳng biết xa nhà ngoài vạn dặm
君心有似妾心不,Lòng chàng ý thiếp có như nhau?
君心倘與妾心似,Lòng chàng ví tựa hồ như thiếp
妾亦於君何怨尤,Thì sá gì mang chút oán sầu
妾心如花常向陽,Lòng thiếp như hoa theo trời rạng
只怕君心如流光,Lòng chàng chỉ e dường nắng thoảng
流光一去不復照,Nắng thoảng thoáng qua rồi vụt tắt
花為流光黃又黃,Hoa vì nắng tắt úa màu vàng
花黃更向誰邊笑,Hoa dẫu vàng trông người cười nhạt
流光不肯一迴照,Nắng thoảng không giọt sáng sẻ sang
黃花卻為流光老,Hoa kia do nắng thoảng mà già
黃花老兮落滿墻,Hoa già rơi khắp nhà mênh mang
花落如今經幾霜,Hoa rụng như nay đã mấy sương
庭蘭兮已摘,Lan sân hề đã hái
江藻兮又芳,Cỏ sông hề lại hương
攝衣步前堂,Khoác áo dạo sân vắng
仰目觀天章,Ngưỡng mặt ngắm thiên chương
纖雲時彷彿,Mây thưa thời phảng phất
北斗忽低昂,Bắc đẩu lúc nhập nhường
河水翻明滅,Sông nước phao trăng sáng
參躔乍現藏,Sao Sâm thóang một đường
月照兮我床,Trăng chiếu hề đầu sạp
風吹兮我牆,Gió thổi hề chân tường
玉顏隨年削,Mặt ngọc theo năm héo
丈夫猶他方,Trai hùng vẫn tha phương
昔為形與影,Xưa kia hình với bóng
今為參與商,Nay nỡ Sâm với Thương
君邊雲擁青絲騎,Chàng cưỡi thanh ty mây còn phủ
妾處苔生嚮屧廊,Thiếp đi hài Hưởng dấu rêu vương
廊內春風日將歇,Hiên nhà hơi xuân thắm thoắt qua
可憐誤盡良時節,Thương sao để nhỡ tiết ôn hòa
良時節姚黃魏紫嫁東風,Tiết ôn hòa vàng Diêu tía Ngụy gả gió Đông
良時節織女牛郎會明月,Tiết ôn hòa chàng Ngưu ả Chức gặp trăng tỏa
昨日未笄西家娘,Hôm trước nhà tây chưa vấn tóc
今年已歸東鄰倩,Năm nay đông ốc rể đã qua
可怜兔守一空房,Tiếc công giữ thỏ chốn phòng không
年年誤盡良時節,Năm qua lại nhỡ tiết ôn hòa
良時節兮忽如梭,Thoắt như thoi hề tiết ôn hòa
人世青春容易過,Đời người xuân sắc chóng trôi qua
況復是春悶未消秋恨續,"Lại huống gì sầu xuân chưa hết, thêm thu muộn"
況復是合歡更少別愁多,"Lại huống gì gặp nhau càng ít, lắm cách xa"
別愁秋恨兩相磨,Biệt sầu thu hận thẩy giày vò
蒲柳青青能幾何,Bồ liễu kia xanh được bao tá
空漢惜淚咨嗟,Hoài thương tiếc lệ thở than
只怕白到文君頭空嘆惜,Chỉ lo Văn Quân khi bạc đầu hòai vô ích
只恐花到潘郎鬢浪咨嗟,Chỉ sợ Phan Lang lúc tóc sương phí thở than
嘆惜何以為,Thương tiếc để làm gì
顏色猶紅如嫩花,Hoa tươi đương còn thắm hồng nhan
咨嗟何以為,Than vãn để làm chi
光陰一擲無回戈,Một đi không về bóng thời gian
咨命薄惜年花,"Thương mệnh bạc, tiếc tuổi xuân"
紛紛少婦幾成皤,Xuân xanh mấy chốc tóc bạc ngần
香閣重懷陪笑臉,Gác hương tiếc mãi hôm hội ngộ
花樓尚記解香羅,Lầu hoa còn nhớ vải thơm lân
恨天不與人方便,Giận trên chẳng để người được toại
底事到今成坎坷,Để nỗi bây giờ lắm gian truân
坎坷坎坷知奈何,Gian truân gian truân lại gian truân
為妾嗟兮為君嗟,Than thiếp thân hề tiếc lang quân
君不見野外雙鴛鴦,Chàng có thấy ngòai nội đôi uyên ương
甘心不忍兩分張,Đâu cam phải chịu cảnh đôi đường
又不見樑間雙燕燕,Lại có thấy bên dòng đôi oanh yến
白首何曾忘眷戀,Bạc đầu không khi ngừng quyến luyến
鶼鶼也無情,Chim kiềm dẫu không lời
比翼相隨過一生,Sát cánh cùng bay suốt một đời
蛩蛩也無知,Côn trùng vốn vô tri
並驅到老不相違,Quần bầy xa cách chẳng một khi
路柳曾傳連理處,Liễu bên đường từng liền vạn nẻo
池蓮亦有並頭時,Sen trong ao chạm mặt có thì
負蟨兮駏驉,Chở nặng hề “Cự hư”
抱蘿兮菟絲,Dây leo hề “thố ty”
何人生之相違,Con người sao xa cách
嗟物類之如斯,Vạn vật chẳng phân ly
安得在天為比翼鳥,Sao được trên không liền cánh như chim
在地為連理枝,Dưới đất liền cành như cây
寧甘死相見,Thà được thác gặp mặt
不忍生相離,Không cầu sống chia ly
雖然死相見,Nhưng thác xuống gặp mặt
曷若生相隨,Sao bằng sống sum vầy
安得君無老日,Mong sao chàng chẳng lúc nào già
妾常少年,Thiếp mãi như hoa
願為影兮隨君邊,Ở bên chàng hề nguyện làm bóng
君有行兮影不遠,Dẫu chàng đi hề bóng chẳng xa
君依光兮妾如願,Chàng vinh quang hề ước một dạ
願君許國心如丹,Ước chàng giúp nước dạ như son
願君庇民身如鐵,Ước chàng cứu dân thân như thiết
饑來吞下月氏頭,Đói thì ăn trọn Nhục Chi đầu
渴來飲下單于血,Khát thì uống sạch Thiền Vu huyết
何幸期門鋒刃中,Mấy phúc môn Kỳ chốn gươm đao
老天著意護英雄,Trời già thương đoái hộ anh hào
護英雄百戰功,Hộ anh hào trăm công trận
長驅駟馬靜關東,Quan Đông bình định bốn ngựa thao
關東關北休傳箭,Quan Đông quan Bắc ngừng tên bắn
山尾山頭早掛弓,Đầu núi đuôi non rũ cung đao
捷色旌旗辭塞月,Uy lẫm rợp cờ lìa trăng ải
凱歌將士背邊風,Hoàn ca hơi trận bỏ lại sau
勒詩兮燕然石,Non Yên Nhiên hề thơ đề
獻馘兮未央宮,Cung Vị Ương hề đầu trao
未央宮兮向天朝,Vị ương cung hề hướng thiên trào
挽銀河兮洗刀弓,Dẫn sông ngân hề rửa gươm đao
詞人刪下平淮頌,Thi nhân viết bài Bình Hoài Tụng
樂府歌傳入漢謠,Nhạc phường tấu khúc nhập Hán dao
凌煙閣兮秦叔寶,Lăng yên các hề Tần Phúc Bảo
麒麟台兮霍嫖姚,Kỳ lân đài hề Hoắc Phiêu dao
天長地久茅苴券,"Tên sách danh bia, lưu ngàn thủa"
子蔭妻封爵祿標,"Tử ấm thê phong, lộc dồi dào"
有愁兮此日,Có sầu hề hôm nay
得意兮來時,Đắc ý hề có ngày
妾非蘇家癡心婦,Thiếp chẳng dại như người Tô phụ
君亦洛陽好男兒,Lạc Dương chàng cũng bậc tài trai
歸來倘佩黃金印,Khi về ví mang qủa ấn vàng
肯學當年不下機,Há học tuồng cửi chẳng buông tay
願為君兮解征衣,Nguyện vì chàng hề thu manh giáp
願為君兮捧霞巵,Nguyện vì chàng hề rót chén mây
為君梳櫛雲鬟髻,Vì chàng nâng lại dòng mây tóc
為君粧點玉臙脂,Vì chàng điểm lại vẻ trang đài
取君看兮舊淚帕,Khăn lệ xưa hề chàng xem đẫm
訴君聽兮舊情詞,Thơ tình cũ hề thiếp tỏ bày
舊情詞兮換新聯,Thơ tình cũ hề sum họp mới
語新話舊兮酒杯前,Chuyện cũ lời nay hề rượu lại vơi
