大 越 史 記 續 編 序	Đại Việt sử kí tục biên tự	
威 德 定 王 整 頓 乾 坤 綱 維 治 教 專 委 欽 差 節 制 各 處 水 歩 諸 營 兼 掌 政 權 太 尉 晉 國 公 鄭 柄 賛 㐮 治 化 振 作 文 風 深 帷 史 記 之 中 明 是 非 而 公 好 惡 森 乎 華 衮 斧 鉞 之 榮 嚴 寔 為 萬 世 衡 鑑	uy đức Định Vương chỉnh đốn càn khôn cương duy trị giáo chuyên uỷ Khâm sai tiết chế các xứ thuỷ bộ chư dinh kiêm Chưởng chính quyền thái uý Tấn quốc Công Trịnh Bính tán tương trị hoá chấn tác văn phong thâm duy sử kí chi trung minh thị phi nhi công hiếu ố sâm hồ hoa cổn phủ việt chi vinh nghiêm thực vi vạn thế hành giám	
乃 於 事 幾 之 暇 特 命 臣 等 訂 考 𦾔 史 訛 者 正 之 純 者 録 之	Nãi ư sự cơ chi hạ đặc mệnh thần đẳng đính khảo cựu sử ngoa giả chính chi thuần giả lục chi	
其 世 次 凣 例 年 表 一 如 前 所 著 述	Kì thế thứ phàm lệ niên biểu nhất như tiền sở trước thuật	
又 蓃 獵 𦾔 跡 參 諸 野 史 類 編 自 玄 宗 穆 皇 帝 景 治 之 𥘉 年 至 嘉 宗 羙 皇 帝 德 元 之 二 年 凣 十 有 三 載 事 實 亦 命 曰 本 紀 續 編	Hựu sưu liệp cựu tích tham chư dã sử loại biên tự Huyền Tông Mục Hoàng Đế Cảnh Trị chi sơ niên chí Gia Tông Mĩ Hoàng Đế Đức Nguyên chi nhị niên phàm thập hữu tam tải sự thực diệc mệnh viết Bản kỉ tục biên	
書 成 上 進 御 覽 遂 命 工 刊 刻 頒 布 天 下 使 徔 前	Thư thành thượng tiến ngự lãm toại mệnh công san khắc ban bố thiên hạ sử tòng tiền	
天 百 年 未 集 之 事 績 遹 底 于 成	thiên bách niên vị tập chi sự tích duật để vu thành	
天 下 之 人 目 是 編 者 豁 然 如 覩 青 天 坦 然 如 循 大 路	Thiên hạ chi nhân mục thị biên giả khoát nhiên như đổ thanh thiên thản nhiên như tuần đại lộ	
善 者 知 所 激 昂 惡 者 知 所 懲 𠬠	Thiện giả tri sở khích ngang ác giả tri sở trừng một	
推 而 為 脩 齊 治 平 之 極 功 綏 来 動 和 之 大 效 端 在 是 矣	Suy nhi vi tu tề trị bình chi cực công tuy lai động hoà chi đại hiệu đoan tại thị hĩ	
謹 序	Cẩn tự	
𠱾	Thời	
正 和 十 八 年 嵗 在 丁 丑 仲 冬 榖 日	Chính Hoà thập bát niên tuế tại Đinh Sửu trọng đông cốc nhật	
奉 㫖 考 編 特 進 金 紫 榮 禄 大 夫 參 從 刑 部 尙 書 知 中 書 監 萊 山 子 臣 黎 僖	Phụng chỉ khảo biên Đặc tiến Kim tử Vinh lộc đại phu Tham tụng Hình bộ Thượng thư tri Trung thư giám Lai Sơn tử thần Lê Hi	
光 進 慎 禄 大 夫 陪 從 户 部 右 侍 郎 廉 堂 男 臣 阮 貴 德	Quang Tiến Thận Lộc đại phu Bồi tụng Hộ bộ Hữu thị lang Liêm Đường nam thần Nguyễn Quý Đức	
弘 信 大 夫 陪 從 太 僕 寺 卿 知 侍 内 書 寫 兵 番 臣 阮 公 董	Hoằng Tín đại phu Bồi tụng Thái bộc tự khanh tri Thị nội thư tả Binh phiên thần Nguyễn Công Đổng	
弘 信 大 夫 陪 從 鴻 矑 寺 卿 知 侍 内 書 寫 户	Hoằng Tín đại phu Bồi tụng Hồng lô tự khanh tri Thị nội thư tả Hộ	
番 臣 武 城	phiên thần Vũ Thạnh	
弘 信 大 夫 陪 從 奉 天 府 尹 知 水 師 臣 何 宗 穆	Hoằng tín đại phu Bồi tụng Phụng Thiên phủ doãn tri Thuỷ sư thần Hà Tông Mục	
進 功 郎 陪 從 吏 科 級 事 中 知 侍 内 書 寫 户 番 臣 阮 行	Tiến công lang Bồi tụng Lại khoa cấp sự trung tri Thị nội thư tả Hộ phiên thần Nguyễn Hành	
進 功 郎 户 科 給 事 中 臣 阮 致 中	Tiến công lang Hộ khoa cấp sự trung thần Nguyễn Trí Trung	
進 功 郎 工 科 給 事 中 臣 阮 當 褒	Tiến Công lang Công khoa cấp sự trung thần Nguyễn Đương Bao	
謹 事 郎 翰 林 院 校 理 臣 阮 邁	Cẩn Sự lang Hàn lâm viện hiệu lí thần Nguyễn Mại	
謹 事 佐 郎 翰 林 院 校 討 臣 阮 湖	Cẩn sự tá lang Hàn lâm viện hiệu thảo thần Nguyễn Hồi	
謹 事 佐 郎 翰 林 院 校 討 臣 吳 公 擢	Cẩn sự tá lang Hàn lâm viện hiệu thảo thần Ngô Công Trạc	
進 功 郎 昭 文 舘 司 訓 臣 陳 附 翼	Tiến công lang Chiêu văn quán ti huấn thần Trần Phụ Dực	
進 功 郎 昭 文 舘 司 訓 臣 杜 公 弼	Tiến Công lang Chiêu văn quán ti huấn thần Đỗ Công Bật	
内 差 特 進 金 紫 榮 禄 大 夫 司 禮 監 總 太 監 副 知 侍 内 書 寫 兵 番 寬 海 侯 臣 范 廷 僚 奉 監 謄 刊	Nội sai đặc tiến Kim tử Vinh Lộc đại phu Tư lễ giám Tổng thái giám phó tri Thị nội thư tả Binh phiên Khoan Hải hầu thần Phạm Đình Liêu phụng giám đằng san	
内 差 特 進 金 紫 榮 禄 大 夫 司 禮 監 同 知 監 事 僉 知 歩 兵 書 寫 令 史 校 義 侯 臣 阮 成 名 奉 監 謄 刊	Nội sai đặc tiến Kim tử Vinh lộc đại phu Tư lễ giám đồng tri giám sự Thiêm tri bộ binh thư tả lệnh sử Hiệu Nghĩa hầu thần Nguyễn Thành Danh phụng giám đằng san	
内 差 特 進 金 紫 榮 禄 大 夫 司 禮 監 左 監 丞	Nội sai đặc tiến Kim tử Vinh lộc đại phu Tư lễ giám tả giám thừa	
珪 祥 侯 臣 阮 俊 堂 奉 監 謄 刊	Khuê Tường hầu thần Nguyễn Tuấn Đường phụng giám đằng san	
内 差 特 進 金 紫 縈 禄 大 夫 司 禮 監 左 監 丞 望 祥 侯 臣 吳 冠 倫 奉 監 謄 刊	Nội sai đặc tiến Kim tử Vinh lộc đại phu Tư lễ giám tả giám thừa Vọng Tường hầu thần Ngô Quán Luân phụng giám đằng san	
特 進 金 紫 縈 禄 大 夫 少 卿 副 勾 将 臣 吏 燿 堂 子 臣 吳 德 勝 奉 㸔 謄 寫	Đặc tiến Kim tử Vinh lộc đại phu Thiếu khanh Phó câu kê tướng thần lại Diệu Đường tử thần Ngô Đức Thắng phụng khán đằng tả	
副 該 合 将 臣 吏 少 卿 洪 江 男 臣 棃 仕 勳 奉 属 㸔 謄	Phó cai hợp tướng thần lại Thiếu khanh Hồng Giang nam thần Lê Sĩ Huân phụng thuộc khán đằng	
優 中 侍 内 書 寫 兵 番 臣 髙 登 朝 奉 謄	Ưu trúng thị nội thư tả Binh phiên thần Cao Đăng Triều phụng đằng	
優 中 侍 内 書 寫 兵 番 臣 杜 公 廉 奉 謄	Ưu trúng thị nội thư tả Binh phiên thần Đỗ Công Liêm phụng đằng	
優 中 侍 内 書 寫 水 兵 番 臣 鄧 有 斐 奉 謄	Ưu trúng thị nội thư tả Thuỷ binh phiên thần Đặng Hữu Phỉ phụng đằng	
優 中 都 吏 臣 阮 有 德 奉 謄	Ưu trúng Đô lại thần Nguyễn Hữu Đức phụng đằng	
梓 人 紅 录 柳 幢 等 社 人 奉 刊	Tử nhân Hồng Lục Liễu Chàng đẳng xã nhân phụng san	
大 越 史 記 續 編 書	Đại Việt sử kí tục biên thư	
國 史 何 為 而 作 也 盖 史 以 記 事 為 主	Quốc sử hà vi nhi tác dã Cái sử dĩ kí sự vi chủ	
有 一 代 之 治 必 有 一 代 之 史	Hữu nhất đại chi trị tất hữu nhất đại chi sử	
而 史 之 載 筆 持 論 甚 嚴 如 黼 黻 至 治 與 日 月 而 並 明 铁 鉞 亂 賊 與 秋 霜 而 俱 厲	Nhi sử chi tải bút trì luận thậm nghiêm như phủ phất chí trị dữ nhật nguyệt nhi tịnh minh thiết việt loạn tặc dữ thu sương nhi cụ lệ	
善 者 知 可 以 為 法 惡 者 知 可 以 為 戒 䦕 係 治 體 不 為 不 多	Thiện giả tri khả dĩ vi pháp ác giả tri khả dĩ vi giới quan hệ trị thể bất vi bất đa	
故 有 爲 而 作 也	Cố hữu vi nhi tác dã	
粤 自 我 國 繼 天 地 之 開 闢 鴻 庞 氏 首 出 御 世 歷 至 國 朝 黎 恭 皇 有 君 有 臣 有 體 統 其 政 治 之 得 失 世 道 之 隆 汚 禮 樂 之 興 人 物 之 賢 否 莫 不 僃 載	Việt tự ngã quốc kế thiên địa chi khai tịch Hồng Bàng thị thủ xuất ngự thế lịch chí quốc triều Lê Cung Hoàng hữu quân hữu thần hữu thể thống kì chính trị chi đắc thất thế đạo chi long ô lễ nhạc chi hưng phế nhân vật chi hiền phủ mạc bất bị tải	
於 史 之 中	ư sử sách chi trung	
試 嘗 考 之 昔 翰 林 院 學 士 兼 國 史 院 監 修 黎 文 休 承 陳 太 宗 之 命 編 大 越 史 記 自 趙 武 帝 至 李 昭 皇 及 修 史 官 潘 孚 先 奉 皇 朝 仁 宗 命 續 編 大 越 史 記 自 陳 太 宗 至 明 人 還 國	Thí thường khảo chi Tích Hàn lâm viện học sĩ kiêm Quốc sử viện giám tu Lê Văn Hưu thừa Trần Thái Tông chi mệnh biên Đại Việt sử kí tự Triệu Vũ Đế chí Lí Chiêu Hoàng cập tu sử quan Phan Phu Tiên phụng Hoàng triều Nhân Tông mệnh tục biên Đại Việt sử kí tự Trần Thái Tông chí Minh nhân hoàn quốc	
其 抑 揚 大 義 已 昭 昭 於 史 筆 之 公 論 矣	Kì ức dương đại nghĩa dĩ chiêu chiêu ư sử bút chi công luận hĩ	
迨 聖 宗 淳 皇 帝 稟 睿 智 之 資 厲 英 雄 之 志 拓 土 開 疆 創 法 定 制 尤 䏻 留 意 史 籍	Đãi Thánh Tông Thuần Hoàng Đế lẫm duệ trí chi tư lệ anh hùng chi chí thác thổ khai cương sáng pháp định chế vưu năng lưu ý sử tịch	
乃 於 洪 德 十 年 間 命 禮 部 左 侍 郎 兼 國 子 監 司 業 吳 士 連 纂 修 大 越 史 記 全 書	Nãi ư Hồng Đức thập niên gian mệnh Lễ bộ tả thị lang kiêm Quốc tử giám tư nghiệp Ngô Sĩ Liên toản tu Đại Việt sử kí toàn thư	
繼 以	Kế dĩ	
襄 翼 帝 於 洪 順 三 年 命 兵 部 尙 書 兼 國 子 監 司 業 兼 史 官 都 總 裁 武 撰 大 越 通 鑑 述 自 鴻 庞 氏 至 十 二 使 君 别 為 外 紀 自 丁 先 皇 至 國 朝 太 祖 髙 皇 帝 大 定 天 下 𥘉 年 為 本 紀	Tương Dực Đế ư Hồng Thuận tam niên mệnh Binh bộ Thượng thư kiêm Quốc tử giám tư nghiệp kiêm Sử quan đô tổng tài Vũ Quỳnh soạn Đại Việt Thông Giám thuật tự Hồng Bàng thị chí Thập nhị sứ quân biệt vi ngoại kỉ tự Đinh Tiên Hoàng chí Quốc triều Thái Tổ Cao Hoàng Đế đại định thiên hạ sơ niên vi bản kỉ	
其 筆 削 大 法 又 炳 炳 於 史 筆 之 徵 㫖 矣	Kì bút tước đại pháp hựu bính bính ư sử bút chi trưng chỉ hĩ	
至 於 洪 順 六 年 又 命 少 保 禮 部 尙 書 東 閣 大 學 士 兼 國 子 監 祭 酒 知 經 筵 事 書 伯 黎 嵩 𢮪 大 越 通 鑑 總 論 可 謂 篤 志 於 史 學 而 其 是 非 亦 不 䏻 逃 於 公 議 矣	Chí ư Hồng Thuận lục niên hựu mệnh Thiếu bảo Lễ bộ thượng thư Đông các đại học sĩ kiêm Quốc tử giám tế tửu tri Kinh diên sự Đôn thư bá Lê Tung soạn Đại Việt Thông Giám Tổng Luận khả vị đốc chí ư sử học nhi kì thị phi diệc bất năng đào ư công nghị hĩ	
暨 光 紹 五 年 又 命 禮 部 尙 書 史 官 副 都 總 裁 知	Kị Quang Thiệu ngũ niên hựu mệnh Lễ bộ Thượng thư Sử quan phó đô tổng tài tri	
昭 文 舘 秀 林 局 鄧 鳴 謙 作 詠 史 詩 集 亦 可 謂 䏻 求 諷 詠 於 詩 而 考 見 其 得 失 矣	Chiêu văn quán Tú lâm cục Đặng Minh Khiêm tác Vịnh Sử Thi Tập diệc khả vị năng cầu phúng vịnh ư thi nhi khảo kiến kì đắc thất hĩ	
由 是 而 觀 編 集 國 史 者 屢 至 再 四 但 未 刊 板 頒 布 致 傳 録 錯 繆 不 䏻 無 亥 豕 魚 魯 之 失	Do thị nhi quan biên tập quốc sử giả lũ chí tái tứ đán vị khan bản ban bố trí truyền lục thác mậu bất năng vô hợi- thỉ ngư- lỗ chi thất	
若 不 委 之 板 正 何 以 洗 相 沿 之 故 習 㢤	Nhược bất uỷ chi bản chính hà dĩ tẩy tương duyên chi cố tập tai	
欽 惟 皇 上 陛 下 嗣 守 丕 基 率 循 大 卞 日 與 大 元 帥 掌 國 政 尙 師 西 王 整 飭 紀 綱 作 興 文 教 專 委 欽 差 節 制 各 處 水 步 諸 營 兼 總 政 柄 太 尉 宜 國	Khâm duy Hoàng thượng bệ hạ tự thủ phỉ cơ suất tuần đại biện nhật dữ Đại nguyên soái chưởng quốc chính thượng sư Tây Vương chỉnh sức kỉ cương tác hưng văn giáo chuyên uỷ Khâm sai tiết chế các xứ thuỷ bộ chư dinh kiêm Tổng chính bính Thái uý Nghi quốc	
公 鄭 根 典 司 政 本 講 求 治 理 深 知 夫 史 乃 正 當 時 之 名 分 示 來 世 之 勸 懲	công Trịnh Căn điển tư chính bản giảng cầu trị lí thâm tri phù sử nãi chính đương thời chi danh phận thị lai thế chi khuyến trừng	
於 是 渙 起 宸 斷 紬 繹 書 史 特 命 臣 與 左 侍 郎 臣 楊 㵆 右 侍 郎 臣 胡 士 揚 臣 阮 國 櫆 臣 鄧 公 瓆 寺 卿 臣 阮 公 壁 東 各 神 裴 廷 貟 侍 書 臣 陶 公 正 待 制 臣 吳 珪 府 尹 臣 阮 廷 正 給 事 中 臣 阮 公 弼 翰 林 臣 阮 曰 庶 臣 武 惟 斷 等 訂 改 國 史 自 洪 庞 氏 至 恭 皇 紀 义 命 續 編 自 荘 宗 裕 帝 至	Ư thị hoán khởi Thần đoạn trừu dịch thư sử đặc mệnh thần dữ Tả thị lang thần Dương Hạo Hữu thị lang thần Hồ Sĩ Dương thần Nguyễn Quốc Khôi thần Đặng Công Chất Tự khanh thần Nguyễn Công Bích Đông các thần Bùi Đình Viên Thị thư thần Đào Công Chính Đãi chế thần Ngô Khuê Phủ doãn thần Nguyễn Đình Chính Cấp sự trung thần Nguyễn Công Bật Hàn lâm thần Nguyễn Viết Thứ thần Vũ Duy Đoán đẳng đính cải quốc sử tự Hồng Bàng thị chí Cung Hoàng kỉ nghĩa mệnh tục biên tự Trang Tông Dụ Đế chí	
神 宗 淵 皇 帝 萬 慶 年 間 述 為 成 書 鋟 梓 頒 行	Thần Tông Uyên Hoàng đế Vạn Khánh niên gian thuật vi thành thư tẩm tử ban hành	
臣 等 自 知 線 其 才 甕 天 其 見 目 不 業 侯 萬 軸 骨 不 世 南 秘 書 其 才 又 出 於 黎 鄧 諸 君 子 之 下 安 敢 馳 鶩 於 數 千 載 之 上 以 僃 補 綴 者 㢤	Thần đẳng tự tri miệt tuyến kì tài ủng thiên kì kiến mục bất Nghiệp hầu vạn trục cốt bất Thế Nam bí thư kì tài hựu xuất ư Lê Đặng chư quân tử chi hạ an cảm trì vụ ư sổ thiên tải chi thượng dĩ bị bổ xuyết giả tai	
然 既 叨 承 成 命 不 敢 以 淺 拙 辭	Nhiên kí thao thừa thành mệnh bất cảm dĩ thiển chuyết từ	
因 共 加 蒐 獵 間 見 抄 録 遺 舛 字 義 蹇 澁 乃 推 尋 意 義 之 中 補 輯 一 二 使 讀 者 易 曉 非 敢 妄 為 附 會 臆 説	Nhân cộng gia sưu liệp gian kiến sao lục di suyễn tự nghĩa kiển sáp nãi suy tầm ý nghĩa chi trung bổ tập nhất nhị sử độc giả dị hiểu phi cảm vọng vi phụ hội ức thuyết	
又 摭 取 自 洪 庞 氏 至 吳 使 君 題 曰 大 越 史 記 外 紀 全 書 自 丁 先 皇 至 我	Hựu chích thủ tự Hồng Bàng thị chí Ngô sứ quân đề viết Đại Việt sử kí ngoại kỉ toàn thư tự Đinh Tiên Hoàng chí ngã	
國 朝 太 祖 髙 皇 帝 為 本 紀 全 書 並 依 如 前 史 臣 吳 士 連 武 瓊 等 之 所 着 述 也	quốc triều Thái Tổ Cao Hoàng Đế vi Bản kỉ toàn thư tịnh y như tiền sử thần Ngô Sĩ Liên Vũ Quỳnh đẳng chi sở trước thuật dã	
其 自 國 朝 太 宗 至 恭 皇 則 因 前 書 所 載 題 曰 本 紀 實 録	Kì tự Quốc triều Thái Tông chí Cung Hoàng tắc nhân tiền thư sở tải đề viết Bản kỉ thực lục	
又 參 究 登 柄 野 史 及 畧 取 當 時 所 献 各 遺 編 述 自 國 朝 庄 宗 裕 皇 帝 至 神 宗 淵 皇 帝 增 入 國 史 命 曰 大 𧻗 史 記 本 紀 續 編	Hựu tham cứu Đăng Bính dã sử cập lược thủ đương thời sở hiến các di biên thuật tự Quốc triều Trang Tông Dụ Hoàng Đế chí Thần Tông Uyên Hoàng Đế tăng nhập quốc sử mệnh viết Đại Việt sử kí bản kỉ tục biên	
總 分 爲 二 十 三 卷	Tổng phân vi nhị thập tam quyển	
凣 所 續 編 其 繋 年 之 下 非 正 統 者 及 北 朝 年 號 皆 两 行 分 註	Phàm sở tục biên kì hệ niên chi hạ phi chính thống giả cập Bắc triều niên hiệu giai lưỡng hành phân chú	
與 夫 凣 例 所 書	Dữ phu phàm lệ sở thư	
一 遵 前 史 書 式	nhất tuân tiền sử thư thức	
皆 所 以 尊 正 統 而 黜 僭 偽 大 綱 而 昭 監 戒 耳	Giai sở dĩ tôn chính thống nhi truất tiếm nguỵ cử đại cương nhi chiêu giám giới nhĩ	
間 或 字 義 之 未 精 句 法 之 未 當 幸 賴 博 洽 諸 君 子 補 正 之 使 人 知 是 史 之 作 其 言 正 治 亦 古 史 之 尙 書 其 寓 褒 貶 亦 魯 史 之 春 秋 有 補 於 治 道 有 裨 於 風 教 是 亦 考 正 之 一 助 云	Gian hoặc tự nghĩa chi vị tinh câu pháp chi vị đáng hạnh lại bác hiệp chư quân tử bổ chính chi sử nhân tri thị sử chi tác kì ngôn chính trị diệc cổ sử chi Thượng Thư kì ngụ bao biếm diệc Lỗ sử chi Xuân Thu thứ hữu bổ ư trị đạo hữu bì ư phong giáo thị diệc khảo chính chi nhất trợ vân	
旹	Thời	
景 治 三 年 歳 在 乙 巳 仲 秋 節 榖 日	Cảnh Trị tam niên tuế tại Ất Tị trọng thu tiết cốc nhật	
賜 戊 辰 科 同 進 士 出 身 參 從 吏 部 尙 書 兼 東 閣 大 𭓇 士 少 保 燕 郡 公 臣 范 公 著 奉 編	Tứ Mậu Thìn khoa đồng Tiến sĩ xuất thân Tham tụng Lại bộ Thượng thư kiêm Đông các đại học sĩ Thiếu bảo Yên quận công thần Phạm Công Trứ phụng biên	
大 越 史 記 外 紀 全 書	Đại Việt sử kí ngoại kỉ toàn thư	
史 以 記 事 也 而 事 之 得 失 為 将 來 之 鑒 戒	Sử dĩ kí sự dã nhi sự chi đắc thất vi tương lai chi giám giới	
古 者 列 國 各 有 史 如 魯 之 春 秋 晉 之 擣 杌 楚 之 乘 是 已 大 越 居 五 嶺 之 南 乃 天 限 南 北 也	Cổ giả liệt quốc các hữu sử như Lỗ chi Xuân Thu Tấn chi Đào Ngột Sở chi Thặng thị dĩ Đại Việt cư Ngũ Lĩnh chi Nam nãi thiên hạn Nam - Bắc dã	
其 始 祖 出 於 神 農 氏 之 後 乃 天 啟 真 主 也 所 以 䏻 與 北 朝 各 帝 一 方 焉	Kì thuỷ tổ xuất ư Thần Nông thị chi hậu nãi thiên khải chân chủ dã sở dĩ năng dữ Bắc triều các đế nhất phương yên	
奈 史 籍 闕 於 紀 載 而 事 實 出 於 傳 聞 文 涉 恠 誕 事 或 遺 忘 以 至 謄 寫 之 失 真 紀 録 之 繁 冗 徒 為 嵬 目 将 何 鑒 焉	Nại sử tịch khuyết ư kỉ tải nhi sự thực xuất ư truyền văn văn thiệp quái đản sự hoặc di vong dĩ chí đằng tả chi thất chân kỉ lục chi phồn nhũng đồ vi ngôi mục tương hà giám yên	
至 陳 太 宗 始 命 學 士 黎 文 休 重 修 自 趙 武 帝 以 下 至	Chí Trần Thái Tông thuỷ mệnh học sĩ Lê Văn Hưu trùng tu tự Triệu Vũ Đế dĩ hạ chí	
李 招 皇 初 年	Lý Chiêu Hoàng sơ niên	
本 朝 仁 宗 又 命 修 史 潘 孚 先 續 編 自 陳 太 宗 以 下 至 明 人 睘 國 皆 以 大 越 史 記 名	Bản triều Nhân Tông hựu mệnh tu sử Phan Phu Tiên tục biên tự Trần Thái Tông dĩ hạ chí Minh nhân hoàn quốc giai dĩ Đại Việt sử kí danh	
然 後 歷 代 事 蹟 彰 可 鑒	Nhiên hậu lịch đại sự tích chương chương khả giám	
文 休 陳 時 大 手 筆 也 孚 先 聖 朝 故 老 人 也 皆 奉 詔 編 其 本 國 之 史 旁 蒐 遺 史 會 輯 成 書 史 後 之 覽 者 無 遺 憾 焉 可 也	Văn Hưu Trần thời đại thủ bút dã Phu Tiên Thánh triều cố lão nhân dã giai phụng chiếu biên kì bản quốc chi sử bàng sưu di sử hội tập thành thư sử hậu chi lãm giả vô di hám yên khả dã	
而 記 志 猶 有 未 僃 義 例 猶 有 未 當 文 字 猶 有 未 安 讀 者 不 能 無 憾 焉	Nhi kí chí do hữu vị bị nghĩa lệ do hữu vị thường văn tự do hữu vị an độc giả bất năng vô hám yên	
獨 胡 宗 鷟 越 史 綱 目 有 作 書 事 慎 重 而 有 法 評 事 切 當 而 不 冗 殆 亦 庶 幾	Độc Hồ Tông Thốc Việt sử cương mục hữu tác thư sự thận trọng nhi hữu pháp phê sự thiết đáng nhi bất nhũng đãi diệc thứ cơ	
然 而 兵	Nhiên nhi binh	
火 之 後 其 書 不 傳	hoả chi hậu kì thư bất truyền	
盖 成 之 至 難	Cái thành chi chí nan	
意 若 有 待	Ý nhược hữu đãi	
皇 上 中 興 崇 儒 重 道 儒 典 考 文 廼 於 光 順 年 間 詔 求 也 史 及 家 人 所 藏 古 今 傳 記 悉 令 奏 進 以 僃 參 考	Hoàng thượng Trung hưng sùng nho trọng đạo thuần điển khảo văn nãi ư Quang Thuận niên gian chiếu cầu dã sử cập gia nhân sở tàng cổ kim truyền kí tất lệnh Tấu tiến dĩ bị tham khảo	
又 命 儒 臣 討 論 編 次 臣 前 在 史 院 嘗 預 焉 及 再 入 也 而 其 書 已 上 進 藏 之 東 閤 莫 得 之 見	Hựu mệnh nho thần thảo luận biên thứ thần tiền tại Sử viện thường dự yên cập tái nhập dã nhi kì thư dĩ Thượng tiến tàng chi Đông các mạc đắc chi kiến	
竊 自 惟 念 幸 祭 明 時 漸 無 補 報 輙 不 自 揆 取 先 正 二 書 校 正 編 摩 增 入 外 紀 一 卷 凣 若 干 卷 名 曰 大 越 史 記 全 書	Thiết tự duy niệm hạnh tế minh thời tiềm vô bổ báo triếp bất tự quỹ thủ tiên chính nhị thư hiệu chính biên ma tăng nhập Ngoại Kỉ nhất quyển phàm nhược can quyển danh viết Đại Việt Sử Kí Toàn Thư	
事 有	Sự hữu	
遺 忘 者 補 之 例 有 未 當 者 正 之 文 有 未 安 者 改 之 間 有 𦎍 惡 可 以 勸 懲 者 贅 鄙 見 於 其 後	di vong giả bổ chi lệ hữu vị đáng giả chính chi văn hữu vị an giả cải chi gian hữu thiện ác khả dĩ khuyên trừng giả chuế bỉ kiến ư kì hậu	
極 知 僭 妄 罪 無 所 逃 然 職 在 當 為 不 敢 以 才 識 謭 陋 為 辭	Cực tri tiếm vọng tội vô sở đào nhiên chức tại đương vi bất cảm dĩ tài thức tiễn lậu vi từ	
謹 編 定 成 書 留 之 史 舘	Cẩn biên định thành thư lưu chi Sử quán	
雖 未 能 公 是 於 萬 年 猶 足 資 考 之 一 助 云	Tuy vị năng công thị ư vạn niên do túc tư kê khảo chi nhất trợ vân	
洪 德 十 年 歳 在 己 亥 冬 至 節	Hồng Đức thập niên tuế tại Kỉ Hợi Đông chí tiết	
賜 大 寶 壬 戌 科 同 進 士 禮 部 右 侍 郎 朝 列 大 夫 兼 兼 史 官 修 𢮪 吳 士 連 序	Tứ Đại Bảo Nhâm Tuất khoa đồng Tiến sĩ Lễ bộ Hữu thị lang Triều liệt đại phu kiêm Quốc tử giám Tư nghiệp kiêm Sử quan tu soạn Ngô Sĩ Liên tự	
擬 進 大 越 史 記 全 書	Nghĩ Tiến Đại Việt sử kí toàn thư	
