國 之 有 史 尙 矣	Nước có sử đã từ lâu	
昭 文 舘 秀 林 局 鄧 鳴 謙 作 詠 史 詩 集 亦 可 謂 求 諷 詠 於 詩 而 考 見 其 得 失 矣	Chiêu Văn quán Tú lâm cục Đăng Minh Khiêm làm Vịnh Sử Thi Tập cũng có thể nói là biết tìm ngụ ý khen chê trong thơ mà xem xét việc hay việc dở vậy	
由 是 而 觀 編 集 國 史 者 屢 至 再 四 但 未 刊 板 頒 布 致 傳 錄 錯 繆 不 無 亥 豕 魚 魯 之 失	Do đó mà xem thì việc biên tập quốc sử đã làm đến ba bốn lần rồi nhưng vì chưa khắc in để ban bố dẫn đến truyền chép lầm lẫn không tránh khỏi những nghĩa sai lạc hợi-thỉ ngư-lỗ	
若 不 委 之 板 正 何 以 洗 相 沿 之 故 習 㢤	Nếu không uỷ nhiệm người hiệu chính thì làm thế nào mà rửa bỏ được thói quen lâu ngày theo nhau ấy	
欽 惟 皇 上 陛 下 嗣 守 丕 基 率 循 大 卞 日 與 大 元 帥 掌 國 政 尙 師 西 王 整 飭 紀 綱 作 興 文 教 專 委 欽 差 節 制 各 處 水 步 諸 營 兼 總 政 柄 太 尉 宜 國	Kính nghĩ Hoàng thượng bệ hạ nối giữ nghiệp lớn noi theo phép lớn hằng ngày cùng với Đại nguyên suý chưởng quốc chính thượng sư Tây Vương Trịnh Tạc chỉnh đốn giường mối chấn hưng văn giáo chuyên uỷ cho Khâm sai tiết chế các xứ thuỷ bộ chư doanh kiêm Tổng chính bính Thái uý Nghi quốc	
公 鄭 根 典 司 政 本 講 求 治 理 深 知 夫 史 乃 正 當 時 之 名 分 示 來 世 之 勸 懲	Công Trịnh Căn giữ gốc chính trị tìm lẽ trị bình biết sâu sắc rằng sử là để giữ đúng danh phận thời nay mà tỏ ý khuyên răn đời sau	
於 是 渙 起 宸 斷 紬 繹 書 史 特 命 臣 與 左 侍 郎 臣 楊 㵆 右 侍 郎 臣 胡 士 揚 臣 阮 國 櫆 臣 鄧 公 瓆 寺 卿 臣 阮 公 壁 東 各 神 裴 廷 貟 侍 書 臣 陶 公 正 待 制 臣 吳 珪 府 尹 臣 阮 廷 正 給 事 中 臣 阮 公 弼 翰 林 臣 阮 曰 庶 臣 武 惟 斷 等 訂 改 國 史 自 洪 庞 氏 至 恭 皇 紀 义 命 續 編 自 荘 宗 裕 帝 至	Do đó bệ hạ mới quyết định tìm kiếm sử sách đặc chỉ sai thần cùng với bọn Tả thị lang Dương Hạo Hữu thị lang Hồ Sĩ Dương Nguyễn Quốc Khôi Đặng Công Chất tự khanh Nguyễn Công Bích Đông các Bùi Đình Viên Thị thư Đào Công Chính Đãi chế Ngô Khuê Phủ doãn Nguyễn Đình Chính Cấp sự trung Nguyễn Công Bật Hàn lâm Nguyễn Viết Thứ Vũ Duy Đoán khảo đính quốc sử từ Hồng Bàng thị cho đến kỷ Cung Hoàng lại sai chép nối từ Trang Tông Dụ Hoàng Đế đến	
神 宗 淵 皇 帝 萬 慶 年 間 述 為 成 書 鋟 梓 頒 行	Khoảng niên hiệu Vạn Khánh đời Thần Tông Uyên Hoàng Đế niên thuật thành sách cho khắc in để ban hành	
臣 等 自 知 線 其 才 甕 天 其 見 目 不 業 侯 萬 軸 骨 不 世 南 秘 書 其 才 又 出 於 黎 鄧 諸 君 子 之 下 安 敢 馳 鶩 於 數 千 載 之 上 以 僃 補 綴 者 㢤	Bọn thần tự biết tài năng mỏng manh kiến thức hẹp hòi mắt không đọc muôn cuốn sách như Nghiệp hầu bụng không chứa cả kho sách như Thế Nam mà tài lại không kém ông Lê Tung Đặng Minh Khiêm đâu dám rong ruổi trên mấy nghìn năm để chắp vá cho có chuyện	
然 叨 承 成 命 不 敢 以 淺 拙 辭	Song đã vâng lời nhận mệnh không dám lấy cớ vụng về nông cạn mà từ chối	
因 共 加 蒐 獵 間 見 抄 錄 遺 舛 字 義 蹇 澁 乃 推 尋 意 義 之 中 補 輯 一 二 使 讀 者 易 曉 非 敢 妄 為 附 會 臆 説	Vì vậy cùng nhau gia công tìm kiếm gián hoặc thấy chỗ nào sao chép sai sót chữ nghĩa không thông thì suy tìm ý nghĩa mà sửa một vài để người đọc rễ hiểu chứ không dám thêm thắt đoán trừng	
又 摭 取 自 洪 庞 氏 至 吳 使 君 題 曰 大 越 史 記 外 紀 全 書 自 丁 先 皇 至 我	Lại trích lấy từ Hồng Bàng thị đến Ngô sứ quân đề là Đại Việt sử ký ngoại kỷ toàn thư từ Đinh Tiên Hoàng	
國 朝 太 祖 髙 皇 帝 為 本 紀 全 書 並 依 如 前 史 臣 吳 士 連 武 瓊 等 之 所 着 述 也	Đến Thái Tổ Cao Hoàng Đế quốc triều ta đề là Bản kỷ toàn thư đều theo đúng như các sử thần trước là Ngô Sĩ Liên và Vũ Quỳnh đã trước thuật	
其 自 國 朝 太 宗 至 恭 皇 則 因 前 書 所 載 題 曰 本 紀 實 録	Từ Thái Tông đến Cung Hoàng của quốc triều thì nhân theo sách trước đã chép đề là Bản kỷ thực lục	
又 參 究 登 柄 野 史 及 畧 取 當 時 所 献 各 遺 編 述 自 國 朝 庄 宗 裕 皇 帝 至 神 宗 淵 皇 帝 增 入 國 史 命 曰 大 史 記 本 紀 續 編	Lại tham khảo sách Dã sử của Đăng Bính và lược lấy trong những sách sót mà người đương thời dâng hiến để chép từ quốc triều Trang Tông Dụ Hoàng Đế đến Thần Tông Uyên Hoàng Đế thêm vào quốc sử gọi là Đại Việt sử ký bản kỷ tục biên	
總 分 爲 二 十 三 卷	Tất cả chia làm hai mươi ba quyển	
凣 所 續 編 其 繋 年 之 下 非 正 統 者 及 北 朝 年 號 皆 两 行 分 註	Phàm phần tục biên thì dưới chỗ chép năm nếu là niên hiệu không phải chính thống cùng là niên hiệu của Bắc triều thì đều chia ra chứa làm hai dòng	
與 夫 凣 例 所 書	Còn như những điều viết trong phàm lệ thì	
一 遵 前 史 書 式	Nhất thiết theo đúng cách thức của sách sử trước	
皆 所 以 尊 正 統 而 黜 僭 偽 大 綱 而 昭 監 戒 耳	Đó đều là để tôn chính thống mà truất tiếm nghị nêu lên giường mối lớn mà tỏ rõ gương răn	
間 或 字 義 之 未 精 句 法 之 未 當 幸 賴 博 洽 諸 君 子 補 正 之 使 人 知 是 史 之 作 其 言 正 治 亦 古 史 之 尙 書 其 寓 褒 貶 亦 魯 史 之 春 秋 有 補 於 治 道 有 裨 於 風 教 是 亦 考 正 之 一 助 云	Hoặc có chỗ nào chữ nghĩa chưa tinh phép câu chưa đúng mong các bậc học rộng biết nhiều sửa chữa lại cho để mọi người biết rằng bộ sử này làm ra nói về chính trị thì cũng như sách cổ sử Thượng thư mà ngụ ý khen chê thì cũng như sách Xuân Thu sử nước Lỗ ngõ hầu bổ sung cho trị đạo giúp ích cho phong hoá đó cũng là giúp cho sự khảo chính một phần nào vậy	
旹	Thời	
景 治 三 年 歳 在 乙 巳 仲 秋 節 榖 日	Niên hiệu Cảnh Trị thứ ba năm Ất Tỵ trọng thu tháng mười một ngày lành	
賜 戊 辰 科 同 進 士 出 身 參 從 吏 部 尙 書 兼 東 閣 大 士 少 保 燕 郡 公 臣 范 公 著 奉 編	Tứ Mậu Thìn khoa đồng tiến sĩ xuất thân Tham tụng Lại bộ thượng thư kiêm Đông các đại học sĩ Thiếu bảo Yên quận công thần Phạm Công Trứ vâng mệnh biên soạn	
大 越 史 記 外 紀 全 書	Bài tựa Sách Đại Việt Sử Ký Ngoại Kỷ Toàn Thư	
史 以 記 事 也 而 事 之 得 失 為 來 之 鑒 戒	Sử để ghi việc mà việc hay hoặc dở đều dùng làm gương răn cho đời sau	
古 者 列 國 各 有 史 如 魯 之 春 秋 晉 之 擣 杌 楚 之 乘 是 已 大 越 居 五 嶺 之 南 乃 天 限 南 北 也	Đời xưa các nước nước nào cũng có sử như Xuân thu của nước Lỗ Đào Ngột của nước Tấn Thặng của nước Sở đều là sách sử Nước Đại Việt ở phía nam Ngũ Lĩnh thế là trời đã phân chia giới hạn Nam - Bắc	
其 始 祖 出 於 神 農 氏 之 後 乃 天 啟 真 主 也 所 以 與 北 朝 各 帝 一 方 焉	Thuỷ tổ chúng ta là dòng dõi họ Thần Nông thế là trời sinh chân chúa có thể cùng với Bắc triều mỗi bên làm đế một phương	
奈 史 籍 闕 於 紀 載 而 事 實 出 於 傳 聞 文 涉 恠 誕 事 或 遺 忘 以 至 謄 寫 之 失 真 紀 録 之 繁 冗 徒 為 嵬 目 何 鑒 焉	Nhưng vì thiếu sử sách biên chép mà sự thực đều nghe truyền miệng lời ghi có phần quái đản sự việc có khi quên sót cho đến có khi viết chữ không đúng ghi chép rườm rà chỉ làm loạn mắt còn dùng làm gương sao được	
至 陳 太 宗 始 命 學 士 文 休 重 修 自 趙 武 帝 以 下 至	Đến đời Trần Thái Tông mới sai học sĩ Lê Văn Hưu soạn lại từ Triệu Vũ Đế trở xuống đến năm đầu	
李 招 皇 初 年	Lý Chiêu Hoàng	
本 朝 仁 宗 又 命 修 史 潘 孚 先 續 編 自 陳 太 宗 以 下 至 明 人 國 皆 以 大 越 史 記 名	Bản triều vua Nhân Tông lại sai quan tu sử Phan Phu Tiên chép nối từ Trần Thái Tông trở xuống đến khi người Minh về nước đều gọi là sách Đại Việt Sử Ký	
然 後 歷 代 事 蹟 彰 可 鑒	Từ đó về sau sự tích các triều đại mới rõ ràng có thể xem được	
文 休 陳 時 大 手 筆 也 孚 先 聖 朝 故 老 人 也 皆 奉 詔 編 其 本 國 之 史 旁 蒐 遺 史 會 輯 成 書 史 後 之 覽 者 無 遺 憾 焉 可 也	Văn Hưu là đại thủ bút thời Trần Phu Tiên là bậc cố lão của thánh triều ta đều vâng chiếu biên soạn lịch sử của nước ta tìm thêm các sách sử còn sót lại gom hợp thành sách để cho người xem đời sau không có gì phải tiếc nữa là được	
而 記 志 猶 有 未 僃 義 例 猶 有 未 當 文 字 猶 有 未 安 讀 者 不 能 無 憾 焉	Song ghi chép còn có chỗ chưa đủ nghĩa lệ còn có chỗ chưa đáng văn tự còn có chỗ chưa ổn người không khỏi có chỗ còn chưa vừa ý	
獨 胡 宗 鷟 越 史 綱 目 有 作 書 事 慎 重 而 有 法 評 事 切 當 而 不 冗 殆 亦 庶 幾	Riêng có bộ Đại Sử Cương Mục của Hồ Tông Thốc làm là ghi chép sự việc thận trọng mà có phương pháp bình luận sự việc thiết đáng mà không rườm rà cũng gần hy vọng được	
然 而 兵	Nhưng sau khi binh	
火 之 後 其 書 不 傳	Lửa sách ấy không truyền	
盖 成 之 至 難	Như vậy hoàn thành bộ sử thật rất khó	
意 若 有 待	Ý như còn chờ đến ngày nay	
皇 上 中 興 崇 儒 重 道 儒 典 考 文 廼 於 光 順 年 間 詔 求 也 史 及 家 人 所 藏 古 今 傳 記 悉 令 奏 進 以 僃 參 考	Hoàng thượng trung hưng cơ nghiệp sùng nho trọng đạo chăm sóc sách vở khảo xét văn chương khoảng năm Quang Thuận một nghìn bốn trăm sáu mươi một nghìn bốn trăm sáu mươi chín xuống chiếu tìm kiếm dã sử và các truyện ký xưa nay do các tư nhân cất giữ đều ra lệnh dâng cả lên để sẵn tham khảo	
又 命 儒 臣 討 論 編 次 臣 前 在 史 院 嘗 預 焉 及 再 入 也 而 其 書 已 上 進 藏 之 東 閤 莫 得 之 見	Lại sai các nho thần thảo luận biên sắp thần lúc trước ở Sử viện đã được dự vào việc ấy Đến khi thần lại vào Sử viện thì sách ấy đã dâng lên chứa ở Đông các không được trông thấy nữa	
竊 自 惟 念 幸 祭 明 時 漸 無 補 報 輙 不 自 揆 取 先 正 二 書 校 正 編 摩 增 入 外 紀 一 卷 凣 若 干 卷 名 曰 大 越 史 記 全 書	Trộm nghĩ rằng may gặp thời trong sáng thẹn không chút báo đền bèn không tự lượng sức mình lấy hai bộ sách của tiên hiền ra hiệu chính biên soạn lại thêm vào một quyển Ngoại Kỷ tất cả gồm mấy quyển lấy tên là Đại Việt Sử Ký Toàn Thư	
事 有	Có việc nào	
遺 忘 者 補 之 例 有 未 當 者 正 之 文 有 未 安 者 改 之 間 有 惡 可 以 勸 懲 者 贅 鄙 見 於 其 後	Quên sót thì bổ sung thêm lệ nào chưa thoả đáng thì cải chính lại văn có chỗ nào chưa ổn thì đổi đi thỉnh thoảng gặp những việc thiện ác có thể khuyên răn được thì góp thêm ý kiến quê mùa ở sau	
極 知 僭 妄 罪 無 所 逃 然 職 在 當 為 不 敢 以 才 識 謭 陋 為 辭	Thần rất biết như thế là càn bậy lạm phép tội không trốn được nhưng chức phận phải làm không dám lấy tài chức nông cạn bỉ lậu mà từ chối được	
謹 編 定 成 書 留 之 史 舘	Kính cẩn biên dịch thành sách lưu ở Sử quán	
雖 未 能 公 是 於 萬 年 猶 足 資 考 之 一 助 云	Tuy chưa thể nhận định công bằng lời phải trái cho muôn năm song cũng có thể giúp đỡ đôi chút cho việc tra cứu vậy	
洪 德 十 年 歳 在 己 亥 冬 至 節	Niên hiệu Hồng Đức thứ mười năm Kỷ Hợi tiết Đông chí	
