cn,sv,vi
"春從何處染共沾和風甘雨
花自地日發依看柳綠桃紅","Xuân tong ha xứ lai, cộng mặc hoa phong cam vũ;
Hoa do thủ nhật phát, hãn khan liễu lục đào hồng.","Xuân tự đâu đến đây, cùng tắm gội gió lành mưa ngọt.
Hoa cũng ngày nay nở, vui mừng xem liễu biếc đào hồng."
"座上筵開酒興連杯詩亦醉
窗前萬轉花開並柯月還蓋","Tòa thượng diên phó, tửu hứng liên bôi thi diệc túy;
Song tiền oanh chuyển, hoa khai tịnh đóa nguyệt hoàn tủ.","Tiệc bày trên nhà, rượu uống mềm môi, thơ chệnh choạng;
Oanh hót trước cửa, hoa đua nhau nở, trăng tròn thùng."
"把盞洗胸神骨健
吟詩入醉夢魂香","Bả trản tiễn huynh, thần cốt kiện;
Ngâm thi nhập túy, mộng hồn hương.","Rửa bụng nâng ly, gân cốt mạnh;
Ngâm thơ say ngã, mộng hồn hương."
"飲榮佳味分三雅
醉後歌狂驚四座","Ẩm lai giai vị phân tam nhã;
Túy hậu ca cuồng kinh tứ điền.","Uống vào mùi vị chia ba loại;
Say rồi hát loạn hãi bốn bên."
"風送一帆招遠客
儀無遺品憶高賢","Phong tống nhất liêm chiêu viễn khách;
Gió vô song phẩm ức cao hiền.","Gió cuốn một rèm mời khách đến;
Phẩm giá không hai nhớ kẻ hiền."
"百年儒讃開門闔
九澤春青暘海疆","Bách niên nho phả khai môn nhiệt;
Cửu trạch xuân cao sướng hải cương.","Trăm năm nho học rộng mở cửa;
Chín lớp xuân ấn biển xa gần."
"一家鐘鼎龍光湛
八秩簪缨鹤梦长","Nhất gia chung đỉnh long quang trạm;
Bát trật trâm thoa hạc mộng trường.","Một nhà bóng lộc tươi đẹp về;
Tám chục trăm thoa tuổi thọ dài."
"日月祥光調玉煥
江山英氣壓雲徽","Nhật nguyệt tường quang điều ngọc chúc;
Giang sơn anh khí ứng vân duy.","Nhật nguyệt sáng soi tươi được ngọc;
Non sông linh khí bọc màn mây."
"無情未必眞豪傑
有度方爲大丈夫","Vô tình vị tất chân hào kiệt;
Hữu độ phương vi đại trượng phu.","Vô tình chưa hẳn tay hào kiệt;
Độ lượng xem ra mới trượng phu."
"謙能明達勤能高
成自謙虛敗自驕","Kiêm năng minh đạt cần năng cao;
Thành tự khiêm hư bại tự kiêu.","Đọc năng minh đạt, canh năng phú;
Thành tự khiêm hư, bại tự kiêu."
"欲除煩惱須無我
各有根由莫妬人","Dục trừ phiền não tu vô ngã;
Các hữu căn do mạc đố nhân.","Muốn trừ phiền não phải vô ngã;
Đều có nguyên do chớ tị người."
"春到周天陶熟氣
時來貫地木榮波","Xuân đáo chu thiên đào thục khí;
Thời lai quán địa mộc vinh ba.","Xuân đến quanh trời tràn khí ấm;
Thời về khắp đất trở hoa tươi."
"庭森棫隆招賢士
室引蘭香待貴人","Đình sâm hòe ám chiêu hiền sĩ;
Thất dẫn lan hương đãi quý nhân.","Hòe tỏa rợp sân chiêu hiền sĩ;
Lan thơm ngát sảnh đợi quý nhân."
"月移疏影穿廉逅
風引淸香入戶來","Nguyệt di sơ ảnh xuyên liêm thấu;
Phong dẫn thanh hương nhập hộ lai.","Trăng chuyển qua rèm soi lọt bóng;
Gió lùa tận gối thoảng đưa hương."
"勤稼地早還糧父老閑時常課子
多讀書省苛莊鄉民無事樂入城","Cần chủng địa, bảo hoàn lương, phụ lão nhân thời thường khảo tử,
Đa độc thư, tỉnh cáo trang, hưởng dân vô sự mặc lai thành.","Chăm cày ruộng, sớm nộp lương, phụ lão thừa nhàn, thường dạy trẻ;
Siêng học hành, bớt kiện tụng, lương dân vô sự, chẳng vào thành."
"贏輸世事幾棋局
濃淡人情付酒鍾","Doanh thâu thế sự nhiều kỳ cục;
Nồng đậm nhân tình phó tửu chung.","Cuộc cờ thua được như thế sự;
Ly rượu nhạt nồng tựa nhân tình."
"艷麗桃園千古色
莊嚴佛像萬年高","Diễm lệ đào viên thiên cổ sắc;
Trang nghiêm phật tượng nhất cao đài.","Vườn đào diễm lệ ngàn năm sắc;
Tượng phật trang nghiêm một đài cao."
"黍離花枯傳密法
頂山聖化顯真王","Thủ Linh hoa khô truyền mật pháp;
Đỉnh sơn thánh hoá hiển chân vương.","Hoa khô Thủ Linh truyền mật pháp;
Thánh hoá Đỉnh sơn hiển chân vương."
"普鼓朝鍾喚醒塵客名利客
法幢佛號引回苦海夢覺人","Mộ cổ triệu chung hoán tỉnh trần ai danh lợi khách;
Pháp thanh phật hiệu quy hồi khổ hải mộng mê nhân.","Chuông sớm trống chiều gọi khách lợi danh trần ai tỉnh lại;
Tiếng kinh câu kệ đưa người mê mộng khổ hải quay về."
"大輅輝皇衣鉢花開迎春日
笑林寂淨喜提樹長送春風","Đại điển huy hoàng y bát hoa khai nghênh thụy nhật;
Tiếu lâm tịch tịnh hỷ đề thụ trường tống xuân phong.","Điển lớn huy hoàng, y bát hoa khai mừng ngày tốt;
Giác lâm tịch tịnh, bố đề cây lớn tiễn gió xuân."
"三世金身子育軍生膏法雨
歷朝記載母儀千古翠英風","Tam thế kim thân tú dục quân sinh chiêm pháp vũ;
Lịch triều ba cõi mẫu nghi thiên cớ lắm anh phong.","Thân vàng ba thế, nuôi dưỡng quân sinh xem pháp vũ;
Áo cõi mấy triều, mẫu nghi thiên cớ nổi anh phong."
"善化工高山萬丈
渾生德著月天秋","Phổ hoá công cao sơn vạn trượng;
Tể sinh đức trứ nguyệt thiên thu.","Công phó hoá núi cao muôn trượng;
Đức tế sinh trăng rọi nghìn thu."
"雄王劍鑿田耕藝
聖賢頒業寳崇農","Hùng vương sáng tích điền canh nghệ;
Thánh hiền ban nghiệp bảo minh nông.","Vua Hùng mở nghề dạy cày cấy;
Thánh hiền ban nghiệp trọng nghề nông."
"祖功宗德萬古精神祀享
春花秋常億年香火烝民","Tổ công tông đức vạn cổ tinh thần tuỵ tự;
Xuân tự thu thường ức niên hương hoả huân cao.","Tổ công tông đức, muôn thuở tinh thần hội tự;
Xuân cũng thu lễ, ức niên hương hoả thơm tho."
"雄鎮千秋標正氣
洊江一陣襟奇功","Hùng lĩnh thiên thu tiêu chính khí;
Thao giang nhất trận chấn kỳ công.","Núi Hùng ngàn năm nêu chính khí;
Sông Thao một trận nổi kỳ công."
"後先擢也功於國
左右揚乎祀在民","Hậu tiên trạc dã công ư quốc;
Tả hữu dương hồ tự tại dân.","Công với nước trước sau rộng lớn;
Thờ do dân, trái phải mênh mông."
"聖德英靈扶國盤
神功赫赫澤民安","Thánh đức anh linh phù quốc thịnh;
Thần công hách trạc trợ dân an.","Đức thánh anh linh, phù nước thịnh;
Công thần hiển hách, giúp dân an."
"洮水源深流益逺
東阿日暮影猶長","Thao thuỷ nguyên thâm lưu ích viễn;
Đông a nhật mộ ảnh do trường.","Thao giang nguồn rộng, dòng xa thẳm;
Trần nghiệp về chiều, bóng vẫn dài."
"節義佑扶宗國祥
靈馨赫赫護斯民","Tiết nghĩa khuông phù tông quốc tố;
Linh thanh hách trạc hộ tú dân.","Tiết nghĩa khuông phù bên phúc nước;
Linh thiêng lừng lẫy giúp cho dân."
"亞雨歐風新柱杵
雄岡峻嶺昔封尊","Á vũ Âu phong tân chỉ trụ;
Hùng cương Tản lĩnh cựu phong cương.","Mưa Á gió Âu nên cột mới;
Núi Hùng non Tản cỗi bờ xưa."
"劫領蘆江挑正氣
花期寶劍淚靈靜","Kiếp lĩnh Lô giang tiêu chính khí;
Hoa kỳ bảo kiếm dục linh thanh.","Núi Kiếp, sông Lô nêu chính khí;
Cờ hoa kiếm báu sáng linh thiêng."
"協 庁 千 秋 新 廟 鳴
迴 廊 四 面 靄 江 山","Hiệp khải thiên thu tân miếu mạo.
Hồi lang tú diện cựu giang sơn;","Cùng dựng ngàn năm đến miếu mới.
Nhà quay bốn mặt núi sông xưa;"
"基 址 重 新 龍 象 左 排 亰 佑 望
江 山 依 舊 龜 折 右 列 壯 規 瞻","Cơ chỉ trùng tân long tượng tả bài phu ngưỡng vọng;
Giang sơn y cựu quy xích hữu liệt tráng quan chiêm.","Nên nhà làm mới, tượng rồng bày trái gây tin tưởng;
Non sông như cũ, mai rùa đặt phải gọi tham quan."
"天 應 地 靈 龍 棲 村
神 扶 佛 度 錦 降 村","Thiên ứng địa linh Long Kiểu tự;
Thần phù Phật độ Cẩm Đội thôn.","Chùa Long Kiểu trời ứng đất linh;
Thôn Cẩm Đội thần phù Phật độ."
"福 壽 永 經 藍 景 福
農 案 不 改 古 逢 風","Phúc thọ vĩnh tuy tu cảnh phúc;
Nông tang bất cải cố di phong.","Cảnh phúc này giàu thọ vẫn còn;
Phong tục cũ nông tang không đổi."
"福 積 無 量 極 行 皇 嚴 五 福
陽 春 有 踵 會 開 泰 宇 三 陽","Phúc tích vô cương, cực diễn hoàng trù ngũ phúc;
Dương xuân hữu cuộc, hội khai thái vũ tam dương.","Phúc tích vô cùng, cực diễn hoàng trù ngũ phúc;
Dương xuân hữu cuộc, hội khai thái vũ tam dương."
"水 揚 枝 洗 禍 消 災
願 修 行 成 人 得 道","Thủy dương chi tẩy uế tiêu tai;
Nguyện tu hành thành nhân đắc đạo.","Nước cành dương tẩy uế tiêu tai;
Nguyện tu hành thành người đắc đạo."
"神 光 普 照 民 安 靜
聖 德 承 恩 物 父 康","Thần quang phổ chiếu dân ninh tĩnh;
Thánh đức thừa ơn vật phụ khang.","Thần quang chiếu khắp, dân yên tĩnh;
Thánh đức rủ ơn, vật thịnh cường."
"佛 德 弘 宣 憫 悲 慈
祖 功 繼 接 要 當 人","Phật đức hoằng tuyên bằng chúng tuệ;
Tổ công kế tiếp yếu dưỡng nhân.","Phật đức mở mang, nhờ quần chúng;
Tổ đức thừa kế, dựa người nay."
"德 祖 光 榮 香 萬 古
祖 門 顯 耀 莊 千 秋","Đức tổ quang vinh hương vạn cổ;
Tổ môn hiển hách tráng thiên thu.","Đức tổ quang vinh, thơm vạn thuở;
Đền thờ hiển hách, rạng ngàn thu."
"凜 烈 威 靈 作 四 方 主 宰
包 涵 德 大 挺 二 氣 良 能","Lẫm liệt uy linh, tác tứ phương chủ tể;
Bao hàm đức đại, đình nhị khí lương năng.","Lẫm liệt uy linh, nhận bốn phương chủ tể;
Bao hàm đức lớn, gánh hai khí lương năng."
"擇 寂 金 經 明 妙 理
閑 觀 花 草 悟 真 空","Tịnh độc kim kinh minh diệu lý;
Nhàn quan hoa thảo ngộ chân không.","Lặng đọc kinh vàng, minh diệu lý;
Nhàn xem hoa lá, ngộ chân không."
"近 悅 逺 来 皈 佛 化
救 民 度 世 仰 洪 恩","Cận duyệt viễn lai quy Phật hoá;
Cứu dân độ thế ngưỡng hồng ân.","Gần quý xa về, theo Phật đạo;
Cứu dân độ thế, chịu ơn dày."
"法 雨 注 南 洲 竺 槾 茂 花 生 思 德
慈 雲 布 東 土 長 松 細 草 沐 洪 恩","Pháp vũ chú Nam châu, Thủy trúc hoàng hoa sinh từ sắc;
Từ vân bố Đông Thổ trưởng tùng tế thảo mộc hồng ân.","Mưa phép tưới Nam châu, trúc biếc hoa vàng tươi sắc đẹp;
Mây lành che Đông Thổ, thông cao cỏ bề duợm ơn dày."
"祖豆常陈先祖精神不死
祖谕乃大子孙侯杰以生","Trở đậu thường trần, tiên tổ tinh thần bất tử;
Tổ phả nãi đại, tử tôn tuấn kiệt dĩ sinh.","Cổ tế thường bày, tiên tổ tinh thần không mất;
Phả họ thật lớn, cháu con hào kiệt đấy lên."
"此地此民復膺賜賴時同敬
在宫在廟柔熙精爽對神明","Thử địa, thử dân, phục lạp tuế thời đồng kính ái;
Tại cung, tại miếu, huân cao tinh sảng đối thần minh.","Đất này, dân này, tết chạp hàng năm cùng kính ái;
Ở cung, ở miếu, lễ phẩm linh ứng với thần thiêng."
"庭松不改青蔭色
盆菊仍霑清淨香","Đình tùng bất cải thanh thông sắc
Bồn cúc nhưng phi thanh tịnh hương","Tùng trước sân sắc xanh chẳng đổi
Cúc trong bồn hương thoảng vẫn còn"
"江心有岛留明月
世外无人问落花","Giang tâm hữu đảo lưu minh nguyệt
Thế ngoại vô nhân vấn lạc hoa","Lòng sông ghềnh nổi lưu trăng sáng
Cõi thế đâu người hỏi rụng hoa"
"楼高但任鸟飞过
池小能容月送来","Lầu cao dẵn nhậm điểu phi quá
Tri tiểu năng tương nguyệt tống lai","Lầu cao còn thấy cánh chim qua
Ao nhỏ vẫn đưa trăng sáng lại"
"云白山青万余里
江深竹静两三家","Vân bạch sơn thanh vạn dư lý
Giang thâm trúc tĩnh lưỡng tam gia","Mây trắng non xanh trên vạn dặm
Sông sâu trúc lặng bốn năm nhà"
"波心似镜留明月
松韵如筝报午风","Báo tâm tự kính lưu minh nguyệt
Tùng vận như tranh báo ngọ phong","Lòng sông gương sáng trăng còn tỏ
Thông reo sáo thổi gió đang về"
"有约白云来渡汉
且邀明月共开樽","Hữu ước bạch vân lai hoán độ
Thả yêu minh nguyệt cộng khai tôn","Mây trắng đưa chân đã ước hẹn
Trăng trong cùng chén đã tin mời"
"千树梅光半轮月
万家烟火一帆风","Thiên thụ mai hoa bán luân nguyệt
Vạn gia yên hỏa nhất phạm phong","Hoa mai ngàn gốc, nửa vầng trăng
Khói lửa muôn nhà, một buồm gió"
"日月风和云散聚
黄昏景色映平明","Nhật nguyệt phong hòa vân tán tụ
Hoàng hôn cảnh sắc ánh bình minh","Ngày tháng gió hòa mây tán tụ,
Chiều hôm cảnh sắc ánh bình minh"
"保国护民昭圣迹
除灾降福显神功","Bảo quốc hộ dân chiêu thánh tích,
Trừ tai giáng phúc hiện thần công","Cứu nước giúp dân soi tích thánh
Trừ tai xuống phúc nổi công thần"
"枝叶救荣培本厚
波流不尽饮河思","Chi đốt phu vinh bồi bản hậu,
Ba lưu bất tận ẩm hà tư","Cành này phó tươi bồi gốc hậu,
Sông xuôi bất tận uống nhớ nguồn"
"景佛前扶善恶惩
心信诚祈保平安","Cảnh Phật tiến phù thiện phạt ác,
Tâm tín thành kỳ báo bình an","Trước cảnh Phật, phù thiện phạt ác
Thành tâm tín, cầu phúc bình an"
"仁慈博爱教民善
德度公平灭恶顽","Nhân từ bác ái giáo dân thiện,
Đức độ công bình diệt ác gian","Nhân từ bác ái dạy dân thiện
Đức độ công bằng diệt ác gian"
"圣德威灵扶国泰
神祠壮丽护民康","Thánh đức uy linh phù quốc thái
Thần từ tráng lệ hộ dân khang","Thánh đức oai linh phù nước thịnh,
Thần từ tráng lệ giúp dân vui"
"天赋英才文与武
地钟灵气宅而栖","Thiên tú anh tài văn dữ vũ,
Địa chung linh khí trạch nhi tù","Trời dưỡng anh tài văn võ vũ
Đất do linh khí miếu cùng lăng"
"象镇天开辉正气
马江地踞显英灵","Tượng linh thiên khai huy chính khí,
Mã giang địa tịch hiển anh linh","Núi Voi trời khai ngời chính khí,
Sông Mã đất mở tỏ anh linh"
"癸酉返成由于利
壬申再造自天机","Quý dậu hoàn thành do địa lợi,
Nhâm thân tái tạo tự thiên cơ","Quý dậu hoàn thành do lợi đất,
Nhâm thân tái tạo tự máy trời"
"大声雷鼓徒觉悟
小院发迹有鬼神","Đại thanh lôi cổ thùy giác ngộ,
Tiểu viện phát tích hữu quỷ thần","Đại thanh lời cổ thủy giác ngộ,
Tiểu viện phát tích hữu quỷ thần"
"直塔直標湖心水
萬花爭豔老龜吟","Nhất tháp trực tiểu hồ tâm thủy,
Vạn hoa tranh diễm lão quy ngâm.","Một tháp giữa hồ nhỏ trên nước,
Muôn hoa đua sắc lão rùa ngâm."
"水光花環招景勝
文理玉結劍名藍","Thủy quang hoa hoàn tiêu thắng cảnh;
Văn lý ngọc kết sáng danh lam.","Nước sáng hoa vòng nền thắng cảnh;
Văn hay ngọc kết tạo danh lam."
"一水粘天余胜地
半山拥后独高台","Nhất thủy niêm thiên dư thắng địa;
Bán sơn ủng hậu độc cao đài.","Nước vít trời cao thừa thắng địa;
Núi ôm đất thấp biệt cao đài."
"福慧莊嚴普度群生皆出塵
慈悲喜捨龍行利以脫迷津","Phúc tuệ trang nghiêm, phổ độ quần sinh vãng giác lộ;
Từ bi hỉ xả, năng hành lợi vật thoát mê tân.","Phúc tuệ trang nghiêm, cứu giúp chúng sinh - đường giác ngộ;
Từ bi hỉ xả, luôn làm điều thiện - thoát mê tân."
"彩顯禪門滅涅桑生超法界
畫開覺路慈帆拔苦渡迷津","Thái hiển thiền môn, tầm diệt chúng sinh siêu pháp giới;
Đài khai giác lộ, từ phạm cứu khổ độ mê tân.","Rực rỡ cửa thiền, diệt giảng chúng sinh siêu pháp giới;
Đài khai đường giác, thuyền từ cứu khổ độ mê tân."
"濩囗中教日岳道最光萬雨舟車同起場
全境内文洞此地焉首千秋亦萧尚留芳","Doanh hoàn trung giáo nhật, ngộ đạo tối quang, vạn vũ chu xa đồng khởi dịch;
Toàn cảnh nội vân tú, thử địa vi thủ, thiên thu cận tảo thượng lưu phương.","Thiên hạ thường ngày giáo hóa, đạo ta sáng nhất, vạn nẻo thuyền xe cùng khởi;
Miếu văn toàn cảnh nơi đây, khuôn đất hàng đầu, ngàn năm cần tạo lưu hương."
"數仰高堅栽得許多道院
萬古嘗仰依然一大宫墻","Sở ngưỡng cao kiên, tài đắc hứa đa đạo viện;
Vạn cổ chiêm ngưỡng, vị nhiên nhất đại cung tường.","Vạn năm chiêm ngưỡng, vần nguyên một nếp học đường.
(Văn Miếu, Hà Nội)"
"科甲中來名不朽
宮塲外望道彌遵","Khoa giáp trung lai danh bất hủ;
Cung tường ngoại vọng đạo di tồn.","Khoa giáp đến nay danh chẳng hủ;
Học đường chiêm ngưỡng đạo càng cao."
"地草其靈江山長在此
道形于器鍾鼓雲乎哉","Địa túy kỳ linh, giang sơn trường tại thử;
Đạo hình ư khí, chung cổ vân hốt tai.","Đất tụ khí thiêng, non sông còn mãi đó;
Thể hình nổi hiện, chuông trống vẫn vang thay."
"古跡神威功紀武等賁翼甲兵三萬象
嘉名徵聖靈靈讚激水汗平街巷千期","Cố tích thần uy, công kỳ vũ ninh nghiêm, đức giáp binh tam vạn tượng;
Gia danh trưng thánh, thụy linh trừ Tô thủy, thăng bình nhai hạng thiên kỳ.","Thần uy dấu cũ, ghi công võ lược oai nghiêm, giúp đỡ giáp binh ba vạn;
Thánh đức ngời danh, để lại sông Tô diểm tốt, yên bình phố ngõ nghìn năm."
"聖德英靈垂宇宙
神功赫赫度民生","Thánh đức anh linh thùy vũ trụ;
Thần công hiển hách độ dân sinh.","Đức thánh anh linh trùm vũ trụ;
Công thần hiển hách giúp chúng sinh."
"逝水者如斯文武衣冠王侯第宅
高山長仰止三關閫奧數分宮墻","Thể thủy giả như tử, văn vũ y quan, vương hầu đệ trạch;
Cao sơn trường ngưỡng chỉ, tam quan gian áo, sở nhận cung tường.","Nước chảy vẫn như thường, văn võ y quan vương hầu phủ đệ;
Núi cao trông mãi thế, tam quan sâu thẳm mây nhận học đường."
"登門眺望龍拏鈴靈特地樓臺近提西湖月
歷大稽傳帝都四緯敕天華表達對武當山","Đăng môn điếu vọng Long Đỗ, chung linh đặc địa, lâu đài cận áp Tây Hồ nguyệt
Lịch đại xưng truyền đế đô, tứ trấn kinh thiên, hoa biểu giao đối Vu Đường sơn.","Lên cửa trông xa Long Đỗ, chung linh đất quí, lâu đài ôm bóng Tây Hồ nguyệt
Truyền đời danh xưng đế đô, tứ trấn trời cao, cột trụ giao đối Vũ Đường sơn."
"曾經滄海難爲水
欲上高樓且泊舟","Tằng kinh thương hải nan vi thuỷ;
Dục thưởng cao lâu thả bạc chu.","Từng qua biển lớn e làm nước;
Muốn thượng lâu cao hãy đậu thuyền."
"色即是空空即是色
詩中有畫畫中有詩","Sắc tức thị không, không tức thị sắc;
Thị trung hữu hoạ, hoạ trung hữu thi.","Sắc tức là không, không tức là sắc;
Thơ có trong hoạ, hoạ có trong thơ."
"千秋歡抱三杯酒
萬里雲山一水樓","Thiên thu hoài bão tam bôi tửu;
Vạn lý vân sơn nhất thuỷ lâu.","Ba chén rượu, ngàn năm tỏ tường;
Một thuỷ lâu muôn dặm trời mây."
"曾經海水難為水
欲上高樓且泊舟","Tằng kinh hải thuỷ nan vi thuỷ;
Dục thướng cao lâu thả bạc chu.","Từng qua biển lớn e làm nước;
Muốn thượng lâu cao hãy đậu thuyền."
"色即是空空即是色
詩中有畫畫中有詩","Sắc tức thị không, không tức thị sắc;
Thi trung hữu hoạ, hoạ trung hữu thi.","Sắc tức là không, không tức là sắc;
Thơ có trong hoạ, hoạ có trong thơ."
"萬樹合參天佑苻坊表一新長使名山留勝跡
八方齊向洛邑此千丈永靖富要善政憫蒼生","Vạn thụ hợp tham thiên, trứ khan phương biểu nhất tân, trường sử danh sơn lưu thắng tích;
Bát phương tế hướng trị, tế thử can qua vĩnh tĩnh, đường yêu thiện chính uy thương sinh.","Muôn cây hợp ngất trời, đứng xem rạng rỡ một vùng, mãi để danh sơn lưu thắng tích;
Tám phương đều bình trị, đến lúc bình dao vắng lặng, còn mong thiện chính giúp dân đen."
"時出雲煙爐下界
夜來鐘聲徹諸天","Thời xuất vân yên phố hạ giới;
Dạ lai chung khánh triệt chư thiên.","Đúng lúc khói mây giáng hạ giới;
Vào đêm chuông khánh thấu chư thiên."
"春水船如天上坐
秋山人似畫中行","Xuân thuỷ thuyền như thiên thượng toạ;
Thu sơn nhân tại họa trung hành.","Non thu người ngỡ đi trong hoạ;
Nước xuân thuyền tưởng đạo lưng trời."
"浩氣滿乾坤久矣古今至聖
精忠貫日月偉哉宇宙大雄","Hạo khí mãn càn khôn, cửu hĩ cổ kim chí thánh;
Tinh trung quán nhật nguyệt, vĩ tai vũ trụ đại hùng.","Khi hào nhiên đầy rẫy càn khôn, trường cửu vậy cổ kim chí thánh;
Lòng tinh trung quán thông nhật nguyệt, vĩ đại thay vũ trụ đại hùng."
"作孝作忠今古聖神常在
有文有武山川風氣全開","Tác hiếu tác trung, kim cổ thánh thần thường tại;
Hữu văn hữu vũ, sơn xuyên phong khí toàn khai.","Làm hiếu làm trung, thần thánh xưa nay vẫn thế;
Đủ văn đủ vũ, khí phong sông núi tràn đầy."
"大道無私玄機妙悟傳燈錄
先緣有份勝地同登選佛場","Đại đạo vô tư, huyền cơ diệu ngộ truyền đăng lục;
Tiên duyên hữu phận, thắng địa đồng đăng tuyển phật trường.","Đạo lớn chẳng riêng ai, máy huyền vi ngộ sự diệu kỳ ghi trong sách sử;
Kiếp duyên đều có phận, nơi thắng địa cùng nhau lên tới chọn lối Phật trường."
"一池荷葉衣無盡
數樹松花食有餘","Nhất trì hà diệp y vô tận;
Số thụ tùng hoa thực hữu dư.","Một hồ lá sen, mặc không thiếu;
Vài gốc hoa tùng, ăn có thừa."
"憂樂最關懷問流水行雲何時慰我爲霖願
俯仰自成趣看鳥飛魚躍隨處引人悟道心","Ưu lạc tối quan hoài, vấn lưu thuỷ hành vân, hà thời úy ngã vi lâm nguyện;
Phủ ngưỡng tự thành thú, khán điểu phi ngư dược, tuỳ xứ dẫn nhân ngộ đạo tâm.","Buồn vui rất để tâm, hỏi nước chảy mây trôi, nào lúc làm mưa an ủi tôi;
Ngửa cúi đã thành thú, xem diều bay cá nhảy, tuỳ nơi ngộ đạo dẫn đưa người."
"先天引出後天難明至德
無極演成太極通達生仙","Tiên thiên dẫn xuất hậu thiên nan minh chí đức;
Vô cực diễn thành thái cực thông đạt sinh linh.","Tiên thiên dẫn tới hậu thiên, đức cùng khó tỏ;
Vô cực biến thành thái cực, quán sinh truyền thông."
"青山有約常圍護
玄鶴無心任去來","Thanh sơn hữu ước thường vi hộ;
Huyền hạc vô tâm nhiệm khứ lai.","Non xanh có hẹn thường vây bọc;
Hạc huyền vô ý vẫn đi về."
"人間萬惡滿臉笑
天下憂愁一袋裝","Nhân gian vạn ác mạn kiểm tiếu;
Thiên hạ ưu sầu nhất đại trang.","Vạn ác nhân gian cười túm tìm;
Buồn lo thiên hạ một túi chung."
