cn,sv,vi
帝宜,Đế Nghi,Đế Nghi
南,Nam,Nam
五嶺,Ngũ Lĩnh,Ngũ Lĩnh
鶩僊,Vụ Tiên,Vụ Tiên
帝明,Đế Minh,Đế Minh
帝明,Đế Minh,Đế Minh
帝宜,Đế Nghi,Đế Nghi
北,Bắc,Bắc
涇陽王,Kinh Dương Vương,Kinh Dương Vương
南,Nam,Nam
赤鬼,Xích Quỷ,Xích Quỷ
洞庭,Động Đình,Động Đình
神龍,Thần Long,Thần Long
貉龍君,Lạc Long Quân,Lạc Long Quân
唐,Đường,Đường
涇陽,Kinh Dương,Kinh Dương
洞庭,Động Đình,Động Đình
涇川,Kinh Xuyên,Kinh Xuyên
柳毅,Liễu Nghị,Liễu Nghị
洞庭,Động Đình,Động Đình
則涇川洞庭,Tắc Kinh Xuyên Động Đình,Tắc Kinh Xuyên Động Đình
貉龍君,Lạc Long Quân,Lạc Long Quân
諱崇䌫涇陽王,Huý Sùng Lãm Kinh Dương Vương,Huý Sùng Lãm Kinh Dương Vương
帝來,Đế Lai,Đế Lai
嫗姬,Âu Cơ,Âu Cơ
百粤,Bách Việt,Bách Việt
姬,Cơ,Cơ
我,Ngã,Ngã
南,Nam,Nam
南海,Nam Hải,Nam Hải
䧺王,Hùng Vương,Hùng Vương
吴士連,Ngô Sĩ Liên,Ngô Sĩ Liên
天,Thiên,Thiên
盤古,Bàn Cổ,Bàn Cổ
天,Thiên,Thiên
商,Thương,Thương
周,Chu,Chu
神農,Thần Nông,Thần Nông
帝明,Đế Minh,Đế Minh
鶩僊,Vụ Tiên,Vụ Tiên
涇陽王,Kinh Dương Vương,Kinh Dương Vương
百粤,Bách Việt,Bách Việt
神龍,Thần Long,Thần Long
貉龍君君,Lạc Long Quân Quân,Lạc Long Quân Quân
帝來,Đế Lai,Đế Lai
越,Việt,Việt
考,Khảo,Khảo
通鑑外紀帝來帝宜,Thông Giám Ngoại Kỉ Đế Lai Đế Nghi,Thông Giám Ngoại Kỉ Đế Lai Đế Nghi
涇陽王帝宜,Kinh Dương Vương Đế Nghi,Kinh Dương Vương Đế Nghi
䧺王,Hùng Vương,Hùng Vương
貉龍君,Lạc Long Quân,Lạc Long Quân
峯州今白鶴,Phong Châu Kim Bạch Hạc,Phong Châu Kim Bạch Hạc
雄王,Hùng Vương,Hùng Vương
文郎,Văn Lang,Văn Lang
南海,Nam Hải,Nam Hải
巴蜀,Ba Thục,Ba Thục
洞庭,Động Đình,Động Đình
胡孫,Hồ Tôn,Hồ Tôn
占城,Chiêm Thành,Chiêm Thành
廣南,Quảng Nam,Quảng Nam
交趾,Giao Chỉ,Giao Chỉ
朱鳶,Chu Diên,Chu Diên
武寧,Vũ Ninh,Vũ Ninh
福祿,Phúc Lộc,Phúc Lộc
越裳,Việt Thường,Việt Thường
寧海,Ninh Hải,Ninh Hải
陽泉,Dương Tuyền,Dương Tuyền
陸海,Lục Hải,Lục Hải
武定,Vũ Định,Vũ Định
懷驩,Hoài Hoan,Hoài Hoan
九真,Cửu Chân,Cửu Chân
平文,Bình Văn,Bình Văn
新興,Tân Hưng,Tân Hưng
九德,Cửu Đức,Cửu Đức
文郎,Văn Lang,Văn Lang
貉候,Lạc Hầu,Lạc Hầu
貉將貉,Lạc Tướng Lạc,Lạc Tướng Lạc
雄將王,Hùng Tướng Vương,Hùng Tướng Vương
官郎,Quan Lang,Quan Lang
媚娘,Mị Nương,Mị Nương
蒲政,Bồ Chính,Bồ Chính
雄王,Hùng Vương,Hùng Vương
山,Sơn,Sơn
百粤,Bách Việt,Bách Việt
雄王,Hùng Vương,Hùng Vương
武寧,Vũ Ninh,Vũ Ninh
扶董,Phù Đổng,Phù Đổng
願,Nguyện,Nguyện
武寧,Vũ Ninh,Vũ Ninh
後李太祖,Hậu Lí Thái Tổ,Hậu Lí Thái Tổ
冲天神王其,Xung Thiên Thần Vương Kì,Xung Thiên Thần Vương Kì
扶董,Phù Đổng,Phù Đổng
建初,Kiến Sơ,Kiến Sơ
周成王,Chu Thành Vương,Chu Thành Vương
越,Việt,Việt
周未,Chu Vị,Chu Vị
越裳,Việt Thường,Việt Thường
周公,Chu Công,Chu Công
政,Chính,Chính
王,Vương,Vương
媚娘,Mị Nương,Mị Nương
蜀王,Thục Vương,Thục Vương
雄,Hùng,Hùng
彼,Bỉ,Bỉ
蜀王,Thục Vương,Thục Vương
此,Thử,Thử
山精,Sơn Tinh,Sơn Tinh
水精,Thuỷ Tinh,Thuỷ Tinh
我,Ngã,Ngã
山精,Sơn Tinh,Sơn Tinh
山精,Sơn Tinh,Sơn Tinh
傘圓,Tản Viên,Tản Viên
水精,Thuỷ Tinh,Thuỷ Tinh
山精,Sơn Tinh,Sơn Tinh
慈廉,Từ Liêm,Từ Liêm
水精,Thuỷ Tinh,Thuỷ Tinh
莅仁,Lị Nhân,Lị Nhân
廣威,Quảng Oai,Quảng Oai
喝,Hát,Hát
陀,Đà,Đà
傘圓,Tản Viên,Tản Viên
山精,Sơn Tinh,Sơn Tinh
俗,Tục,Tục
山精水精,Sơn Tinh Thuỷ Tinh,Sơn Tinh Thuỷ Tinh
傘圓,Tản Viên,Tản Viên
越,Việt,Việt
媚娘,Mị Nương,Mị Nương
山精蜀,Sơn Tinh Thục,Sơn Tinh Thục
文郎,Văn Lang,Văn Lang
蜀泮,Thục Phán,Thục Phán
吳士連,Ngô Sĩ Liên,Ngô Sĩ Liên
雄王,Hùng Vương,Hùng Vương
蓋,Cái,Cái
今,Kim,Kim
若山精水精,Nhược Sơn Tinh Thuỷ Tinh,Nhược Sơn Tinh Thuỷ Tinh
右鴻庞,Hữu Hồng Bàng,Hữu Hồng Bàng
涇陽王壬戌,Kinh Dương Vương Nhâm Tuất,Kinh Dương Vương Nhâm Tuất
宜,Nghi,Nghi
雄王,Hùng Vương,Hùng Vương
周赧王,Chu Noãn Vương,Chu Noãn Vương
季卯,Quý Mão,Quý Mão
蜀紀安陽王,Thục Kỷ An Dương Vương,Thục Kỷ An Dương Vương
姓蜀,Tính Thục,Tính Thục
泮巴蜀,Phán Ba Thục,Phán Ba Thục
封溪今古螺,Phong Khê Kim Cổ Loa,Phong Khê Kim Cổ Loa
甲辰,Giáp Thìn,Giáp Thìn
周赧王,Chu Noãn Vương,Chu Noãn Vương
文郎,Văn Lang,Văn Lang
甌貉,Âu Lạc,Âu Lạc
雄王雄王,Hùng Vương Hùng Vương,Hùng Vương Hùng Vương
雄王,Hùng Vương,Hùng Vương
我,Ngã,Ngã
蜀,Thục,Thục
遂,Toại,Toại
蜀王,Thục Vương,Thục Vương
越裳,Việt Thường,Việt Thường
螺城,Loa Thành,Loa Thành
思龍,Tư Long,Tư Long
唐,Đường,Đường
崑崙,Côn Lôn,Côn Lôn
丙午,Bính Ngọ,Bính Ngọ
東周,Đông Chu,Đông Chu
工,Công,Công
待,Đãi,Đãi
此,Thử,Thử
七耀,Thất Diệu,Thất Diệu
悟空,Ngộ Không,Ngộ Không
郎,Lang,Lang
死,Tử,Tử
至七耀,Chí Thất Diệu,Chí Thất Diệu
郎,Lang,Lang
荷,Hà,Hà
國,Quốc,Quốc
臯魯或,Cao Lỗ Hoặc,Cao Lỗ Hoặc
皐通,Cao Thông,Cao Thông
靈光金爪神弩,Linh Quang Kim Trảo Thần Nỗ,Linh Quang Kim Trảo Thần Nỗ
唐高,Đường Cao,Đường Cao
南詔,Nam Chiếu,Nam Chiếu
武寧,Vũ Ninh,Vũ Ninh
高魯,Cao Lỗ,Cao Lỗ
昔,Tích,Tích
安陽王,An Dương Vương,An Dương Vương
貉,Lạc,Lạc
明,Minh,Minh
高王,Cao Vương,Cao Vương
美,Mĩ,Mĩ
交州,Giao Châu,Giao Châu
