cn,sv,entity_position,entities,entity_type
復游休乘暢吟風弄月往來恭托廣寒宮,Dạ du hưu bình chúc ngã phong lộng nguyệt vãng lai hoàng tại Quảng Hàn cung,(13: 15),Quảng Hàn,
我南帝統第一紀,Ngã Nam đế thống đệ nhất kỷ,(0: 2),Ngã Nam,
長安廟貌萬年秋,Trường An miếu mạo vạn niên thu,(0: 2),Trường An,
神武貼四鄕盛宋強占此日,Thần vũ thiếp tứ lân thịnh Tống cường Chiêm thủ nhật,"(6: 7), (8: 9)","Tống, Chiêm",
世宗始造茅茨館,Thế Tông thuỷ tạo mao từ quán,(0: 2),Thế Tông,
福泰重開瓦石軒,Phúc Thái trung khai ngoa thạch hiên,(0: 2),Phúc Thái,
皇黎國派本本源源明德其來遠矣,Hoàng Lê quốc phái bản bản nguyên nguyên minh đức kỳ lai viễn hĩ,(0: 2),Hoàng Lê,
雲堂郷民孫孫子子摠世勿替民之,Vân Cát hương dân tôn tôn tử tử kế thế vật thể dân chi,(0: 2),Vân Cát,
陳舍范家天葢聖,Trần xá Phạm gia Thiên Khải thánh,"(2: 3), (4: 6)","Phạm, Thiên Khải",
雲鄕黎氏地生神,Vân hương Lê thị địa sinh thần,(2: 3),Lê,
雲雨是洪恩南國生靈皆潤澤,Vân vũ thị hồng ân Nam quốc sinh linh giai nhuận trạch,(5: 6),Nam,
濟世封功記萬春,Tể thế phong công ký Vạn Xuân,(5: 7),Vạn Xuân,
國號萬春跡在龍編名在史,Quốc hiệu Vạn Xuân tích tại Long Biên danh tại sử,"(2: 4), (6: 8)","Vạn Xuân, Long Biên",
志安天下生爲南帝死爲神,Chí an thiên hạ sinh vi Nam đế tử vi thần,(6: 7),Nam,
東阿運隆治朝興,Đông A vận tế trị triều hưng,(0: 2),Đông A,
義教芳傳無嶺桂,Nghĩa giáo phương truyền Yên lĩnh quế,(4: 5),Yên,
英聲華古傳三帶,Anh thanh Triệu cổ truyền tam đái,(2: 3),Triệu,
西蜀山河銘偉跡,Tây Thục sơn hà minh vĩ tích,(0: 2),Tây Thục,
歷朝封表西關鎮,Lịch triều phong biểu Tây quan trấn,(4: 5),Tây,
草樹一方無潤莫,Thảo thụ nhất phương vô nhuận Mạc,(6: 7),Mạc,
江山此地有慚黎,Giang sơn thử địa hữu tàm Lê,(6: 7),Lê,
義氣擁長江潤莫不污濁水,Nghĩa khí ủng trường giang nhuận Mạc bất ố Nhu thủy,"(6: 7), (9: 10)","Mạc, Nhu",
霸心盟白石慚黎上有武城,Bá tâm minh bạch thạch vi Lê thượng hữu Vũ thành,"(6: 7), (9: 10)","Lê, Vũ",
風蘭雅菊百年心,Phong tán Nhã vi bách niên tâm,(2: 3),Nhã,
心銘四字國思長,Tâm minh tứ tự Quốc ân trường,(4: 5),Quốc,
周南風化歸仁厚,Chu Nam phong hoá quy nhân hậu,(0: 2),Chu Nam,
道若江河隨地達成淳聖,Đạo nhược giang hà tuỳ địa tận thành Thủ Tứ,(8: 10),Thủ Tứ,
聖如日月善天走是春秋,Thánh như nhật nguyệt phổ thiên do thị Xuân Thu,(8: 10),Xuân Thu,
代舉誰先覺覺者佛也,Đại cử thuỳ tiên giác giác giả Phật dã,(7: 8),Phật,
積善經盡賢傳事業正大高明,Kê Thánh kinh đình hiền truyền sự nghiệp chính đại cao minh,(0: 2),Kê Thánh,
龍興記績華岡石,Long hưng ký tích Hoa lư thạch,(4: 5),Hoa,
虎視雄威東海風,Hổ thị dư uy Bố hải phong,(4: 5),Bố,
勤名題美東阿日,Huân danh đề mỹ Đông A nhật,(4: 6),Đông A,
討賊何年蜀郡猶存臨誓日,Thảo tặc hà niên Thục quận do tồn lâm thệ nhật,(4: 5),Thục,
行封當日義山合作勒功碑,Hành phong đương nhật Nghĩa sơn hợp tác lặc công bi,(4: 5),Nghĩa,
千古靈魂歸象郡,Thiên cổ linh hồn quy Tượng quận,(5: 6),Tượng,
百年殘骨寄龍州,Bách niên tàn cốt tống Long châu,(5: 6),Long,
對佛一燈寒,Đối Phật nhất đăng hàn,(0: 2),Đối Phật,
生為貉將死為神歷代袞葩長仰文郎千古國,Sinh vi Lạc tướng tử vi thần lịch đại cẩn ba trường ngưỡng Văn lang thiên cổ quốc,"(2: 3), (13: 14)","Lạc, Văn",
昔是軍營今是廟異然香火默扶戚里二村民,Tích thị quân doanh kim thị miếu dị nhiên hương hoả mộc phu Thích lý nhị thôn dân,(13: 14),Thích,
座上蓮花占盡西湖三月景,Toạ thượng liên hoa chiếm tận Tây Hồ tam nguyệt cảnh,(6: 8),Tây Hồ,
瓶中楊柳分來南海一枝春,Bình trung dương liễu phần lai Nam Hải nhất chi xuân,(6: 8),Nam Hải,
入般若門開般若場求現在同圓般若,Nhập Bát nhã môn khai bát nhã trường cầu hiện tại đồng viên bát nhã,(0: 2),Nhập Bát,
一門甲榜椿家聲洪順初年正進士,Nhất môn giáp bảng ức gia thanh Hồng Thuận sơ niên chánh Tiến sĩ,"(7: 9), (12: 13)","Hồng Thuận, Tiến",
萬古綱常扶世教光昭未遜大忠臣,Vạn cổ cương thường phù thế giáo Quang Thiệu mạt tạo đại trung thần,(7: 9),Quang Thiệu,
入歲已狀元名芳越地,Bát tuế dĩ Trạng nguyên danh phường Việt địa,"(3: 4), (7: 8)","Trạng, Việt",
十年行使事聲振吳閭,Thập niên hành Sử sự thanh chấn Ngô gia,"(3: 4), (7: 8)","Sử, Ngô",
雲宿莊王何代址,Vân túc Trang Vương hà đại chỉ,(2: 4),Trang Vương,
樹吹陳子一風應,Thụ suy Trần tử nhất phong am,(2: 3),Trần,
超類靈堂事代九重昭母閣,Siêu loại chung linh Lý đại cửu trùng chiêu mẫu tắc,(4: 5),Lý,
斷蛟勇冠群倫李朝千萬年而後,Đoạn giao dũng quán quần luân Lý triều thiên vạn niên nhi hậu,(6: 7),Lý,
躍馬恩留厥邑龍城十三寨俱傳,Dược mã ân lưu quyết ấp Long thành thập tam trại câu truyền,(6: 7),Long,
保圀振神威北地戶山留勝跡,Bảo quốc chấn thần uy Bắc địa nhạc sơn lưu thắng tích,(5: 6),Bắc,
安民憑聖澤南天寳殿沐深恩,An dân bằng thánh trạch Nam thiên bảo điện mộc thâm ân,(5: 6),Nam,
吴家文派流丙在前朝祖自先封公肇基之始,Ngô gia văn phái lưu bính tại tiền triều tổ tự tiên Phong Công triệu cơ chi thủy,(12: 14),Phong Công,
罗渚科編居裘裕来叶艳传双进士联榜于今,La chử khoa biên cơ cừu dụ lai diệp diễm truyền song Tiến sĩ liên bảng vu kim,(12: 13),Tiến,
為故黎追錄臣忠義千秋傳國史,Vi cố Lê bộ bá thần trung nghĩa thiên thu truyền quốc sử,(2: 3),Lê,
開西築文獻地蒸蒸永世仰宗功,Khai tây Khê văn hiến địa chưng thường vĩnh thế ngưỡng tôn công,(2: 3),Khê,
道本先天用妙陰陽醫是易,Đạo bản tiên thiên dụng diệu âm dương y thị Dịch,(10: 11),Dịch,
天外是銀河煙波宛轉,Thiên ngoại thi Ngân hà yên ba uyển chuyển,(3: 4),Ngân,
星河銀漢影流霞,Tinh hà Ngân hà ảnh lưu hà,(2: 3),Ngân,
几回舞变霓裳桃花扇底风犹软,Kỷ hội vũ biến Nghê thường đào hoa phiến để phong do nhuỵễn,(4: 5),Nghê,
一曲歌残玉树杨柳楼头月未低,Nhất khúc ca tàn Ngọc thụ dương liễu lâu đầu nguyệt vi đê,(4: 5),Ngọc,
文 重 九 華 推 上 品,Văn trọng Cửu hoa thôi thượng phẩm,(2: 3),Cửu,
賊到螺城隨滅沒,Tặc đáo Loa Thành tuỳ diệt một,(2: 4),Loa Thành,
斷 蚣 勇 冠 群 倫 李 朝 千 萬 年 而 厚,Đoạn giao dũng quán quần luân Lý triều thiên vạn niên nhi hậu,(6: 7),Lý,
踞 馬 恩 留 居 巴 龍 城 十 三 萬 由 傳,Dược mã ân lưu quyết áp Long thành thập tam trại do truyền,(6: 7),Long,
得 地 高 標 武 廟 間,Đắc địa cao tiêu Vũ miếu gian,(4: 5),Vũ,
唱 道 古 三 路 之 分 勝 地 奇 觀 花 表 千 年 留 滿 格,Hát giang cố tam lộ chi phân thắng địa kỳ quan hoa biểu thiên niên lưu Hồng Lạc,(16: 18),Hồng Lạc,
南 天 七 二 稽 之 一 流 雄 靈 蹟 蹟 封 居 代 影 龍 仙,Nam thiên thất nhị tú chi nhất lưu hùng linh tích bao phong lịch đại ảnh Long Tiên,(16: 18),Long Tiên,
太 水 千 秋 瞻 仰 佛,Thái Thuỷ thiên thu chiêm ngưỡng Phật,"(0: 2), (6: 7)","Thái Thuỷ, Phật",
普 靈 萬 世 度 持 民,Phổ Linh vạn thế độ trì dân,(0: 2),Phổ Linh,
修 家 修 市 修 禪 滿,Tu gia tu thị tu Thiền Phật,(5: 7),Thiền Phật,
龍 符 輝 門 增 鼎 盛,Long phù Huy môn tăng đỉnh thịnh,(2: 3),Huy,
醫 扶 禪 宇 永 昌 隆,Khuông phù Thiền vũ vĩnh xương long,(2: 3),Thiền,
西 北 龍 來 四 故 祖,Tây Bắc long lai hồi cố tổ,(0: 2),Tây Bắc,
東 南 水 變 到 前 堂,Đông Nam thuỷ nhiễu đáo tiền đường,(0: 2),Đông Nam,
龍 水 鯉 魚 親 拜 向,Long thuỷ Lý ngư thân bái hướng,(2: 3),Lý,
遺 跡 陳 名 傳 自 古,Di tích Trần Danh truyền tự cổ,(2: 4),Trần Danh,
留 來 安 所 願 于 今,Lưu lai Yên Sở hiển vu kim,(2: 4),Yên Sở,
登 是 南 邦 天 地 仝 勳 功 關 宅,Đăng thị Nam bang thiên địa tính công quan đế trạch,(2: 3),Nam,
秦 維 西 土 江 山 閭 世 想 皇 風,Quyền duy Tây thổ giang sơn duyệt thế tưởng hoàng phong,(2: 3),Tây,
鴻絡故基存累障層巒羣水合,Hồng Lạc cố cơ tồn lũy chướng tằng loan quần thủy hợp,(0: 2),Hồng Lạc,
帝王靈氣在號風怒雨一峯高,Đế Vương linh khí tại hiệu phong nộ vũ nhất phong cao,(0: 2),Đế Vương,
四千年鴻雒山河相傳祖國,Tứ thiên niên Hồng Lạc sơn hà tương truyện tổ quốc,(3: 5),Hồng Lạc,
二十兆仙龍苗裔共仰英靈,Nhị thập triệu Tiên Long miếu duệ cộng ngưỡng anh linh,(3: 5),Tiên Long,
裔裔皇皇配天其澤帝而祖,Duệ duệ hoàng hoàng phối thiên kỳ trạch đế nhi Tổ,(10: 11),Tổ,
蔥蔥鬱鬱得地之靈山亦雄,Thông thông uất uất đắc địa chi linh sơn diệc Hùng,(10: 11),Hùng,
隨 祖 國 精 神 一 十 八 傳 根 本 地,Duy Tổ quốc tinh thần nhất thập bát truyền căn bản địa,(0: 2),Duy Tổ,
考 古 都 名 勝 榮 千 百 載 帝 王 陵,Khảo Cổ đô danh thắng kỷ thiên bách tài để vương lăng,(0: 2),Khảo Cổ,
安養處卓錫依此道以傳法雨祥雲隨自在,An Dưỡng am trác tích y thử đạo dĩ truyền pháp vũ tường vân tuỳ tự tại,(0: 2),An Dưỡng,
慈孝自開山得其門而入佛恩國澤共圓融,Từ Hiếu tự khai sơn đắc kỳ môn nhi nhập Phật ân quốc trạch cộng viên dung,"(0: 2), (10: 11)","Từ Hiếu, Phật",
道心堅石學海深源亞雨歐風不動掌上禪宗手,Đạo tâm kiên thạch học hải thâm nguyên Á vũ Âu phong bất động chưởng thượng Thiền tông thủ,"(8: 9), (10: 11), (16: 17)","Á, Âu, Thiền",
御嶺悲雲香江逝水淄衣素服永懷西邊月影南,Ngự lĩnh bi vân Hương Giang thệ thuỷ truy y tố phục vĩnh hoài tây biên nguyệt ảnh nam,(4: 6),Hương Giang,
禪心明淨三界普慈悲從香國中來震旦經聲傳佛法,Thiền tâm minh tịnh tam giới phổ từ bi tòng Hương Quốc trung lai Chấn Đán kinh thanh truyện Phật pháp,"(10: 12), (14: 16), (19: 20)","Hương Quốc, Chấn Đán, Phật",
梵舍莊嚴十方歸濟渡素景興而後天台山色盎神京,Phạm xá trang nghiêm thập phương quy tế độ tố Cảnh Hưng nhi hậu Thiên Đài sơn sắc áng thần kinh,"(10: 12), (14: 16)","Cảnh Hưng, Thiên Đài",
滿 地 花 香 開 佛 國,Mãn địa hoa hương khai Phật quốc,(5: 6),Phật,
半 天 鐘 磬 入 祇 園,Bán thiên chung khánh nhập Kỳ viên,(5: 6),Kỳ,
香 江 其 北 御 領 其 南 千 萬 世 慈 風 傳 寺 古,Hương Giang kỳ bắc Ngự lĩnh kỳ nam thiên vạn thế từ phong truyền tự cổ,"(0: 2), (4: 5)","Hương Giang, Ngự",
景 興 以 前 永 盛 以 後 數 百 年 梵 宇 壯 于 今,Cảnh Hưng dĩ tiền Vĩnh Thịnh dĩ hậu sổ bách niên phạm vũ tráng vu kim,"(0: 2), (4: 6)","Cảnh Hưng, Vĩnh Thịnh",
色即是空空即是色須信性中無罣礙,Sắc tức thị không không tức thị sắc tu tín tính Trung vô quái ngại,(11: 12),Trung,
佛不離心心不離佛誰三身外有菩提,Phật bất ly tâm tâm bất ly Phật thùy tam thân ngoại hữu bồ đề,(7: 8),Phật,
佛 即 心 心 即 佛 佛 佛 心 心,Phật tức tâm tâm tức Phật Phật Phật tâm tâm,(5: 8),Phật Phật Phật,
妙 営 被 群 生 多 稱 顕 德,Diệu Đế bị quần sinh đa xưng thạc đức,(0: 2),Diệu Đế,
浄 光 含 萬 象 好 繞 宗 風,Tịnh Quang hàm vạn tượng hào kế tông phong,(0: 2),Tịnh Quang,
蓮 起 煙 中 妙 営 常 年 開 法 侶,Liên khởi lư trung Diệu Đế thường niên khai pháp lữ,(4: 6),Diệu Đế,
花 繞 錦 上 浄 光 此 日 振 慈 風,Hoa tú cẩm thượng Tịnh Quang thử nhật chấn từ phong,(4: 6),Tịnh Quang,
安子高峰紅日月,Yên Tử cao phong hồng nhật nguyệt,(0: 2),Yên Tử,
竹林山上昭十方,Trúc Lâm sơn thượng chiếu thập phương,(0: 2),Trúc Lâm,
天上果有詩百粤山河今即古,Thiên thượng quả hữu thi Bách Việt sơn hà kim tức cổ,(5: 7),Bách Việt,
寧扶岌岌曹南鬥北同公,Ninh phù hạp cảnh Tào Nam Đẩu Bắc đồng công,(4: 8),Tào Nam Đẩu Bắc,
居之河入遇驅濟頭凡德江明月重無半點塵心,Cư chi hà cữu ngộ biển bãi đầu phàm Đức giang minh nguyệt trùng vô bán điểm trần tâm,(9: 10),Đức,
雲菁秀鐘世出女中堯舜,Văn Cát tú chung thế xuất nữ trung Nghiêu Thuấn,"(0: 2), (8: 10)","Văn Cát, Nghiêu Thuấn",
一誠齋浴魁皐北斗重如山,Nhất thành trại bát kiều chiêm Bắc đẩu trọng như sơn,(6: 7),Bắc,
帝居南國山河十子芬芳垂弗替；,Đế cư Nam quốc sơn hà thập tử phân phương thùy phất thế,(2: 3),Nam,
佛祖西天道教萬年瞻仰永無窮。,Phật tổ Tây thiên đạo giáo vạn niên chiêm ngưỡng vĩnh vô cùng,(2: 3),Tây,
秀之敏英之鍾神聖得之生翼振山河靈蹟至今存異史,Tú chi mẫn anh chi chung thần thánh đắc chi sinh Dực Chẩn sơn hà linh tích chí kim tồn dị sử,(11: 13),Dực Chẩn,
雲可騰水可履真經如可樹樂鴻宇宙雄風於是播全球,Vân khả đằng thủy khả lý chân kinh như khả thụ Lạc Hồng vũ trụ hùng phong ư thị bá toàn cầu,(11: 13),Lạc Hồng,
門扃蕩蕩仰瞻如見佛真經,Môn quynh đãng đãng ngưỡng chiêm như kiến Phật chân kinh,(8: 9),Phật,
柴山聖化帝位前身貉越千秋存顯蹟,Sài sơn thánh hóa đế vị tiền thân Lạc Việt thiên thu tồn hiển tích,(8: 10),Lạc Việt,
學道西天紫嶂千秋傳佛訓,Học đạo Tây thiên Sài lĩnh thiên thu truyền phật tích,"(2: 3), (4: 5)","Tây, Sài",
安民南地李朝再世現王身,An dân Nam địa Lý triều tái thế hiện vương thân,"(2: 3), (4: 5)","Nam, Lý",
西方活佛丹青玉殿嚴州三千帝,Tây phương hoạt Phật đan thanh ngọc điện nghiêm châu tam thiên đế,(3: 4),Phật,
夢 覺 此 間 閬 苑 蘇 江 今 古 寺,Mộng giác thử gian lãng uyển Tô giang kim cổ tự,(6: 7),Tô,
清 高 道 象 祡 山 濃 嶺 化 生 身,Thanh cao đạo tượng Sài sơn Nùng lĩnh hoá sinh thân,"(4: 5), (6: 7)","Sài, Nùng",
生花何年仙是帝,Sinh hóa hà niên tiên thị Phật,(6: 7),Phật,
覺岸登有三觀塵世是仙是佛,Giác ngạn đăng hữu tam quan trần thế thị tiên thị Phật,(11: 12),Phật,
德輝南極千秋翰墨煥文光,Đức huy Nam cực thiên thu hàn mặc hoán văn quang,(2: 3),Nam,
鐘磬潮音騰佛座,Chung đới triều âm đăng Phật tọa,(5: 6),Phật,
山鳥有情尊佛偈,Sơn điểu hữu tình tôn Phật kệ,(5: 6),Phật,
法取蘭亭存氣韻,Pháp thủ Lan đình tồn khí vận,(2: 3),Lan,
洗硯春波臨畵帖,Tẩy nghiên xuân ba lâm Tấn thiếp,(5: 6),Tấn,
焚香夜雨和陶詩,Phấn hương dạ vũ họa Đào thi,(5: 6),Đào,
登黃鶴樓讀赤壁賦,Đăng Hoàng Hạc lâu độc Xích Bích phú,"(0: 3), (5: 7)","Đăng Hoàng Hạc, Xích Bích",
磨青鐵硯歌白雲詩,Ma thanh thiết nghiễn ca Bạch Vân thi,(5: 7),Bạch Vân,
學問無窮曾三子四,Học vấn vô cùng Tăng tam Nhan tứ,"(4: 5), (6: 7)","Tăng, Nhan",
光明有限萬寸陶分,Quang minh hữu hạn Vũ thốn Đào phần,"(4: 5), (6: 7)","Vũ, Đào",
祖是皇勳業猶然垂越史,Tổ thị hoàng hãn nghiệp do nhiên thùy Việt sử,(8: 9),Việt,
族將大枝條長此拂茶山,Tộc tương đại chi điểu trưởng thử chuyết Trà sơn,(8: 9),Trà,
戈甲拱扼仇鐵馬齊名聲北寧,Qua giáp chán Ấn cừu thiết mã tề danh kinh Bắc hách,"(3: 4), (10: 11)","Ấn, Bắc",
山河換越廟金甌定永壯南郊,Sơn hà khôi Việt điện kim âu định vũ trắng Nam giao,"(3: 4), (10: 11)","Việt, Nam",
崇恩遍覆菩提地,Sùng ân biến phủ Bồ đề địa,(4: 5),Bồ,
慶祝流芳報若門,Khánh chúc lưu phương Bát nhã môn,(4: 5),Bát,
不有西來船安知寶筏慈航為萬家佛,Bất hữu Tây lai thuyền an tri Bảo phiệt Từ hàng vi vạn gia Phật,"(2: 3), (7: 8), (9: 10), (14: 15)","Tây, Bảo, Từ, Phật",
了得中無悔方識祇園稱統是三界神,Liễu đắc nam mô kê phương thức Kỳ viên Thứu lĩnh thị tam giới Thần,"(7: 8), (9: 10), (14: 15)","Kỳ, Thứu, Thần",
空中佛眼無私照,Không trung Phật nhãn vô tư chiếu,(2: 3),Phật,
歷朝敕贈陳王顯,Lịch triều sắc tặng Trần vương hiển,(4: 5),Trần,
越國英雄興道將,Việt quốc anh hùng Hưng Đạo tướng,(4: 6),Hưng Đạo,
藤江大破寇元兵,Đằng giang đại phá khẩu Nguyên binh,(5: 6),Nguyên,
聖德垂佑金本富；,Thánh đức khuông phù Kim Bản phú,(4: 6),Kim Bản,
神功濟度貴鄉豐。,Thần công tế độ Quý Hương phong,(4: 6),Quý Hương,
靈湖浩水隨緣渡,Linh Hồ Nhược thủy tùy duyên độ,(0: 3),Linh Hồ Nhược,
高舉長山火炬續寫創業史,Cao cử Trường Sơn hỏa cự tục tả sáng nghiệp sử,(2: 4),Trường Sơn,
迎春正啓鹅山席,Nghênh xuân chính khải Nga Sơn tịch,(4: 6),Nga Sơn,
爱客偏浮缽場杯,Ái khách thiên phù Bát Tràng bôi,(4: 6),Bát Tràng,
解悶何妨呼陸羽,Giải muộn hà phóng hô Lục Vũ,(5: 7),Lục Vũ,
天錫永齡繼引魯彭之歲月,Thiên tích vĩnh linh kế dần Kiều Bành chi tuế nguyệt,(6: 8),Kiều Bành,
地鍾旺氣嬉游歐亞的乾坤,Địa chung vượng khí hi du Âu á đích cần khôn,(6: 7),Âu,
佛在心真心是佛積善餘慶,Phật tại tâm chân tâm thị Phật tích thiện dư khương,(6: 7),Phật,
鎭北古名藍蕩漾西湖光慧日,Trấn Bắc cổ danh lam đăng dạng Tây Hồ quang tuệ nhật,"(0: 2), (7: 9)","Trấn Bắc, Tây Hồ",
學南今勝跡方從東土振禅開,Việt Nam kim thắng tích phương tùng Đông Thổ chấn thiền quan,"(0: 2), (7: 9)","Việt Nam, Đông Thổ",
鷲嶺花枯傳密法,Thứu Lĩnh hoa khô truyền mật pháp,(0: 2),Thứu Lĩnh,
天本再生畸花下題詩神筆在,Thiên Bản tái sinh kỳ hoa hạ đề thi thần bút tại,(0: 2),Thiên Bản,
地仙參降顯御前製錦聖恩嘉,Địa Tiên tam giáng hiển ngự tiền chế cẩm thánh ân gia,(0: 2),Địa Tiên,
南天拾捌世車書初頭第壹聖,Nam thiên thập bát thế xa thư sơ đầu đệ nhất Thánh,(11: 12),Thánh,
西嶽億萬年香火上等最靈神,Tây Nhạc ức vạn niền hương hỏa thượng đẳng tối linh Thần,"(0: 2), (11: 12)","Tây Nhạc, Thần",
天書定份正統肇封都百粤山河之有祖,Thiên thư định phận chính thống triệu phong đô Bách Việt sơn hà chi hữu tổ,(9: 11),Bách Việt,
啟我南邦鴻貉千秋尊帝國,Khải ngã Nam bang Hồng Lạc thiên thu tôn đế quốc,"(2: 3), (4: 6)","Nam, Hồng Lạc",
顯丁西土傘瀘一帶壽新祠,Hiển Đinh Tây Thổ Tản Lô nhất đới thọ tân từ,(0: 6),Hiển Đinh Tây Thổ Tản Lô,
大地雄王愛國民生盛旺,Đại địa Hùng vương ái quốc dân sinh thịnh vượng,(2: 3),Hùng,
東向南天和平造立千秋,Đông hướng Nam thiên hòa bình tạo lập thiên thu,(2: 3),Nam,
始帝炎邦貞淑五南起業,Thủy đế viêm bang trinh thục ngũ Nam khởi nghiệp,(7: 8),Nam,
聖德冠南天默佑鄉民康泰,Thánh đức quán Nam thiên mặc hựu hương dân khang thái,(3: 4),Nam,
神威腾北地匡扶社援安寧,Thần uy đằng Bắc địa khuông phù xã tắc an ninh,(3: 4),Bắc,
應蜀聘扶蜀危莫大勳名標宇宙,Ứng Thục sính phù Thục nguy mạc đại huân danh tiêu vũ trụ,"(0: 2), (4: 5)","Ứng Thục, Thục",
抗趙軍嗎趙使提高義氣作山河,Kháng Triệu quân mạ Triệu sứ đề cao nghĩa khí tác sơn hà,"(0: 2), (4: 5)","Kháng Triệu, Triệu",
山秀水佳如畫高清傘珥,Sơn tú thuy giai như họạ cao thanh Tản Nhĩ,(8: 10),Tản Nhĩ,
地靈人傑兼優韜略孫吳,Địa linh nhân kiệt kiêm ưu thao lược Tôn Ngô,(8: 10),Tôn Ngô,
亞雨歐風新砥柱,Á vũ Âu phong tân chỉ trụ,(2: 3),Âu,
雄崗傘嶺舊封疆,Hùng cương Tản lĩnh cựu phong cương,(2: 3),Tản,
劫嶺瀘江標正氣,Kiếp lĩnh Lô giang tiêu chính khí,(2: 3),Lô,
花石鐘靈神將化身平北宋,Hoa thạch chung linh thần tướng hoá thân binh Bắc Tống,(9: 11),Bắc Tống,
黄雲秀氣天星降世翊南天,Hoàng vân tủ khí thiên tinh giáng thế dực Nam thiên,(9: 10),Nam,
平虜戚聲北激寒心遽甲,Bình lỗ uy thanh Bắc địch hàn tâm cự giáp,(4: 5),Bắc,
慕珠舊跡南邦勝地退袍,Mộ Châu cự tích Nam bang thắng địa thoái bào,"(0: 2), (4: 5)","Mộ Châu, Nam",
秀氣一胞留越史,Tú khí nhất bào lưu Việt sử,(5: 6),Việt,
往以尊喝水爭高徽廟宇,Văng đi tôn Hát thủỷ tranh cao Trưng miếu vũ,"(3: 4), (7: 8)","Hát, Trưng",
銅可鑄浪湖不折漢風雷,Đồng khả trù Lãng hồ bất chiết Hán phong lôi,"(3: 4), (7: 8)","Lãng, Hán",
天應地靈龍橋寺,Thiên ứng địa linh Long Kiều tự,(4: 6),Long Kiều,
神扶佛度錦隊村,Thần phù phật độ Cẩm Đội thôn,(4: 6),Cẩm Đội,
徳佛慈悲能救苦,Đức Phật từ bi năng cứu khô,(0: 2),Đức Phật,
瑞雨慈濡菩提樹果千年茂,Thụy vũ từ nhu Bồ Đề thụ quả thiên niên mậu,(4: 6),Bồ Đề,
慈風動蕩般若開瑤萬世券,Từ phong động đăng Bát Nhã khai dao vạn thế xuân,(4: 6),Bát Nhã,
薏日天晶萬種雲花呈般若,Tuệ nhật thiên tinh vạn chủng vân hoa trình Bát Nhã,(9: 11),Bát Nhã,
法雲地湧兩行寶樹引菩提,Pháp vân địa dũng lưỡng hàng bảo thụ dẫn Bồ Đề,(9: 11),Bồ Đề,
氣高星漢聰明德化合陰陽,Khí cao tinh Hán thông minh đức hoa hợp âm dương,(3: 4),Hán,
眾聖共推尊極樂淨光眞教主,Chúng Thánh cộng suy tôn Cực Lạc tịnh quang chân giáo chú,"(0: 2), (5: 7)","Chúng Thánh, Cực Lạc",
諸佛同讚仰蓮花臺藏大慾尊,Chư Phật đồng tán ngưỡng Liên Hoa đài tạng đại từ tôn,"(0: 2), (5: 7)","Chư Phật, Liên Hoa",
身心非樹菩提非臺明鏡,Thân tâm phi thụ Bồ đề phi đài minh kính,(4: 5),Bồ,
西竺有經眞見佛,Tây Trúc hữu kinh chân kiến phật,(0: 2),Tây Trúc,
富彊近邑歐潮浪,Phú cường cận ấp Âu trào lãng,(4: 5),Âu,
震圃相沿越俗傳,Nông phố tương duyên Việt tục truyền,(4: 5),Việt,
與和舍共九天甘露洒人家,Dữ Hòà xá cộng cứu thiên cam lộ sái nhân gia,(0: 2),Dữ Hòà,
