cn,sv,vi
燕趙魏,Yến Triệu Nguỵ,Yến Triệu Nguỵ
秦始皇吕政,Tần Thuỷ Hoàng Lữ Chính,Tần Thuỷ Hoàng Lữ Chính
交趾慈廉,Giao Chỉ Từ Liêm,Giao Chỉ Từ Liêm
李翁仲,Lí Ông Trọng,Lí Ông Trọng
司,Tư,Tư
始皇,Thuỷ Hoàng,Thuỷ Hoàng
臨洮,Lâm Thao,Lâm Thao
匈奴,Hung Nô,Hung Nô
咸陽司馬,Hàm Dương Tư Mã,Hàm Dương Tư Mã
唐趙昌,Đường Triệu Xương,Đường Triệu Xương
翁仲,Ông Trọng,Ông Trọng
春秋左氏傳,Xuân Thu Tả Thị Truyện,Xuân Thu Tả Thị Truyện
迨高王,Đãi Cao Vương,Đãi Cao Vương
李,Lí,Lí
其,Kì,Kì
瑞香,Thuỵ Hương,Thuỵ Hương
丁亥,Đinh Hợi,Đinh Hợi
秦始皇,Tần Thuỷ Hoàng,Tần Thuỷ Hoàng
屠雎,Đồ Thư,Đồ Thư
史祿,Sử Lộc,Sử Lộc
嶺南,Lĩnh Nam,Lĩnh Nam
陸糧,Lục Lương,Lục Lương
桂林今廣西明貴,Quế Lâm Kim Quảng Tây Minh Quý,Quế Lâm Kim Quảng Tây Minh Quý
南海即,Nam Hải Tức,Nam Hải Tức
廣東象郡即南安,Quảng Đông Tượng Quận Tức Nam An,Quảng Đông Tượng Quận Tức Nam An
任囂,Nhâm Ngao,Nhâm Ngao
趙佗,Triệu Đà,Triệu Đà
龍川,Long Xuyên,Long Xuyên
竜川南海,Long Xuyên Nam Hải,Long Xuyên Nam Hải
五嶺囂佗,Ngũ Lĩnh Ngao Đà,Ngũ Lĩnh Ngao Đà
陸梁,Lục Lương,Lục Lương
陸梁辛卯,Lục Lương Tân Mão,Lục Lương Tân Mão
冬,Đông,Đông
沙丘,Sa Khâu,Sa Khâu
任囂趙佗,Nhâm Ngao Triệu Đà,Nhâm Ngao Triệu Đà
北江僊遊,Bắc Giang Tiên Du,Bắc Giang Tiên Du
佗,Đà,Đà
時囂,Thời Ngao,Thời Ngao
小江即都,Tiểu Giang Tức Đô,Tiểu Giang Tức Đô
東湖,Đông Hồ,Đông Hồ
謂佗,Vị Đà,Vị Đà
泮,Phán,Phán
平江今東岸天德,Bình Giang Kim Đông Ngạn Thiên Đức,Bình Giang Kim Đông Ngạn Thiên Đức
北佗,Bắc Đà,Bắc Đà
仲始,Trọng Thuỷ,Trọng Thuỷ
媚珠,Mị Châu,Mị Châu
夫,Phu,Phu
妾,Thiếp,Thiếp
癸巳,Quý Tị,Quý Tị
亥,Hợi,Hợi
胡任囂,Hồ Nhâm Ngao,Hồ Nhâm Ngao
聞陳勝,Văn Trần Thắng,Văn Trần Thắng
番禺漢,Phiên Ngung Hán,Phiên Ngung Hán
南城,Nam Thành,Nam Thành
東西,Đông Tây,Đông Tây
横浦陽山潢谿,Hoành Phố Dương Sơn Hoàng Khê,Hoành Phố Dương Sơn Hoàng Khê
盗,Đạo,Đạo
金,Kim,Kim
速,Tốc,Tốc
乘,Thừa,Thừa
媚珠媚珠,Mị Châu Mị Châu,Mị Châu Mị Châu
忠,Trung,Trung
演州高舍,Diễn Châu Cao Xá,Diễn Châu Cao Xá
夜山,Dạ Sơn,Dạ Sơn
螺,Loa,Loa
莘,Sần,Sần
猶,Do,Do
神,Như,Như
土,Quắc,Quắc
隨,Quắc,Quắc
如,Như,Như
至,Chí,Chí
趙越王,Triệu Việt Vương,Triệu Việt Vương
蜀趙,Thục Triệu,Thục Triệu
然,Nhiên,Nhiên
曰伯有,Viết Bá Hữu,Viết Bá Hữu
兜,Đâu,Đâu
右安陽王,Hữu An Dương Vương,Hữu An Dương Vương
大越史記外紀全書,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư
大越史記外紀全書卷之二,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Nhị,Đại Việt Sử Ký Ngoại Kỷ Toàn Thư Quyển Chi Nhị
趙紀,Triệu KỶ,Triệu KỶ
武帝,Vũ Đế,Vũ Đế
領南,Lĩnh Nam,Lĩnh Nam
姓趙,Tính Triệu,Tính Triệu
它漢真定,Đà Hán Chân Định,Đà Hán Chân Định
番禺,Phiên Ngung,Phiên Ngung
廣東,Quảng Đông,Quảng Đông
甲午,Giáp Ngọ,Giáp Ngọ
秦二世,Tần Nhị Thế,Tần Nhị Thế
林邑象郡,Lâm Ấp Tượng Quận,Lâm Ấp Tượng Quận
南帝王,Nam Đế Vương,Nam Đế Vương
乙未,Ất Mùi,Ất Mùi
西楚覇王項籍,Tây Sở Bá Vương Hạng Tịch,Tây Sở Bá Vương Hạng Tịch
漢王劉󰘊,Hán Vương Lưu Bang,Hán Vương Lưu Bang
丁酉,Đinh Dậu,Đinh Dậu
楚項籍,Sở Hạng Tịch,Sở Hạng Tịch
十,Thập,Thập
戌五,Mậu Tuất,Mậu Tuất
項籍四,Sở Hạng Tịch,Sở Hạng Tịch
劉󰘊四,Hán Lưu Bang,Hán Lưu Bang
大角,Đại Giác,Đại Giác
几亥,Kỉ Hợi,Kỉ Hợi
漢髙帝,Hán Cao Đế,Hán Cao Đế
漢王,Hán Vương,Hán Vương
西楚,Tây Sở,Tây Sở
癸卯,Quý Mão,Quý Mão
交趾九真,Giao Chỉ Cửu Chân,Giao Chỉ Cửu Chân
乙巳,Ất Tị,Ất Tị
陸賈,Lục Giả,Lục Giả
南越王,Nam Việt Vương,Nam Việt Vương
賈,Giả,Giả
且,Thả,Thả
豊沛,Phong Bái,Phong Bái
關,Quan,Quan
咸陽,Hàm Dương,Hàm Dương
帝,Đế,Đế
居,Cư,Cư
蕭何曹參,Tiêu Hà Tào Tham,Tiêu Hà Tào Tham
曰王,Viết Vương,Viết Vương
漢帝,Hán Đế,Hán Đế
五帝三王,Ngũ Đế Tam Vương,Ngũ Đế Tam Vương
吾,Ngô,Ngô
漢賈,Hán Giả,Hán Giả
曰越,Viết Việt,Viết Việt
及賈,Cập Giả,Cập Giả
庚戌,Canh Tuất,Canh Tuất
漢惠帝,Hán Huệ Đế,Hán Huệ Đế
夏漢,Hạ Hán,Hạ Hán
原廟,Nguyên Miếu,Nguyên Miếu
渭,Vị,Vị
癸丑,Quý Sửu,Quý Sửu
夏,Hạ,Hạ
乙卯,Ất Mão,Ất Mão
漢髙后吕雉,Hán Cao Hậu Lữ Trĩ,Hán Cao Hậu Lữ Trĩ
丁巳,Đinh Tị,Đinh Tị
漢髙后漢,Hán Cao Hậu Hán,Hán Cao Hậu Hán
髙帝,Cao Đế,Cao Đế
今髙后,Kim Cao Hậu,Kim Cao Hậu
漢越,Hán Việt,Hán Việt
長沙王,Trường Sa Vương,Trường Sa Vương
戊午,Mậu Ngọ,Mậu Ngọ
漢髙后,Hán Cao Hậu,Hán Cao Hậu
皇,Hoàng,Hoàng
長沙,Trường Sa,Trường Sa
庚申,Canh Thân,Canh Thân
隆慮,Long Lự,Long Lự
林閭,Lâm Lư,Lâm Lư
周竃,Chu Táo,Chu Táo
閩越西甌貉,Mân Việt Tây Âu Lạc,Mân Việt Tây Âu Lạc
交跐九真,Giao Chỉ Cửu Chân,Giao Chỉ Cửu Chân
辛酉,Tân Dậu,Tân Dậu
髙后,Cao Hậu,Cao Hậu
恒,Hằng,Hằng
文帝,Văn Đế,Văn Đế
漢文帝恒,Hán Văn Đế Hằng,Hán Văn Đế Hằng
真定,Chân Định,Chân Định
宰,Tể,Tể
陳平,Trần Bình,Trần Bình
陸賈先,Lục Giả Tiên,Lục Giả Tiên
太,Thái,Thái
曰謹,Viết Cẩn,Viết Cẩn
朕髙帝,Trẫm Cao Đế,Trẫm Cao Đế
代,Đại,Đại
