cn,vi
扶捧天生文武将帅江河地出圣人。,"Trời sinh tướng giỏi, làng Phù Ứng;
Đất xuất thánh nhân, chốn sông hồ."
崔光先前已经启奏家声久已富裕后来又留下来世泽长久。,"Trước sáng, để tiếng nhà còn mãi;
Sau khoan, dành đức trạch dài lâu."
翠竹黄花都是佛性白云流水是禅心。,"Trúc biếc hoa vàng đều tính phật;
Mây trắng nước trôi ấy tâm thiền."
天赋英才文与武地产灵气居住在这里。,"Trời dưỡng anh tài văn võ vũ
Đất do linh khí miếu cùng lăng"
到此想穷千里目谁知才上一层楼。,"Lên đây tưởng đã nhìn nghìn dặm;
Ai hay mới chỉ một tầng lầu."
柳岸雨浓千树绿桃园春暖万枝红。,"Bờ liễu đượm mưa nghìn cây biếc;
Vườn đào xuân ấm vạn cành hồng."
万水千山邀客赏千红万紫报春回。,"Muôn nước nghìn non, mời khách ngắm;
Nghìn hồng vạn tía, báo xuân về."
花乐萱春去早光寒婺宿夜来沉。,"Hoa rụng màn huyên xuân đi sớm
Quang hàn sao vụ tối đến chìm."
迎春正打开鹅山席爱客偏浮钵场杯。,"Đón xuân trải rộng chiếu Nga Sơn;
Mến khách rót đầy chén Bát Tràng."
佛法僧人口果福禄丰富教化无过于弹中佐天地人和气应和高一宝鼎真如生。,"Phật pháp tăng, tứ quả phúc lộc thọ, tài hóa biến vô cùng, cửa thiền giúp sức;
Thiên địa nhân, hòa linh ứng ngàn hoa, đài cao chung đỉnh báu, chân thực như sinh."
挟着风云来干翰墨把经纬编在心中。,"Đưa mây gió vào bút mực;
Sấp ngang dọc ở trong lòng."
经营利益增加千倍获得财富远近四方的财富。,"Doanh lợi tăng cao, lợi ngàn nơi đến;
Thu của xa gần, của bốn phương về."
大树新风光祖国广开财路富足山。,"Tổ quốc vinh quang nhờ gió mới;
Bản làng sung túc bởi làm giàu."
义气乘中天万古纲常昭显武烈德辉南极千秋翰墨焕发文光。,"Nghĩa vững trung thiên muôn thuở cương thường soi gương võ;
Đức người Nam cực nghìn thu hàn mặc sáng nên văn."
地近街坊应该严格出入门应当开关不要忽视晨昏。,"Nhà gần phố xá, ra vào nên cẩn thận;
Cửa hay đóng mở hôm sớm chớ vội vàng."
楼很高只能让鸟飞过池子小能够把月亮送来。,"Lầu cao còn thấy cánh chim qua
Ao nhỏ vẫn đưa trăng sáng lại"
春雨声中莺鸟转动滑滑晚霞明亮的地方鹤鹤飞来。,"Trong tiếng mưa xuân oanh cao hót;
Vài tia ráng muộn hạc bay về."
峰一峰高不知何年飞铁马紫桧千古壮相传此地解衣殇。,"Núi đấy một tầng cao, chẳng nhớ năm nào phi ngựa sắt;
Đến thiêng muôn thuở vững, chuyện rằng đất ấy cởi bào nhung."
近来喜欢来敬仰佛教教化救助百姓超脱世俗仰赖大恩。,"Gần quý xa về, theo Phật đạo;
Cứu dân độ thế, chịu ơn dày."
秋水经过秋水平如镜子白莲破皎洁如霜。,"Sông thu vào thu bằng tựa kính;
Sen trắng tinh mơ trắng như sương."
基址重新改变龙象左边排列拱护神灵江山依旧龟甲向右排列壮观壮观。,"Nên nhà làm mới, tượng rồng bày trái gây tin tưởng;
Non sông như cũ, mai rùa đặt phải gọi tham quan."
明亮的灯彩映照祥瑞烟和酒醴宝鼎香浮瑞气融融。,"Đèn sáng ánh màu diềm khói nhã;
Đỉnh trầm hương quyện khí lành bay."
鹊桥月色皎洁人如玉牛渚星辉酒似兰。,"Cầu thước ngời trăng người tựa ngọc.
Bến trâu sao sáng rượu như lan."
协调千秋新庙鸣响回廊四面云雾缭绕江山。,"Cùng dựng ngàn năm đến miếu mới.
Nhà quay bốn mặt núi sông xưa;"
水能性淡是我的朋友；竹解心虚是我的老师。,"Nước lầy thanh đạm, coi là bạn
Trúc vốn lòng hư, đáng bậc thầy"
几个词联妙语一杯白水伴奇书。,"Vài từ thanh nhã nên câu đối;
Một chung nước trắng bạn sách kỳ."
花月新妆宜学柳云窗好友早裁兰。,"Trăng hoa vẻ mới nên tìm liễu.
Cỏ thơm bạn tốt sớm trồng lan."
秋天清朗天空连接大水平静月亮分明。,"Trời thu xanh cao rộng;
Nước lặng trăng sáng ngời."
无情未必真是豪杰有法度才是大丈夫。,"Vô tình chưa hẳn tay hào kiệt;
Độ lượng xem ra mới trượng phu."
这是离开丈夫家长共同努力不要忘记母亲家里长久辛勤。,"Từ nay nhà chồng mãi chung sống;
Chớ quên lòng mẹ chữ cù lao."
九十岁时鹤发和金母一样七秩斑衣学老莱。,"Chín mươi tóc hạc cùng kim mẫu.
Bảy chục áo hồng học lão Lai."
鸡鸣鸡鸣争春早水笑山欢报喜多。,"Gà gáy vịt kêu xuân đến sớm;
Sông cười núi gọi báo nhiều vui."
璧水轻飘红叶句园桥垂爱绿衣郎。,"Nước biếc nhẹ bay câu lá đỏ.
Cầu ngân lưu luyến chàng áo xanh."
子息祗依青鬓母孙枝还依赖白头人。,"Con gốc nương nhờ xanh tóc mẹ(4),
Cháu cành trông cậy trắng đầu ông(5)."
祥瑞之气生来只有孝悌家声振起是诗经尚书。,"Khí thịnh do lòng hiếu đễ;
Giàu sang nhờ việc thi thư."
藏书万卷可以教儿子留下的金子满筐常住在灾难之中。,"Sách chứa vạn quyền hay dạy con;
Vàng để đầy hòm thường có họa."
百年天地回转元气统一山河乐于太平。,"Trăm năm trời đất hồi nguyên khí;
Nhất thống non sông vui thái bình."
山峰苍翠吐出春意水下碧波浴着朝晖。,"Đỉnh núi xanh ngời đầy xuân ý;
Lòng sông sóng biếc tắm ánh mai."
万里九霄初发一堂三代庆祝齐眉。,"Chín tầng muôn dặm xe vừa đẩy.
Ba đời một cửa chúc ngang mày."
花甲初周茂盛如松柏长庚明亮辉煌庆庆溢出桂兰。,"Hoa giáp vòng đầu, tốt như tùng bách.
Lâu dài rực rỡ, tươi đẹp quế lan."
山顶上的花开显出胜境山中的佛迹显现出名蓝。,"Hoa khai đỉnh núi nêu thắng cảnh;
Dấu phật trong non hiển danh lam."
不一会儿他看见衣服将柳汁染染出来看镜子用菱花悬挂着。,"Đã thấy áo hoa cùng liễu ướt.
Còn xem trong kính có lăng treo."
十年之后假使许诺自己报效国家又拿什么家是什么家不是家也是什么家家在国梦中苦恼国破家亡仇恨还在一片心中捐躯欲得死所想死不想死没想死也不想死死也不想死死也不想死死又何悲生雄死烈的志向难以埋葬。,"Hai mươi năm đem thân báo nước, nào kể chi nhà, nhà nào là nhà, nhà nào không phải nhà, trong mộng nước nhà, khổ là khổ, nước mất nhà tan, thù vẫn đó.
Một tấm lòng vì nghĩa quên mình, muốn tìm chỗ chết, muốn chết không chết, không muốn chết lại chết, ngoài vòng sống chết, sống hùng chết liệt, chí khôn vùi."
三阳开泰春无限五福临门庆有余。,"Tam dương khai thái, xuân không hạn;
Ngũ phúc lâm môn, khánh có thừa."
锦堂喜见双星聚集在锦阁欣赏百子图。,"Nhà đẹp mừng hai sao tụ hội
Gác hoa vui trăm trẻ tranh treo."
欢送亲朋巾翻蝶情联姊妹印出鸳鸯。,"Vui tiễn bạn bè, khăn thêu bướm đẹp;
Tình quen em chị, in dấu uyên ương."
仁慈博爱教导百姓善德度公平消灭恶奸。,"Nhân từ bác ái dạy dân thiện
Đức độ công bằng diệt ác gian"
青山不沉默千秋画流水无声万古琴。,"Núi xanh chẳng lấp nghìn thu họa
Nước chảy không dây vạn cổ cầm"
琴声清澈如水诗梦温暖于春。,"Tiếng cầm trong giống nước;
Thơ mộng ấm như xuân."
天应地灵龙桥寺神扶佛度锦队村。,"Chùa Long Kiểu trời ứng đất linh;
Thôn Cẩm Đội thần phù phật độ."
春天开花秋天结果事业精于勤奋行为成就。,"Xuân hoa đua nở, thu cho trái;
Nghề giỏi cần chăm, làm phải suy."
圣德巍巍高耸北斗神功赫赫震动南天。,"Đức thánh lộng cao Bắc đẩu;
Công thần ngồi chấn trời Nam."
开卷有益于知识就是力量自强不息光阴贵在黄金。,"Đọc sách có ích, tri thức chính là sức mạnh;
Tự cường chẳng nghỉ, thời gian quý tựa hoàng kim."
燕语千门晓莺声万户春。,"Yến hót nghìn nhà sáng;
Oanh ca vạn hộ xuân."
影云开泰日瑞雨兆丰年。,"Mây cảnh mở ngày hanh thái;
Mưa lành báo năm được mùa."
文思苦苦摹拟两雪笔意欣欣满足三月花。,"Nghĩ văn mỏi mệt hai mai bạc;
Ý bút tràn vui ba tháng hoa."
柳色映眉梳妆镜子拂晓桃花照脸洞房春。,"Sắc liễu tươi mày soi kính đẹp.
Đào hoa rạng mặt động phòng xuân."
绿水青山长送月碧云红树不胜愁。,"Nước biếc non xanh dài đưa nguyệt
Cây hồng mây thắm chẳng thiết sầu."
春天进入春天来到春天不老福佑降临福地福佑无边。,"Xuân nhập trời xuân xuân bất lão;
Phúc vào đất phúc phúc vô biên."
旷野长驱马高山每每放歌。,"Đồng rộng lo ruổi ngựa;
Núi cao thỏa hát ca."
位置掌握图书开启太运德行留下笔墨灿烂天章。,"Nắm giữ đồ thư khai thái vận;
Đức lưu bút mực sáng thiên chương."
清时清舍迎接清客历世历杯接接历人。,"Thanh buổi thanh nhà mừng thanh khách;
Lịch ly lịch rượu tiếp lịch nhân."
志同道合花好月圆。,"Chí cùng đạo hợp
Hoa đẹp trăng tròn."
自从建造林泉多德养依然书史得以周旋。,"Suối rừng nhân tạo mà u nhã;
Thư sử y nhiên vẫn chu toàn."
祖父晋霞蟠溪逸叟孙明花烛月殿常娥。,"Chúc ông rượu thọ, già ẩn bàn khê.
Mừng cháu đẹp duyên, hằng nga nguyệt điện."
甲子重新新甲子的春秋季节又多少度春秋。,"Giáp tý vừa qua, qua giáp tý.
Xuân thu mấy độ, độ xuân thu."
巍巍新楼含瑞气扇开明窗纳春光。,"Ngồi ngồi lâu mới đưa điềm tốt;
Lớp lớp cửa sơn đợi ánh xuân."
音乐演奏黄钟谐凤侣诗题红叶咏桃花。,"Nhạc tấu hoàng chung vui phượng bạn.
Thơ đề lá đỏ vịnh đào hoa."
国家匡扶历代神灵的香气振兴宇宙众多百姓互相协调千秋正气壮山河。,"Trải mây linh thiêng trùm vũ trụ, khuông phù đất nước;
Ngàn năm chính khí mạnh non sông, giúp đỡ nhân dân."
红叶流沟来好句黄花满径映新妆。,"Lá đỏ theo dòng gửi câu đẹp
Hoa vàng đầy lối vướng tân trang."
吟成佳句花都舞谈到奇书兴欲狂。,"Ngâm câu tuyệt diệu hoa đều múa;
Bàn đến kỳ thư hứng muốn cuồng."
红墙银汉途难越碧海青天怨有余。,"Tường hồng Ngân Hán đường khôn vượt
Bể biếc thanh thiên oán có thừa."
心地光明千里万里晴朗家庭和睦四季春。,"Lòng dạ quang minh ngàn trượng quý;
Gia đình hoà thuận bốn mùa xuân."
山峰的影子遮住了看云雾遮住了松树的声音静听海潮生长。,"Bóng núi xa nhìn mây phủ kín;
Thông reo vẳng tiếng nước triều dâng."
水墨开发奇境彩丝织出妙香。,"Thụy mặc vẽ cảnh lạ;
Tơ đồng tỏa hương thơm."
快乐乡村享受远祖的福庆优游高贵长久涵养圣人的心愿。,"Cùng chung hưởng phúc cao niên, xóm thôn vui hưởng
Mãi được nương nhờ cõi thánh, buồn bã ung dung"
雄朝陵致皇都在南方神仙帝女尊。,"Lăng tẩm Triều Hùng đó vua cũ;
Thần tiên Nam Việt nữ chúa giòng."
上天赞颂宝相祥光照地出现金莲瑞气产生。,"Trời che lòng bầu mây lành chiếu;
Đất mọc sen vàng khí tốt sinh."
静听鱼儿读月亮笑对鸟儿谈天。,"Tĩnh nghe cá đọc trăng;
Cười trước chim chuyện vãn."
祖堂百代春花在万族千秋福禄长。,"Tổ đường trăm thuở, hương hoa cũng;
Dòng họ ngàn năm, phúc lộc dài."
典故探求奥妙的含义诗经尚书发源于余波。,"Điển tích ý sâu xa;
Thi thư làn sóng gợn."
一诚本自心香通达三柱能通达上界高。,"Một lòng thành kính tâm hương đạt;
Ba nên dáng lên thượng giới cao."
节操难以移动铁石坚强操守不改变耐耐冰霜。,"Vững chí khôn dời niềm sắt đá
Kiên tâm chẳng cải mặc băng sương."
清朗一湖名胜地灵万古福神祠。,"Đất danh thắng một hồ sáng lãng;
Chùa phúc thần muôn thuở linh thiêng."
一良辰千古节百年正气万家春。,"Giờ tốt hàng năm ngàn xưa tết;
Tháng giêng mồng một vạn nhà xuân."
针和月亮低于树上远山高超过天空。,"Ngọn cây cao hơn trăng xế;
Trời xanh thấp hơn núi xa."
瑞气与灯火烟雾一起合拢祥光和气烛影交辉。,"Khí tốt với khói hương hoà nhã;
Điềm lành cùng đèn nến giao huy."
书香卧榻甘诗等雪煮茶洗俗肠。,"Hương sách giường nằm thơ mộng đẹp;
Tuyết nấu trà thơm rửa ruột thô."
眼前的颜色相貌都变成幻幻曲子里的歌声不厌新。,"Nhãn tiền sắc tướng đều thành ảo
Trong khúc ca thanh chẳng yếm tân"
几盏精神千倍爽朗三杯眉目一时新。,"Vài chén, tinh thần tăng gấp bội;
Ba ly, mày mắt nổi tươi ngay."
万古仰洪麻圣德昭如日月亿年降祭典神威永镇乾坤。,"Muôn thuở cầu chở che, đức thánh sáng như nhật nguyệt;
Ức năm lo tế tự, uy thần vẫn trấn càn khôn."
千流前引源水一支增添了大的基础。,"Ngàn dòng dẫn trước, nguồn nguồn nước;
Một nhánh bồi thêm, rộng rộng nền."
胜景的名字叫蓝启示人人登上觉路灵山宝寺提着这些人进入禅门。,"Thắng cảnh danh lam, mở lối người người lên đường Giác;
Linh Sơn chùa quí, chỉ cho kẻ kẻ đến cửa Thiền."
月光如水禅心清净花气随风飘动使人骨清。,"Ánh trăng như nước, lòng thiền tinh khiết;
Mùi hoa theo gió, đạo cốt sáng trong."
花浮水面增添文采月印波波心悟化机。,"Hoa trôi mặt nước, văn thêm hứng;
Trăng dọi lòng sóng, ngộ ý trời."
救国有赤心民族最为隆盛只有独立爱民坚定夙志民权没有价值是自由。,"Cứu quốc có lòng son, dân tộc tối cần là độc lập;
Yêu dân bền chí hướng, dân quyên vô giá ấy tự do."
彩显禅门灭涅桑生超法界画开觉路慈航拔苦渡迷津。,"Rực rỡ cửa thiền, diệt giảng chúng sinh siêu pháp giới;
Đài khai đường giác, thuyền từ cứu khổ độ mê tân."
福祖如山千万古慧眼流传日月香。,"Phúc tổ như non, ngàn vạn thuở;
Mắt tuệ lan truyền, nhật nguyệt hương."
竹月印禅心野色天光参妙相林风宜觉涧松和谐调和圆音。,"Trúc nguyệt tin tâm thiền, sắc trời đồng nội tham diệu tướng;
Gió rừng hợp đạo giác, tung reo suối chảy hoà viên âm."
结发常常铭记冰雪操行同心永远记住海山盟誓。,"Kết tóc hay ghi lời băng tuyết;
Cùng lòng mãi nhớ thề biển non."
千百亿世界化身救苦超度迷惑天上日四十九春秋说法开发权威显示圣实中王。,"Trăm nghìn ức thế giới hóa thân, cứu khổ vớt mê như mặt trời trên cao;
Bốn mươi chín năm thuyết pháp khai quyền hiển thánh thực đứng đầu các vương."
手植三槐家庇茂心铭四字国思长。,"Ba cây hoè trồng, nhà thêm râm mát;
Bốn chữ để bụng, nước chịu ơn dài."
峰顶的丈人叹息已经了膝前半子疼得怎么样？,"Nhạc phủ đỉnh non ôi đã khuất
Rể con trước gối tủi nhường bao."
学问贵在上天和人间名声争夺日月光辉。,"Học phận rõ trời người;
Tên sáng cùng nhật nguyệt."
设立四十七个村民各自新近安居乐业这样的恩泽不止一个藩镇想长留芳名。,"Thiết lập bốn mươi bảy thôn dân, an cư lạc nghiệp;
Truy ơn chẳng chỉ một trại ấp, còn mãi tiếng thơm."
文魁武烈四代名乡龙拱龟趺千秋圣地。,"Văn hay, võ giỏi, bốn mùa làng nổi tiếng;
Rồng cuộn, rùa quý, ngàn năm đất linh thiêng."
有的笑有的哭看着面孔唱歌跳舞改变了华丽的容貌。,"Hoặc khóc hoặc cười rõ ràng diện mục;
Khi ca khi múa thay đổi thanh dung."
协奏千秋新庙宇绕廊四面是旧江山。,"Cùng dựng ngàn năm đến miếu mới.
Nhà quây bốn mặt núi sông xưa;"
千秋祖国旺盛元气统一江山永太平。,"Ngàn năm tổ quốc vượng nguyên khí;
Nhất thống giang sơn mãi thái bình."
西母云车天上驾南山神降女中英。,"Mây Tây Mẫu theo xe thượng giới;
Thần Nam Sơn giáng nữ trung anh."
阴阳之气汇集精灵聚集在山上水清澈于泽均。,"Âm dương chung đúc tinh linh còn mãi;
Sông núi lưu tàng đức trạch lớn lao."
名字题写凤阁徽远笔画娥眉气象新。,"Tên nêu gác phượng, thơm còn mãi.
Bút vẽ mày ngài, vẻ mới thay."
应三世随缘代佛宣扬佛教结集场中的僧人第一怜悯四生示现依照佛经启发教导蒙山会上法惟心。,"Tùy duyên ứng ba đời, thay Phật tuyên dương giáo pháp là tăng đệ nhất trong trường kết tập;
Thương xót tứ sinh, thị hiện như kinh, mở giáo pháp ở hội mông sơn pháp duy tâm."
德祖光荣万古祠门显赫壮千秋。,"Đức tổ quang vinh, thơm vạn thuở;
Đền thờ hiển hách, rạng ngàn thu."
三尊尊严如西方圣七宝堆如北地神。,"Tam tôn trang trọng, Tây phương thánh;
Thất bảo nguy nga, Bắc địa thần."
车书共道今天下科甲联题古学宫。,"Xa thư một mối thiên hạ tại;
Khoa giáp liên đề nhà học xưa."
春风吹来的时候应该会见好友秋月明亮的时候常常想念故乡。,"Lúc gió xuân về hợp cùng bạn tốt;
Nơi trăng thu sáng thường nhớ quê hương."
如在上面如在左右可以与天相对可以与鬼神相对。,"Như ở trên cao, như bên tả, hữu;
Khá đối với trời, khá đối với quỷ thần."
只有求得的恩爱永远永远保持一生同伴伴只希望人长九千里共同美丽的美丽。,"Mong tình yêu vĩnh hằng, một đời cùng đôi lứa
Muốn người lâu hưởng thọ, ngàn dặm với thiền quyên."
花迎喜气歌唱春光。,"Hoa chào điềm tốt;
Chim hót ánh xuân."
太阳照耀光明金殿阁月亮照临梵宇玉楼台。,"Trời chiêu sáng soi điện gác vàng;
Trăng vào cửa Phật lâu đài ngọc."
兰桂联芳一秉天香浮锦郁栋萱并秀十分春色丽华堂。,"Lan quế thắm hoa, một thể thêm hương phô thắm gấm;
Xuân huyên tươi tốt, mười phần xuân sắc đẹp nhà hoa."
在座席上摆开酒杯酒兴连杯诗也醉了窗前万转花开并柯月还盖。,"Tiệc bày trên nhà, rượu uống mềm môi, thơ chệnh choạng;
Oanh hót trước cửa, hoa đua nhau nở, trăng tròn thùng."
随祖国的精神一十八代传下根本考察古代都城名胜荣耀千百年帝王的陵墓。,"Với tinh thần Tổ quốc, mười tám đời truyền đất căn bản;
Tìm danh thắng Cổ đô, mấy nghìn năm lẻ lăng để vương."
水照山朝廷增添了景色风和日丽终于发出光辉。,"Nước soi, núi chiếu, cảnh sắc thêm đẹp đẽ;
Gió ôn hoà, mặt trời diễm lệ, ánh sáng thêm rực rỡ."
丹花绿树锦绣谷清澜白石颇璃江。,"Hang gấm vóc, cây xanh hoa đỏ
Sông pha lê, đá trắng nước trong"
慷慨男人的志向砥砺英雄豪杰之心。,"Khảng khái chí trượng phu;
Sắt đá tâm hào kiệt."
书从疑惑的地方翻成悟解的文章到了穷尽的时候自然会有神。,"Sách có biết ngờ rồi sẽ hiểu;
Văn đến lúc cùng mới có thần."
海面贴着鲸波生气勃然如有百姓安居府宅神灵收敛却好像没有。,"Biển động, sinh khí sóng kình lẫm nhiên như có;
Dân yên, thần công nha phủ bỗng tự là không."
喜见玉梅辞别旧腊选择时间绿柳染新衣。,"Vui thấy mầm mai chào tháng chạp;
Lại chờ nhành liễu chuyển màu xanh."
节义匡扶宗国福佑神灵声威赫赫保护百姓。,"Tiết nghĩa khuông phù bền phúc nước; .
Linh thiêng lừng lẫy giúp cho dân."
桃花的情绪不出现在春天之内菊花开花多在秋天的时候。,"Chơi đào cứ phải khi xuân đến;
Thưởng cúc thường nên lúc thu về."
祥云春暖千家欢乐大海波平万舶来。,"Mây lành xuân ấm, vui nghìn hộ;
Biển rộng sóng yên, đến vạn thuyền."
花好月圆昔日曾经共同研究砚台志同道合今夜庆合欢。,"Hoa đẹp trăng tròn, ngày trước đã cùng ngắm cảnh;
Chí đồng đạo hợp, đêm nay mừng được chung vui."
天书规定正统开始封地建都于百粤山河之有祖光岳协灵故宫建成聚集在三江襟带尚朝尊。,"Thiên thư định phận, chính thống mở kinh thành, Bách Việt núi sông đà có chủ;
Núi lớn cùng thiêng, cố cung thành miếu mạo, Tam Giang áo mũ vẫn duy trì."
男人尊重女人女人尊重男人男人尊重男人男子尊敬丈夫尊敬丈夫尊敬丈夫尊敬丈夫有德行丈夫有德行丈夫有才能。,"Nam trọng nữ nữ trọng nam nam giúp nữ đỡ
Chồng kính vợ, vợ kính chồng chồng đức vợ hiền."
楼上观鱼悠然自得在梅边听鸟乐而忘忧。,"Lầu thượng quan ngư du nhiên tự đắc;
Mai biên thính điểu lạc di vong ưu."
沐浴恩德财富发扬德行丰富亨通。,"Đội ơn tiến tài tấn phát;
Nhờ đức lợi ích phong hanh."
应该不偶然生出天本另外传给了天下的母亲飘然独立圣功正好成为圣中仙。,"Ứng hiện chẳng hai lần, trời vốn truyền riêng trời của mẹ;
Gió về không một chỗ, thánh công ngay thẳng thánh trong tiên."
天边将满一轮月世上还有百岁人。,"Chân trời rực rỡ một vành nguyệt.
Dưới đất chuông mừng người chẴn trăm."
礼在营室必须先祖庙义在传家不要后亲。,"Lễ nơi doanh thất, nên miếu trước;
Nghĩa để truyền gia, chẳng thân sau."
龙符辉煌增加鼎盛医扶禅宇永昌昌隆。,"Bùa rồng cửa Huy thêm tiến thịnh;
Giúp cho thêm Phật mãi phồn hưng."
开门自然精心开卷有益垂露在手清风入怀。,"Đóng cửa tự học, đọc sách có ích;
Sương đọng trên tay, gió mát vào lòng."
人老心未老家贫志莫穷。,"Người dẫu lão mà tâm chưa lão;
Nhà khốn cùng nhưng chí chẳng cùng."
山翠万重梵出现水光千里环城来。,"Hé mở giậu - muôn trùng núi biếc;
Bao bọc thành - ngàn dặm nước trong."
千峰月色四海春光。,"Nghìn non trăng sáng;
Bốn biển ánh xuân."
进贡时树立芳香的旗帜并且正值兰阶欣欣接纳妻子明经推举俊彦初年甲子庆添筹。,"Đỗ đạt dựng cây cao, tính chuyện thềm lan vui nạp thái.
Thông kinh nên rạng vẻ, tuần đầu giáp tý chúc thêm lâu."
堂寝宏开昭祖德簪缨继美振兴家声。,"Đường tẩm hoàng khai ngôi tổ đức;
Trâm anh kế mỹ đẹp gia thanh."
男婚女嫁丈夫有德行而娶贤德。,"Trai cưới gái gả
Chồng đức vợ hiền."
历代繁昌凭藉着厚荫历代传下的恩泽贯彻了前代的功业。,"Các hệ phồn vinh nhờ phúc ấm;
Nhiều đời cố gắng tổ công xưa."
日照月照千秋名胜地方山水秀一个城邑礼仪和风调。,"Trời chiếu trăng soi, đất ấy ngàn năm danh tiếng;
Non xanh, nước biếc, gió này một ấp thuận hoà."
不夸耀自己的威势更加尊重没有私人的功劳自然高。,"Không kiêu uy càng lớn;
Vô tư công tự cao."
玉树芳兰承祖豆金紫诏答蒸尝。,"Cây ngọc hương lan thừa trở đậu;
Ve vàng lời quý đáp chúng thường."
莲花生在烟中妙营常年开法侣花绕锦上净光此日振慈风。,"Trong lò sen nở, chùa Diệu Đế thường năm mở lớp tăng chúng;
Trên gấm hoa thêu, chốn Tịnh Quang đây ngày dấy gió từ bi."
普天之下资助坤德教化太阳之中仰慕圣明。,"Khắp dưới gầm trời nương khôn đức;
Giữa ngày mẫu hoá ngưỡng thánh tư."
未必前代贤人都可以效法从来孺子尚可以钦佩。,"Đâu cứ tiên hiền là khuôn phép;
Nhiều khi con trẻ đáng suy tôn."
应花朝如新作合居绣阁友好友好交谈。,"Với hoa sớm như vừa tác hợp.
Ở  gác đẹp bạn bè đều vui."
杨柳不随春色凋谢劲松只有岁寒知道。,"Dương liễu chẳng theo xuân già lão;
Kinh tùng chỉ có rét biết thôi."
皓月满怀心不夜春云湖物物雨露含情。,"Trăng sáng đầy lòng, tâm khó lặng
Mây xuân nhuận vật, đượm tình mưa"
一片晓烟杨柳绿无边春色杏花红。,"Một làn khói sáng, dương liễu biếc;
Vô biên xuân sắc hoa mận hồng."
神灵赐给恩泽波涛流动住宅人民欢喜祥瑞之气发出祥光。,"Ấm đức thần cho lưu đệ trạch;
Khi lành người gặp phát tường quang."
圣明的德行不被阻止防御祸患除去灾祸四社百姓安康万物丰盛神功无边阴扶墨助十年风俗美人淳。,"Đức thánh vô biên, cứu nạn trừ tai, bốn xã dân yên vật thịnh;
Công thần khôn tả, âm phù ngầm giúp, tục đẹp người thuần."
橘井旧时传说仙子药桃门新试相公龙。,"Giếng quất cũ truyền thuốc tiên tử;
Cửa đào mới thử phép tướng công."
青山不语花含笑流水无声鸟作歌。,"Non xanh chẳng nói, hoa cười mỉm;
Nước chảy không lời, chim hót ca."
